Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
SC5314,1,18623,1.0,1.0,0.0,0.0
SC5314,2,0,0.0,1.0,0.0,0.0
SC5314,n,0,0.0,1.0,0.0,0.0
529L,1,0,0.0,0.0,1.0,0.0
529L,2,18623,1.0,0.0,1.0,0.0
529L,n,0,0.0,0.0,1.0,0.0
MAY154.GT,1,1976,0.10644,0.10644,0.07956,0.814
MAY154.GT,2,1477,0.07956,0.10644,0.07956,0.814
MAY154.GT,n,15112,0.814,0.10644,0.07956,0.814
MAY155.GT,1,1986,0.107,0.107,0.07931,0.8137
MAY155.GT,2,1472,0.07931,0.107,0.07931,0.8137
MAY155.GT,n,15103,0.8137,0.107,0.07931,0.8137
MAY156.GT,1,1967,0.10597,0.10597,0.07914,0.81489
MAY156.GT,2,1469,0.07914,0.10597,0.07914,0.81489
MAY156.GT,n,15126,0.81489,0.10597,0.07914,0.81489
MAY157.GT,1,1635,0.08798,0.08798,0.21843,0.69359
MAY157.GT,2,4059,0.21843,0.08798,0.21843,0.69359
MAY157.GT,n,12889,0.69359,0.08798,0.21843,0.69359
MAY158.GT,1,3192,0.17175,0.17175,0.00344,0.8248
MAY158.GT,2,64,0.00344,0.17175,0.00344,0.8248
MAY158.GT,n,15329,0.8248,0.17175,0.00344,0.8248
