Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
SC5314,1,84,1.0,1.0,0.0,0.0
SC5314,2,0,0.0,1.0,0.0,0.0
SC5314,n,0,0.0,1.0,0.0,0.0
P60002,1,0,0.0,0.0,1.0,0.0
P60002,2,84,1.0,0.0,1.0,0.0
P60002,n,0,0.0,0.0,1.0,0.0
MAY316.GT,1,47,0.55952,0.55952,0.15476,0.28571
MAY316.GT,2,13,0.15476,0.55952,0.15476,0.28571
MAY316.GT,n,24,0.28571,0.55952,0.15476,0.28571
MAY332.GT,1,50,0.59524,0.59524,0.19048,0.21429
MAY332.GT,2,16,0.19048,0.59524,0.19048,0.21429
MAY332.GT,n,18,0.21429,0.59524,0.19048,0.21429
MAY333.GT,1,41,0.4881,0.4881,0.21429,0.29762
MAY333.GT,2,18,0.21429,0.4881,0.21429,0.29762
MAY333.GT,n,25,0.29762,0.4881,0.21429,0.29762
