Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
SC5314,1,9675,1.0,1.0,0.0,0.0
SC5314,2,0,0.0,1.0,0.0,0.0
SC5314,n,0,0.0,1.0,0.0,0.0
529L,1,0,0.0,0.0,1.0,0.0
529L,2,9675,1.0,0.0,1.0,0.0
529L,n,0,0.0,0.0,1.0,0.0
MAY154.GT,1,49,0.00507,0.00507,0.00021,0.99473
MAY154.GT,2,2,0.00021,0.00507,0.00021,0.99473
MAY154.GT,n,9623,0.99473,0.00507,0.00021,0.99473
MAY155.GT,1,49,0.00507,0.00507,0.00021,0.99473
MAY155.GT,2,2,0.00021,0.00507,0.00021,0.99473
MAY155.GT,n,9623,0.99473,0.00507,0.00021,0.99473
MAY156.GT,1,49,0.00507,0.00507,0.00021,0.99473
MAY156.GT,2,2,0.00021,0.00507,0.00021,0.99473
MAY156.GT,n,9623,0.99473,0.00507,0.00021,0.99473
MAY157.GT,1,49,0.00507,0.00507,0.00021,0.99473
MAY157.GT,2,2,0.00021,0.00507,0.00021,0.99473
MAY157.GT,n,9623,0.99473,0.00507,0.00021,0.99473
MAY158.GT,1,49,0.00507,0.00507,0.00021,0.99473
MAY158.GT,2,2,0.00021,0.00507,0.00021,0.99473
MAY158.GT,n,9623,0.99473,0.00507,0.00021,0.99473
