Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop,,,,HET,P1,P2
SC5314,1,678,1,1,0,0,0,100,0,99.49748744,100,40.37267081
SC5314,2,0,0,1,0,0,,,,0,0,0
SC5314,n,0,0,1,0,0,,,,,,
529L_,1,0,0,0,1,0,0,0,100,,,
529L_,2,678,1,0,1,0,,,,,,
529L_,n,0,0,0,1,0,,,,,,
529LxSC_P10_A9_146,1,5,0.01416,0.01416,0.00283,0.983,98.30028329,1.416430595,0.283286119,,,
529LxSC_P10_A9_146,2,1,0.00283,0.01416,0.00283,0.983,,,,,,
529LxSC_P10_A9_146,n,347,0.983,0.01416,0.00283,0.983,,,,,,
529LxSC_P11_A10_162,1,5,0.01149,0.01149,0,0.98851,98.85057471,1.149425287,0,,,
529LxSC_P11_A10_162,2,0,0,0.01149,0,0.98851,,,,,,
529LxSC_P11_A10_162,n,430,0.98851,0.01149,0,0.98851,,,,,,
529LxSC_P12_A11_178,1,3,0.01027,0.01027,0.00685,0.98288,98.28767123,1.02739726,0.684931507,,,
529LxSC_P12_A11_178,2,2,0.00685,0.01027,0.00685,0.98288,,,,,,
529LxSC_P12_A11_178,n,287,0.98288,0.01027,0.00685,0.98288,,,,,,
529LxSC_P13_A12_194,1,4,0.00988,0.00988,0.00247,0.98765,98.7654321,0.987654321,0.24691358,,,
529LxSC_P13_A12_194,2,1,0.00247,0.00988,0.00247,0.98765,,,,,,
529LxSC_P13_A12_194,n,400,0.98765,0.00988,0.00247,0.98765,,,,,,
529LxSC_P14_B1_116,1,4,0.01365,0.01365,0.00341,0.98294,98.29351536,1.365187713,0.341296928,,,
529LxSC_P14_B1_116,2,1,0.00341,0.01365,0.00341,0.98294,,,,,,
529LxSC_P14_B1_116,n,288,0.98294,0.01365,0.00341,0.98294,,,,,,
529LxSC_P15_B2_132,1,3,0.01115,0.01115,0.00372,0.98513,98.51301115,1.115241636,0.371747212,,,
529LxSC_P15_B2_132,2,1,0.00372,0.01115,0.00372,0.98513,,,,,,
529LxSC_P15_B2_132,n,265,0.98513,0.01115,0.00372,0.98513,,,,,,
529LxSC_P20_B7_116,1,1,0.00364,0.00364,0.00364,0.99273,99.27272727,0.363636364,0.363636364,,,
529LxSC_P20_B7_116,2,1,0.00364,0.00364,0.00364,0.99273,,,,,,
529LxSC_P20_B7_116,n,273,0.99273,0.00364,0.00364,0.99273,,,,,,
529LxSC_P22_B9_148,1,2,0.00608,0.00608,0.00304,0.99088,99.0881459,0.607902736,0.303951368,,,
529LxSC_P22_B9_148,2,1,0.00304,0.00608,0.00304,0.99088,,,,,,
529LxSC_P22_B9_148,n,326,0.99088,0.00608,0.00304,0.99088,,,,,,
529LxSC_P23_B10_164,1,7,0.0157,0.0157,0.00448,0.97982,97.98206278,1.569506726,0.448430493,,,
529LxSC_P23_B10_164,2,2,0.00448,0.0157,0.00448,0.97982,,,,,,
529LxSC_P23_B10_164,n,437,0.97982,0.0157,0.00448,0.97982,,,,,,
529LxSC_P24_B11_180,1,40,0.09926,0.09926,0.05211,0.84864,84.86352357,9.925558313,5.210918114,,,
529LxSC_P24_B11_180,2,21,0.05211,0.09926,0.05211,0.84864,,,,,,
529LxSC_P24_B11_180,n,342,0.84864,0.09926,0.05211,0.84864,,,,,,
529LxSC_P26_C1_118,1,11,0.03481,0.03481,0.00633,0.95886,95.88607595,3.481012658,0.632911392,,,
529LxSC_P26_C1_118,2,2,0.00633,0.03481,0.00633,0.95886,,,,,,
529LxSC_P26_C1_118,n,303,0.95886,0.03481,0.00633,0.95886,,,,,,
529LxSC_P2_A1_114,1,1,0.00361,0.00361,0.00722,0.98917,98.91696751,0.36101083,0.722021661,,,
529LxSC_P2_A1_114,2,2,0.00722,0.00361,0.00722,0.98917,,,,,,
529LxSC_P2_A1_114,n,274,0.98917,0.00361,0.00722,0.98917,,,,,,
529LxSC_P32_C7_118,1,6,0.01858,0.01858,0.00929,0.97214,97.21362229,1.857585139,0.92879257,,,
529LxSC_P32_C7_118,2,3,0.00929,0.01858,0.00929,0.97214,,,,,,
529LxSC_P32_C7_118,n,314,0.97214,0.01858,0.00929,0.97214,,,,,,
529LxSC_P33_C8_134,1,3,0.00993,0.00993,0.00331,0.98675,98.67549669,0.993377483,0.331125828,,,
529LxSC_P33_C8_134,2,1,0.00331,0.00993,0.00331,0.98675,,,,,,
529LxSC_P33_C8_134,n,298,0.98675,0.00993,0.00331,0.98675,,,,,,
529LxSC_P35_C10_166,1,26,0.07975,0.07975,0.00613,0.91411,91.41104294,7.975460123,0.613496933,,,
529LxSC_P35_C10_166,2,2,0.00613,0.07975,0.00613,0.91411,,,,,,
529LxSC_P35_C10_166,n,298,0.91411,0.07975,0.00613,0.91411,,,,,,
529LxSC_P36_C11_182,1,4,0.00833,0.00833,0.00208,0.98958,98.95833333,0.833333333,0.208333333,,,
529LxSC_P36_C11_182,2,1,0.00208,0.00833,0.00208,0.98958,,,,,,
529LxSC_P36_C11_182,n,475,0.98958,0.00833,0.00208,0.98958,,,,,,
529LxSC_P37_C12_198,1,16,0.05861,0.05861,0.21612,0.72527,72.52747253,5.860805861,21.61172161,,,
529LxSC_P37_C12_198,2,59,0.21612,0.05861,0.21612,0.72527,,,,,,
529LxSC_P37_C12_198,n,198,0.72527,0.05861,0.21612,0.72527,,,,,,
529LxSC_P39_D2_136,1,128,0.81013,0.81013,0,0.18987,18.98734177,81.01265823,0,,,
529LxSC_P39_D2_136,2,0,0,0.81013,0,0.18987,,,,,,
529LxSC_P39_D2_136,n,30,0.18987,0.81013,0,0.18987,,,,,,
529LxSC_P40_D3_152,1,1,0.00503,0.00503,0,0.99497,99.49748744,0.502512563,0,,,
529LxSC_P40_D3_152,2,0,0,0.00503,0,0.99497,,,,,,
529LxSC_P40_D3_152,n,198,0.99497,0.00503,0,0.99497,,,,,,
529LxSC_P41_D4_168,1,46,0.30667,0.30667,0.06667,0.62667,62.66666667,30.66666667,6.666666667,,,
529LxSC_P41_D4_168,2,10,0.06667,0.30667,0.06667,0.62667,,,,,,
529LxSC_P41_D4_168,n,94,0.62667,0.30667,0.06667,0.62667,,,,,,
529LxSC_P44_D7_120,1,4,0.01379,0.01379,0.0069,0.97931,97.93103448,1.379310345,0.689655172,,,
529LxSC_P44_D7_120,2,2,0.0069,0.01379,0.0069,0.97931,,,,,,
529LxSC_P44_D7_120,n,284,0.97931,0.01379,0.0069,0.97931,,,,,,
529LxSC_P46_D9_152,1,64,0.22535,0.22535,0.02817,0.74648,74.64788732,22.53521127,2.816901408,,,
529LxSC_P46_D9_152,2,8,0.02817,0.22535,0.02817,0.74648,,,,,,
529LxSC_P46_D9_152,n,212,0.74648,0.22535,0.02817,0.74648,,,,,,
529LxSC_P48_D11_184,1,39,0.16049,0.16049,0.26749,0.57202,57.20164609,16.04938272,26.74897119,,,
529LxSC_P48_D11_184,2,65,0.26749,0.16049,0.26749,0.57202,,,,,,
529LxSC_P48_D11_184,n,139,0.57202,0.16049,0.26749,0.57202,,,,,,
529LxSC_P49_D12_200,1,15,0.05882,0.05882,0.10196,0.83922,83.92156863,5.882352941,10.19607843,,,
529LxSC_P49_D12_200,2,26,0.10196,0.05882,0.10196,0.83922,,,,,,
529LxSC_P49_D12_200,n,214,0.83922,0.05882,0.10196,0.83922,,,,,,
529LxSC_P52_E3_154,1,6,0.0124,0.0124,0,0.9876,98.76033058,1.239669421,0,,,
529LxSC_P52_E3_154,2,0,0,0.0124,0,0.9876,,,,,,
529LxSC_P52_E3_154,n,478,0.9876,0.0124,0,0.9876,,,,,,
529LxSC_P53_E4_170,1,3,0.00813,0.00813,0,0.99187,99.18699187,0.81300813,0,,,
529LxSC_P53_E4_170,2,0,0,0.00813,0,0.99187,,,,,,
529LxSC_P53_E4_170,n,366,0.99187,0.00813,0,0.99187,,,,,,
529LxSC_P57_E8_138,1,0,0,0,0.00877,0.99123,99.12280702,0,0.877192982,,,
529LxSC_P57_E8_138,2,2,0.00877,0,0.00877,0.99123,,,,,,
529LxSC_P57_E8_138,n,226,0.99123,0,0.00877,0.99123,,,,,,
529LxSC_P59_E10_170,1,8,0.02241,0.02241,0.0028,0.97479,97.4789916,2.240896359,0.280112045,,,
529LxSC_P59_E10_170,2,1,0.0028,0.02241,0.0028,0.97479,,,,,,
529LxSC_P59_E10_170,n,348,0.97479,0.02241,0.0028,0.97479,,,,,,
529LxSC_P62_F1_124,1,108,0.4186,0.4186,0.01938,0.56202,56.20155039,41.86046512,1.937984496,,,
529LxSC_P62_F1_124,2,5,0.01938,0.4186,0.01938,0.56202,,,,,,
529LxSC_P62_F1_124,n,145,0.56202,0.4186,0.01938,0.56202,,,,,,
529LxSC_P66_F5_188,1,224,1,1,0,0,0,100,0,,,
529LxSC_P66_F5_188,2,0,0,1,0,0,,,,,,
529LxSC_P66_F5_188,n,0,0,1,0,0,,,,,,
