progeny,grouped.loh.count,loh.mkr.count
529LxSC_P10_A9_146,0,0
529LxSC_P11_A10_162,0,0
529LxSC_P12_A11_178,1,1
529LxSC_P13_A12_194,0,0
529LxSC_P14_B1_116,0,0
529LxSC_P15_B2_132,0,0
529LxSC_P20_B7_116,0,0
529LxSC_P22_B9_148,0,0
529LxSC_P23_B10_164,0,0
529LxSC_P24_B11_180,1,1
529LxSC_P26_C1_118,0,0
529LxSC_P2_A1_114,0,0
529LxSC_P32_C7_118,0,0
529LxSC_P33_C8_134,1,1
529LxSC_P35_C10_166,0,0
529LxSC_P36_C11_182,0,0
529LxSC_P37_C12_198,2,2
529LxSC_P39_D2_136,0,0
529LxSC_P40_D3_152,1,1
529LxSC_P41_D4_168,1,1
529LxSC_P44_D7_120,0,0
529LxSC_P46_D9_152,2,2
529LxSC_P48_D11_184,1,1
529LxSC_P49_D12_200,2,2
529LxSC_P52_E3_154,0,0
529LxSC_P53_E4_170,0,0
529LxSC_P57_E8_138,0,0
529LxSC_P59_E10_170,0,0
529LxSC_P62_F1_124,4,4
529LxSC_P66_F5_188,0,0
529LxSC_P68_F7_124,0,0
529LxSC_P72_F11_188,0,0
529LxSC_P73_F12_204,0,0
529LxSC_P74_G1_126,0,0
529LxSC_P81_G8_142,1,1
529LxSC_P82_G9_158,4,7
529LxSC_P83_G10_174,0,0
529LxSC_P84_G11_190,1,1
529LxSC_P85_G12_206,0,0
529LxSC_P8_A7_114,0,0
Mixed_Plate_S119_130,5,6
Mixed_Plate_S378_132,0,0
Mixed_Plate_S441_138,0,0
Mixed_Plate_S442_140,0,0
Mixed_Plate_S443_142,0,0
Mixed_Plate_S444_144,4,4
Mixed_Plate_S445_114,5,5
Mixed_Plate_S446_116,4,4
Mixed_Plate_S447_118,0,0
Mixed_Plate_S448_120,0,0
Mixed_Plate_S449_122,5,5
Mixed_Plate_S450_124,0,0
Mixed_Plate_S451_126,0,0
Mixed_Plate_S452_128,0,0
Mixed_Plate_S453_194,0,0
Mixed_Plate_S454_196,0,0
Mixed_Plate_S457_200,0,0
Mixed_Plate_S458_202,0,0
Mixed_Plate_S459_204,0,0
Mixed_Plate_S461_206,5,5
Mixed_Plate_S462_208,3,3
Mixed_Plate_S463_178,4,4
Mixed_Plate_S464_180,0,0
Mixed_Plate_S465_182,4,4
Mixed_Plate_S466_184,1,1
Mixed_Plate_S467_186,0,0
Mixed_Plate_S468_188,4,4
Mixed_Plate_S470_190,1,1
Mixed_Plate_S471_192,0,0
Mixed_Plate_S472_162,0,0
Mixed_Plate_S473_134,0,0
Mixed_Plate_S473_164,0,0
Mixed_Plate_S477_168,1,1
Mixed_Plate_S480_170,3,3
Mixed_Plate_S481_172,4,4
