prog.name, recombinations
529LxSC_P12_A11_178,16
529LxSC_P13_A12_194,18
529LxSC_P14_B1_116,19
529LxSC_P15_B2_132,22
529LxSC_P20_B7_116,21
529LxSC_P22_B9_148,24
529LxSC_P23_B10_164,26
529LxSC_P24_B11_180,59
529LxSC_P26_C1_118,28
529LxSC_P2_A1_114,18
529LxSC_P32_C7_118,30
529LxSC_P33_C8_134,18
529LxSC_P35_C10_166,58
529LxSC_P36_C11_182,15
529LxSC_P37_C12_198,47
529LxSC_P39_D2_136,43
529LxSC_P40_D3_152,14
529LxSC_P41_D4_168,36
529LxSC_P44_D7_120,24
529LxSC_P46_D9_152,60
529LxSC_P48_D11_184,44
529LxSC_P49_D12_200,52
529LxSC_P52_E3_154,15
529LxSC_P53_E4_170,13
529LxSC_P57_E8_138,18
529LxSC_P59_E10_170,27
529LxSC_P62_F1_124,44
529LxSC_P66_F5_188,12
529LxSC_P68_F7_124,24
529LxSC_P72_F11_188,53
529LxSC_P73_F12_204,31
529LxSC_P74_G1_126,3
529LxSC_P81_G8_142,12
529LxSC_P82_G9_158,15
529LxSC_P83_G10_174,44
529LxSC_P84_G11_190,29
529LxSC_P85_G12_206,9
529LxSC_P8_A7_114,28
Mixed_Plate_S119_130,11
Mixed_Plate_S378_132,21
Mixed_Plate_S441_138,17
Mixed_Plate_S442_140,24
Mixed_Plate_S443_142,16
Mixed_Plate_S444_144,81
Mixed_Plate_S445_114,81
Mixed_Plate_S446_116,48
Mixed_Plate_S447_118,26
Mixed_Plate_S448_120,15
Mixed_Plate_S449_122,76
Mixed_Plate_S450_124,82
Mixed_Plate_S451_126,44
Mixed_Plate_S452_128,17
Mixed_Plate_S453_194,13
Mixed_Plate_S454_196,16
Mixed_Plate_S457_200,22
Mixed_Plate_S458_202,11
Mixed_Plate_S459_204,8
Mixed_Plate_S461_206,79
Mixed_Plate_S462_208,67
Mixed_Plate_S463_178,77
Mixed_Plate_S464_180,23
Mixed_Plate_S465_182,70
Mixed_Plate_S466_184,24
Mixed_Plate_S467_186,27
Mixed_Plate_S468_188,71
Mixed_Plate_S470_190,66
Mixed_Plate_S471_192,24
Mixed_Plate_S472_162,8
Mixed_Plate_S473_134,13
Mixed_Plate_S473_164,19
Mixed_Plate_S477_168,57
Mixed_Plate_S480_170,67
Mixed_Plate_S481_172,69
