Progeny/Strain, allele, count, a_prop, b_prop, h_prop
SC5314,1,566,1.0,0.0,0.0
SC5314,2,0,1.0,0.0,0.0
SC5314,n,0,1.0,0.0,0.0
529L_,1,0,0.0,1.0,0.0
529L_,2,566,0.0,1.0,0.0
529L_,n,0,0.0,1.0,0.0
529LxSC_P10_A9_146,1,2,0.00635,0.0,0.99365
529LxSC_P10_A9_146,2,0,0.00635,0.0,0.99365
529LxSC_P10_A9_146,n,313,0.00635,0.0,0.99365
529LxSC_P11_A10_162,1,3,0.00758,0.0,0.99242
529LxSC_P11_A10_162,2,0,0.00758,0.0,0.99242
529LxSC_P11_A10_162,n,393,0.00758,0.0,0.99242
529LxSC_P12_A11_178,1,3,0.01158,0.0,0.98842
529LxSC_P12_A11_178,2,0,0.01158,0.0,0.98842
529LxSC_P12_A11_178,n,256,0.01158,0.0,0.98842
529LxSC_P13_A12_194,1,1,0.00275,0.0,0.99725
529LxSC_P13_A12_194,2,0,0.00275,0.0,0.99725
529LxSC_P13_A12_194,n,363,0.00275,0.0,0.99725
529LxSC_P14_B1_116,1,0,0.0,0.0,1.0
529LxSC_P14_B1_116,2,0,0.0,0.0,1.0
529LxSC_P14_B1_116,n,263,0.0,0.0,1.0
529LxSC_P15_B2_132,1,2,0.00847,0.0,0.99153
529LxSC_P15_B2_132,2,0,0.00847,0.0,0.99153
529LxSC_P15_B2_132,n,234,0.00847,0.0,0.99153
529LxSC_P20_B7_116,1,0,0.0,0.0,1.0
529LxSC_P20_B7_116,2,0,0.0,0.0,1.0
529LxSC_P20_B7_116,n,244,0.0,0.0,1.0
529LxSC_P22_B9_148,1,0,0.0,0.0,1.0
529LxSC_P22_B9_148,2,0,0.0,0.0,1.0
529LxSC_P22_B9_148,n,288,0.0,0.0,1.0
529LxSC_P23_B10_164,1,4,0.00995,0.0,0.99005
529LxSC_P23_B10_164,2,0,0.00995,0.0,0.99005
529LxSC_P23_B10_164,n,398,0.00995,0.0,0.99005
529LxSC_P24_B11_180,1,33,0.09649,0.05848,0.84503
529LxSC_P24_B11_180,2,20,0.09649,0.05848,0.84503
529LxSC_P24_B11_180,n,289,0.09649,0.05848,0.84503
529LxSC_P26_C1_118,1,7,0.02593,0.0,0.97407
529LxSC_P26_C1_118,2,0,0.02593,0.0,0.97407
529LxSC_P26_C1_118,n,263,0.02593,0.0,0.97407
529LxSC_P2_A1_114,1,1,0.00413,0.00413,0.99174
529LxSC_P2_A1_114,2,1,0.00413,0.00413,0.99174
529LxSC_P2_A1_114,n,240,0.00413,0.00413,0.99174
529LxSC_P32_C7_118,1,3,0.01042,0.0,0.98958
529LxSC_P32_C7_118,2,0,0.01042,0.0,0.98958
529LxSC_P32_C7_118,n,285,0.01042,0.0,0.98958
529LxSC_P33_C8_134,1,1,0.00365,0.0,0.99635
529LxSC_P33_C8_134,2,0,0.00365,0.0,0.99635
529LxSC_P33_C8_134,n,273,0.00365,0.0,0.99635
529LxSC_P35_C10_166,1,22,0.07942,0.00722,0.91336
529LxSC_P35_C10_166,2,2,0.07942,0.00722,0.91336
529LxSC_P35_C10_166,n,253,0.07942,0.00722,0.91336
529LxSC_P36_C11_182,1,1,0.00229,0.0,0.99771
529LxSC_P36_C11_182,2,0,0.00229,0.0,0.99771
529LxSC_P36_C11_182,n,436,0.00229,0.0,0.99771
529LxSC_P37_C12_198,1,15,0.06696,0.21429,0.71875
529LxSC_P37_C12_198,2,48,0.06696,0.21429,0.71875
529LxSC_P37_C12_198,n,161,0.06696,0.21429,0.71875
529LxSC_P39_D2_136,1,97,0.776,0.0,0.224
529LxSC_P39_D2_136,2,0,0.776,0.0,0.224
529LxSC_P39_D2_136,n,28,0.776,0.0,0.224
529LxSC_P40_D3_152,1,0,0.0,0.0,1.0
529LxSC_P40_D3_152,2,0,0.0,0.0,1.0
529LxSC_P40_D3_152,n,178,0.0,0.0,1.0
529LxSC_P41_D4_168,1,35,0.29412,0.05882,0.64706
529LxSC_P41_D4_168,2,7,0.29412,0.05882,0.64706
529LxSC_P41_D4_168,n,77,0.29412,0.05882,0.64706
529LxSC_P44_D7_120,1,2,0.00755,0.00377,0.98868
529LxSC_P44_D7_120,2,1,0.00755,0.00377,0.98868
529LxSC_P44_D7_120,n,262,0.00755,0.00377,0.98868
529LxSC_P46_D9_152,1,56,0.24138,0.03448,0.72414
529LxSC_P46_D9_152,2,8,0.24138,0.03448,0.72414
529LxSC_P46_D9_152,n,168,0.24138,0.03448,0.72414
529LxSC_P48_D11_184,1,32,0.16244,0.26904,0.56853
529LxSC_P48_D11_184,2,53,0.16244,0.26904,0.56853
529LxSC_P48_D11_184,n,112,0.16244,0.26904,0.56853
529LxSC_P49_D12_200,1,14,0.06667,0.10952,0.82381
529LxSC_P49_D12_200,2,23,0.06667,0.10952,0.82381
529LxSC_P49_D12_200,n,173,0.06667,0.10952,0.82381
529LxSC_P52_E3_154,1,4,0.00909,0.0,0.99091
529LxSC_P52_E3_154,2,0,0.00909,0.0,0.99091
529LxSC_P52_E3_154,n,436,0.00909,0.0,0.99091
529LxSC_P53_E4_170,1,2,0.00606,0.0,0.99394
529LxSC_P53_E4_170,2,0,0.00606,0.0,0.99394
529LxSC_P53_E4_170,n,328,0.00606,0.0,0.99394
529LxSC_P57_E8_138,1,0,0.0,0.00498,0.99502
529LxSC_P57_E8_138,2,1,0.0,0.00498,0.99502
529LxSC_P57_E8_138,n,200,0.0,0.00498,0.99502
529LxSC_P59_E10_170,1,5,0.01524,0.00305,0.98171
529LxSC_P59_E10_170,2,1,0.01524,0.00305,0.98171
529LxSC_P59_E10_170,n,322,0.01524,0.00305,0.98171
529LxSC_P62_F1_124,1,90,0.42453,0.02358,0.55189
529LxSC_P62_F1_124,2,5,0.42453,0.02358,0.55189
529LxSC_P62_F1_124,n,117,0.42453,0.02358,0.55189
529LxSC_P66_F5_188,1,184,1.0,0.0,0.0
529LxSC_P66_F5_188,2,0,1.0,0.0,0.0
529LxSC_P66_F5_188,n,0,1.0,0.0,0.0
529LxSC_P68_F7_124,1,5,0.01938,0.0,0.98062
529LxSC_P68_F7_124,2,0,0.01938,0.0,0.98062
529LxSC_P68_F7_124,n,253,0.01938,0.0,0.98062
529LxSC_P72_F11_188,1,21,0.06646,0.00633,0.92722
529LxSC_P72_F11_188,2,2,0.06646,0.00633,0.92722
529LxSC_P72_F11_188,n,293,0.06646,0.00633,0.92722
529LxSC_P73_F12_204,1,4,0.01471,0.0,0.98529
529LxSC_P73_F12_204,2,0,0.01471,0.0,0.98529
529LxSC_P73_F12_204,n,268,0.01471,0.0,0.98529
529LxSC_P74_G1_126,1,413,1.0,0.0,0.0
529LxSC_P74_G1_126,2,0,1.0,0.0,0.0
529LxSC_P74_G1_126,n,0,1.0,0.0,0.0
529LxSC_P81_G8_142,1,288,1.0,0.0,0.0
529LxSC_P81_G8_142,2,0,1.0,0.0,0.0
529LxSC_P81_G8_142,n,0,1.0,0.0,0.0
529LxSC_P82_G9_158,1,518,0.99615,0.0,0.00385
529LxSC_P82_G9_158,2,0,0.99615,0.0,0.00385
529LxSC_P82_G9_158,n,2,0.99615,0.0,0.00385
529LxSC_P83_G10_174,1,33,0.125,0.39394,0.48106
529LxSC_P83_G10_174,2,104,0.125,0.39394,0.48106
529LxSC_P83_G10_174,n,127,0.125,0.39394,0.48106
529LxSC_P84_G11_190,1,197,0.46905,0.2381,0.29286
529LxSC_P84_G11_190,2,100,0.46905,0.2381,0.29286
529LxSC_P84_G11_190,n,123,0.46905,0.2381,0.29286
529LxSC_P85_G12_206,1,2,0.00437,0.00437,0.99127
529LxSC_P85_G12_206,2,2,0.00437,0.00437,0.99127
529LxSC_P85_G12_206,n,454,0.00437,0.00437,0.99127
529LxSC_P8_A7_114,1,3,0.01003,0.0,0.98997
529LxSC_P8_A7_114,2,0,0.01003,0.0,0.98997
529LxSC_P8_A7_114,n,296,0.01003,0.0,0.98997
Mixed_Plate_S119_130,1,380,1.0,0.0,0.0
Mixed_Plate_S119_130,2,0,1.0,0.0,0.0
Mixed_Plate_S119_130,n,0,1.0,0.0,0.0
Mixed_Plate_S378_132,1,2,0.00962,0.00481,0.98558
Mixed_Plate_S378_132,2,1,0.00962,0.00481,0.98558
Mixed_Plate_S378_132,n,205,0.00962,0.00481,0.98558
Mixed_Plate_S441_138,1,0,0.0,0.00327,0.99673
Mixed_Plate_S441_138,2,1,0.0,0.00327,0.99673
Mixed_Plate_S441_138,n,305,0.0,0.00327,0.99673
Mixed_Plate_S442_140,1,5,0.00971,0.00194,0.98835
Mixed_Plate_S442_140,2,1,0.00971,0.00194,0.98835
Mixed_Plate_S442_140,n,509,0.00971,0.00194,0.98835
Mixed_Plate_S443_142,1,1,0.00365,0.0,0.99635
Mixed_Plate_S443_142,2,0,0.00365,0.0,0.99635
Mixed_Plate_S443_142,n,273,0.00365,0.0,0.99635
Mixed_Plate_S444_144,1,107,0.26817,0.03759,0.69424
Mixed_Plate_S444_144,2,15,0.26817,0.03759,0.69424
Mixed_Plate_S444_144,n,277,0.26817,0.03759,0.69424
Mixed_Plate_S445_114,1,96,0.21192,0.17439,0.61369
Mixed_Plate_S445_114,2,79,0.21192,0.17439,0.61369
Mixed_Plate_S445_114,n,278,0.21192,0.17439,0.61369
Mixed_Plate_S446_116,1,63,0.18806,0.16418,0.64776
Mixed_Plate_S446_116,2,55,0.18806,0.16418,0.64776
Mixed_Plate_S446_116,n,217,0.18806,0.16418,0.64776
Mixed_Plate_S447_118,1,4,0.02,0.0,0.98
Mixed_Plate_S447_118,2,0,0.02,0.0,0.98
Mixed_Plate_S447_118,n,196,0.02,0.0,0.98
Mixed_Plate_S448_120,1,2,0.00412,0.00412,0.99175
Mixed_Plate_S448_120,2,2,0.00412,0.00412,0.99175
Mixed_Plate_S448_120,n,481,0.00412,0.00412,0.99175
Mixed_Plate_S449_122,1,96,0.21099,0.16703,0.62198
Mixed_Plate_S449_122,2,76,0.21099,0.16703,0.62198
Mixed_Plate_S449_122,n,283,0.21099,0.16703,0.62198
Mixed_Plate_S450_124,1,43,0.09389,0.0131,0.89301
Mixed_Plate_S450_124,2,6,0.09389,0.0131,0.89301
Mixed_Plate_S450_124,n,409,0.09389,0.0131,0.89301
Mixed_Plate_S451_126,1,26,0.04981,0.01916,0.93103
Mixed_Plate_S451_126,2,10,0.04981,0.01916,0.93103
Mixed_Plate_S451_126,n,486,0.04981,0.01916,0.93103
Mixed_Plate_S452_128,1,2,0.00394,0.00394,0.99211
Mixed_Plate_S452_128,2,2,0.00394,0.00394,0.99211
Mixed_Plate_S452_128,n,503,0.00394,0.00394,0.99211
Mixed_Plate_S453_194,1,4,0.00797,0.00398,0.98805
Mixed_Plate_S453_194,2,2,0.00797,0.00398,0.98805
Mixed_Plate_S453_194,n,496,0.00797,0.00398,0.98805
Mixed_Plate_S454_196,1,1,0.00402,0.00402,0.99197
Mixed_Plate_S454_196,2,1,0.00402,0.00402,0.99197
Mixed_Plate_S454_196,n,247,0.00402,0.00402,0.99197
Mixed_Plate_S457_200,1,0,0.0,0.0034,0.9966
