Progeny/Strain, allele, count, a_prop, b_prop, h_prop
Parent_1_SC5314_,1,603,1.0,0.0,0.0
Parent_1_SC5314_,2,0,1.0,0.0,0.0
Parent_1_SC5314_,n,0,1.0,0.0,0.0
Parent_2_529L_,1,0,0.0,1.0,0.0
Parent_2_529L_,2,603,0.0,1.0,0.0
Parent_2_529L_,n,0,0.0,1.0,0.0
529LxSC_P12_A11_178,1,2,0.00709,0.0,0.99291
529LxSC_P12_A11_178,2,0,0.00709,0.0,0.99291
529LxSC_P12_A11_178,n,280,0.00709,0.0,0.99291
529LxSC_P13_A12_194,1,3,0.00777,0.0,0.99223
529LxSC_P13_A12_194,2,0,0.00777,0.0,0.99223
529LxSC_P13_A12_194,n,383,0.00777,0.0,0.99223
529LxSC_P14_B1_116,1,1,0.00356,0.0,0.99644
529LxSC_P14_B1_116,2,0,0.00356,0.0,0.99644
529LxSC_P14_B1_116,n,280,0.00356,0.0,0.99644
529LxSC_P15_B2_132,1,2,0.00763,0.00382,0.98855
529LxSC_P15_B2_132,2,1,0.00763,0.00382,0.98855
529LxSC_P15_B2_132,n,259,0.00763,0.00382,0.98855
529LxSC_P20_B7_116,1,0,0.0,0.0,1.0
529LxSC_P20_B7_116,2,0,0.0,0.0,1.0
529LxSC_P20_B7_116,n,263,0.0,0.0,1.0
529LxSC_P22_B9_148,1,2,0.00635,0.0,0.99365
529LxSC_P22_B9_148,2,0,0.00635,0.0,0.99365
529LxSC_P22_B9_148,n,313,0.00635,0.0,0.99365
529LxSC_P23_B10_164,1,5,0.0119,0.00238,0.98571
529LxSC_P23_B10_164,2,1,0.0119,0.00238,0.98571
529LxSC_P23_B10_164,n,414,0.0119,0.00238,0.98571
529LxSC_P24_B11_180,1,37,0.09635,0.05469,0.84896
529LxSC_P24_B11_180,2,21,0.09635,0.05469,0.84896
529LxSC_P24_B11_180,n,326,0.09635,0.05469,0.84896
529LxSC_P26_C1_118,1,6,0.01987,0.0,0.98013
529LxSC_P26_C1_118,2,0,0.01987,0.0,0.98013
529LxSC_P26_C1_118,n,296,0.01987,0.0,0.98013
529LxSC_P2_A1_114,1,1,0.00373,0.00373,0.99254
529LxSC_P2_A1_114,2,1,0.00373,0.00373,0.99254
529LxSC_P2_A1_114,n,266,0.00373,0.00373,0.99254
529LxSC_P32_C7_118,1,3,0.00968,0.00645,0.98387
529LxSC_P32_C7_118,2,2,0.00968,0.00645,0.98387
529LxSC_P32_C7_118,n,305,0.00968,0.00645,0.98387
529LxSC_P33_C8_134,1,1,0.0034,0.0034,0.9932
529LxSC_P33_C8_134,2,1,0.0034,0.0034,0.9932
529LxSC_P33_C8_134,n,292,0.0034,0.0034,0.9932
529LxSC_P35_C10_166,1,23,0.07256,0.00631,0.92114
529LxSC_P35_C10_166,2,2,0.07256,0.00631,0.92114
529LxSC_P35_C10_166,n,292,0.07256,0.00631,0.92114
529LxSC_P36_C11_182,1,2,0.00433,0.0,0.99567
529LxSC_P36_C11_182,2,0,0.00433,0.0,0.99567
529LxSC_P36_C11_182,n,460,0.00433,0.0,0.99567
529LxSC_P37_C12_198,1,14,0.05323,0.22433,0.72243
529LxSC_P37_C12_198,2,59,0.05323,0.22433,0.72243
529LxSC_P37_C12_198,n,190,0.05323,0.22433,0.72243
529LxSC_P39_D2_136,1,110,0.77465,0.0,0.22535
529LxSC_P39_D2_136,2,0,0.77465,0.0,0.22535
529LxSC_P39_D2_136,n,32,0.77465,0.0,0.22535
529LxSC_P40_D3_152,1,0,0.0,0.0,1.0
529LxSC_P40_D3_152,2,0,0.0,0.0,1.0
529LxSC_P40_D3_152,n,190,0.0,0.0,1.0
529LxSC_P41_D4_168,1,38,0.26573,0.06993,0.66434
529LxSC_P41_D4_168,2,10,0.26573,0.06993,0.66434
529LxSC_P41_D4_168,n,95,0.26573,0.06993,0.66434
529LxSC_P44_D7_120,1,3,0.01083,0.00361,0.98556
529LxSC_P44_D7_120,2,1,0.01083,0.00361,0.98556
529LxSC_P44_D7_120,n,273,0.01083,0.00361,0.98556
