Progeny/Strain, allele, count, a_prop, b_prop, h_prop
SC5314,1,679,1.0,0.0,0.0
SC5314,2,0,1.0,0.0,0.0
SC5314,n,0,1.0,0.0,0.0
529L_,1,0,0.0,1.0,0.0
529L_,2,679,0.0,1.0,0.0
529L_,n,0,0.0,1.0,0.0
529LxSC_P10_A9_146,1,2,0.00568,0.0,0.99432
529LxSC_P10_A9_146,2,0,0.00568,0.0,0.99432
529LxSC_P10_A9_146,n,350,0.00568,0.0,0.99432
529LxSC_P11_A10_162,1,4,0.0092,0.0,0.9908
529LxSC_P11_A10_162,2,0,0.0092,0.0,0.9908
529LxSC_P11_A10_162,n,431,0.0092,0.0,0.9908
529LxSC_P12_A11_178,1,3,0.01027,0.00342,0.9863
529LxSC_P12_A11_178,2,1,0.01027,0.00342,0.9863
529LxSC_P12_A11_178,n,288,0.01027,0.00342,0.9863
529LxSC_P13_A12_194,1,3,0.00741,0.0,0.99259
529LxSC_P13_A12_194,2,0,0.00741,0.0,0.99259
529LxSC_P13_A12_194,n,402,0.00741,0.0,0.99259
529LxSC_P14_B1_116,1,1,0.0034,0.0,0.9966
529LxSC_P14_B1_116,2,0,0.0034,0.0,0.9966
529LxSC_P14_B1_116,n,293,0.0034,0.0,0.9966
529LxSC_P15_B2_132,1,2,0.00743,0.00372,0.98885
529LxSC_P15_B2_132,2,1,0.00743,0.00372,0.98885
529LxSC_P15_B2_132,n,266,0.00743,0.00372,0.98885
529LxSC_P20_B7_116,1,0,0.0,0.0,1.0
529LxSC_P20_B7_116,2,0,0.0,0.0,1.0
529LxSC_P20_B7_116,n,275,0.0,0.0,1.0
529LxSC_P22_B9_148,1,2,0.00606,0.0,0.99394
529LxSC_P22_B9_148,2,0,0.00606,0.0,0.99394
529LxSC_P22_B9_148,n,328,0.00606,0.0,0.99394
529LxSC_P23_B10_164,1,6,0.01345,0.00224,0.9843
529LxSC_P23_B10_164,2,1,0.01345,0.00224,0.9843
529LxSC_P23_B10_164,n,439,0.01345,0.00224,0.9843
529LxSC_P24_B11_180,1,40,0.09926,0.05211,0.84864
529LxSC_P24_B11_180,2,21,0.09926,0.05211,0.84864
529LxSC_P24_B11_180,n,342,0.09926,0.05211,0.84864
529LxSC_P26_C1_118,1,8,0.02532,0.0,0.97468
529LxSC_P26_C1_118,2,0,0.02532,0.0,0.97468
529LxSC_P26_C1_118,n,308,0.02532,0.0,0.97468
529LxSC_P2_A1_114,1,1,0.0036,0.0036,0.99281
529LxSC_P2_A1_114,2,1,0.0036,0.0036,0.99281
529LxSC_P2_A1_114,n,276,0.0036,0.0036,0.99281
529LxSC_P32_C7_118,1,4,0.01238,0.00619,0.98142
529LxSC_P32_C7_118,2,2,0.01238,0.00619,0.98142
529LxSC_P32_C7_118,n,317,0.01238,0.00619,0.98142
529LxSC_P33_C8_134,1,1,0.00332,0.00332,0.99336
529LxSC_P33_C8_134,2,1,0.00332,0.00332,0.99336
529LxSC_P33_C8_134,n,299,0.00332,0.00332,0.99336
529LxSC_P35_C10_166,1,24,0.07385,0.00615,0.92
529LxSC_P35_C10_166,2,2,0.07385,0.00615,0.92
529LxSC_P35_C10_166,n,299,0.07385,0.00615,0.92
529LxSC_P36_C11_182,1,2,0.00418,0.0,0.99582
529LxSC_P36_C11_182,2,0,0.00418,0.0,0.99582
529LxSC_P36_C11_182,n,477,0.00418,0.0,0.99582
529LxSC_P37_C12_198,1,15,0.05495,0.21978,0.72527
