Progeny/Strain, allele, count, a_prop, b_prop, h_prop, m_prop
SC5314,1,567,1.0,0.0,0.0,0.0
SC5314,2,0,1.0,0.0,0.0,0.0
SC5314,n,0,1.0,0.0,0.0,0.0
SC5314,-,0,1.0,0.0,0.0,0.0
529L_,1,0,0.0,1.0,0.0,0.0
529L_,2,567,0.0,1.0,0.0,0.0
529L_,n,0,0.0,1.0,0.0,0.0
529L_,-,0,0.0,1.0,0.0,0.0
529LxSC_P10_A9_146,1,2,0.00353,0.0,0.55379,0.44268
529LxSC_P10_A9_146,2,0,0.00353,0.0,0.55379,0.44268
529LxSC_P10_A9_146,n,314,0.00353,0.0,0.55379,0.44268
529LxSC_P10_A9_146,-,251,0.00353,0.0,0.55379,0.44268
529LxSC_P11_A10_162,1,3,0.00529,0.0,0.69312,0.30159
529LxSC_P11_A10_162,2,0,0.00529,0.0,0.69312,0.30159
529LxSC_P11_A10_162,n,393,0.00529,0.0,0.69312,0.30159
529LxSC_P11_A10_162,-,171,0.00529,0.0,0.69312,0.30159
529LxSC_P12_A11_178,1,3,0.00529,0.0,0.4515,0.54321
529LxSC_P12_A11_178,2,0,0.00529,0.0,0.4515,0.54321
529LxSC_P12_A11_178,n,256,0.00529,0.0,0.4515,0.54321
529LxSC_P12_A11_178,-,308,0.00529,0.0,0.4515,0.54321
529LxSC_P13_A12_194,1,1,0.00176,0.0,0.64021,0.35802
529LxSC_P13_A12_194,2,0,0.00176,0.0,0.64021,0.35802
529LxSC_P13_A12_194,n,363,0.00176,0.0,0.64021,0.35802
529LxSC_P13_A12_194,-,203,0.00176,0.0,0.64021,0.35802
529LxSC_P14_B1_116,1,0,0.0,0.0,0.46384,0.53616
529LxSC_P14_B1_116,2,0,0.0,0.0,0.46384,0.53616
529LxSC_P14_B1_116,n,263,0.0,0.0,0.46384,0.53616
529LxSC_P14_B1_116,-,304,0.0,0.0,0.46384,0.53616
529LxSC_P15_B2_132,1,2,0.00353,0.0,0.4127,0.58377
529LxSC_P15_B2_132,2,0,0.00353,0.0,0.4127,0.58377
529LxSC_P15_B2_132,n,234,0.00353,0.0,0.4127,0.58377
529LxSC_P15_B2_132,-,331,0.00353,0.0,0.4127,0.58377
529LxSC_P20_B7_116,1,0,0.0,0.0,0.43034,0.56966
529LxSC_P20_B7_116,2,0,0.0,0.0,0.43034,0.56966
529LxSC_P20_B7_116,n,244,0.0,0.0,0.43034,0.56966
529LxSC_P20_B7_116,-,323,0.0,0.0,0.43034,0.56966
529LxSC_P22_B9_148,1,0,0.0,0.0,0.50794,0.49206
529LxSC_P22_B9_148,2,0,0.0,0.0,0.50794,0.49206
529LxSC_P22_B9_148,n,288,0.0,0.0,0.50794,0.49206
529LxSC_P22_B9_148,-,279,0.0,0.0,0.50794,0.49206
529LxSC_P23_B10_164,1,4,0.00705,0.0,0.70194,0.29101
529LxSC_P23_B10_164,2,0,0.00705,0.0,0.70194,0.29101
529LxSC_P23_B10_164,n,398,0.00705,0.0,0.70194,0.29101
529LxSC_P23_B10_164,-,165,0.00705,0.0,0.70194,0.29101
529LxSC_P24_B11_180,1,33,0.0582,0.03527,0.51146,0.39506
529LxSC_P24_B11_180,2,20,0.0582,0.03527,0.51146,0.39506
529LxSC_P24_B11_180,n,290,0.0582,0.03527,0.51146,0.39506
529LxSC_P24_B11_180,-,224,0.0582,0.03527,0.51146,0.39506
529LxSC_P26_C1_118,1,7,0.01235,0.0,0.46561,0.52205
529LxSC_P26_C1_118,2,0,0.01235,0.0,0.46561,0.52205
529LxSC_P26_C1_118,n,264,0.01235,0.0,0.46561,0.52205
529LxSC_P26_C1_118,-,296,0.01235,0.0,0.46561,0.52205
529LxSC_P2_A1_114,1,1,0.00176,0.00176,0.42328,0.57319
529LxSC_P2_A1_114,2,1,0.00176,0.00176,0.42328,0.57319
529LxSC_P2_A1_114,n,240,0.00176,0.00176,0.42328,0.57319
529LxSC_P2_A1_114,-,325,0.00176,0.00176,0.42328,0.57319
529LxSC_P32_C7_118,1,3,0.00529,0.0,0.50265,0.49206
529LxSC_P32_C7_118,2,0,0.00529,0.0,0.50265,0.49206
529LxSC_P32_C7_118,n,285,0.00529,0.0,0.50265,0.49206
529LxSC_P32_C7_118,-,279,0.00529,0.0,0.50265,0.49206
529LxSC_P33_C8_134,1,1,0.00176,0.0,0.48325,0.51499
529LxSC_P33_C8_134,2,0,0.00176,0.0,0.48325,0.51499
529LxSC_P33_C8_134,n,274,0.00176,0.0,0.48325,0.51499
529LxSC_P33_C8_134,-,292,0.00176,0.0,0.48325,0.51499
529LxSC_P35_C10_166,1,22,0.0388,0.00353,0.44797,0.5097
529LxSC_P35_C10_166,2,2,0.0388,0.00353,0.44797,0.5097
529LxSC_P35_C10_166,n,254,0.0388,0.00353,0.44797,0.5097
529LxSC_P35_C10_166,-,289,0.0388,0.00353,0.44797,0.5097
529LxSC_P36_C11_182,1,1,0.00176,0.0,0.76896,0.22928
529LxSC_P36_C11_182,2,0,0.00176,0.0,0.76896,0.22928
529LxSC_P36_C11_182,n,436,0.00176,0.0,0.76896,0.22928
529LxSC_P36_C11_182,-,130,0.00176,0.0,0.76896,0.22928
529LxSC_P37_C12_198,1,15,0.02646,0.08642,0.28395,0.60317
529LxSC_P37_C12_198,2,49,0.02646,0.08642,0.28395,0.60317
529LxSC_P37_C12_198,n,161,0.02646,0.08642,0.28395,0.60317
529LxSC_P37_C12_198,-,342,0.02646,0.08642,0.28395,0.60317
529LxSC_P39_D2_136,1,98,0.17284,0.0,0.04938,0.77778
529LxSC_P39_D2_136,2,0,0.17284,0.0,0.04938,0.77778
529LxSC_P39_D2_136,n,28,0.17284,0.0,0.04938,0.77778
529LxSC_P39_D2_136,-,441,0.17284,0.0,0.04938,0.77778
529LxSC_P40_D3_152,1,0,0.0,0.0,0.31393,0.68607
529LxSC_P40_D3_152,2,0,0.0,0.0,0.31393,0.68607
529LxSC_P40_D3_152,n,178,0.0,0.0,0.31393,0.68607
529LxSC_P40_D3_152,-,389,0.0,0.0,0.31393,0.68607
529LxSC_P41_D4_168,1,35,0.06173,0.01235,0.1358,0.79012
529LxSC_P41_D4_168,2,7,0.06173,0.01235,0.1358,0.79012
529LxSC_P41_D4_168,n,77,0.06173,0.01235,0.1358,0.79012
529LxSC_P41_D4_168,-,448,0.06173,0.01235,0.1358,0.79012
529LxSC_P44_D7_120,1,2,0.00353,0.00176,0.46208,0.53263
529LxSC_P44_D7_120,2,1,0.00353,0.00176,0.46208,0.53263
529LxSC_P44_D7_120,n,262,0.00353,0.00176,0.46208,0.53263
529LxSC_P44_D7_120,-,302,0.00353,0.00176,0.46208,0.53263
529LxSC_P46_D9_152,1,56,0.09877,0.01411,0.29806,0.58907
