Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
SC5314,1,740,1.0,1.0,0.0,0.0
SC5314,2,0,0.0,1.0,0.0,0.0
SC5314,n,0,0.0,1.0,0.0,0.0
P60002,1,0,0.0,0.0,1.0,0.0
P60002,2,740,1.0,0.0,1.0,0.0
P60002,n,0,0.0,0.0,1.0,0.0
P6xSC_P10_A9_128,1,413,0.99279,0.99279,0.0024,0.00481
P6xSC_P10_A9_128,2,1,0.0024,0.99279,0.0024,0.00481
P6xSC_P10_A9_128,n,2,0.00481,0.99279,0.0024,0.00481
P6xSC_P11_A10_142,1,368,0.99729,0.99729,0.0,0.00271
P6xSC_P11_A10_142,2,0,0.0,0.99729,0.0,0.00271
P6xSC_P11_A10_142,n,1,0.00271,0.99729,0.0,0.00271
P6xSC_P12_A11_154,1,600,0.99338,0.99338,0.0,0.00662
P6xSC_P12_A11_154,2,0,0.0,0.99338,0.0,0.00662
P6xSC_P12_A11_154,n,4,0.00662,0.99338,0.0,0.00662
P6xSC_P13_A12_116,1,570,0.99476,0.99476,0.0,0.00524
P6xSC_P13_A12_116,2,0,0.0,0.99476,0.0,0.00524
P6xSC_P13_A12_116,n,3,0.00524,0.99476,0.0,0.00524
P6xSC_P14_B1_196,1,582,0.99487,0.99487,0.0,0.00513
P6xSC_P14_B1_196,2,0,0.0,0.99487,0.0,0.00513
P6xSC_P14_B1_196,n,3,0.00513,0.99487,0.0,0.00513
P6xSC_P15_B2_180,1,617,0.98248,0.98248,0.00159,0.01592
P6xSC_P15_B2_180,2,1,0.00159,0.98248,0.00159,0.01592
P6xSC_P15_B2_180,n,10,0.01592,0.98248,0.00159,0.01592
P6xSC_P16_B3_164,1,555,0.98057,0.98057,0.00177,0.01767
P6xSC_P16_B3_164,2,1,0.00177,0.98057,0.00177,0.01767
P6xSC_P16_B3_164,n,10,0.01767,0.98057,0.00177,0.01767
P6xSC_P20_B7_144,1,647,0.98179,0.98179,0.00152,0.01669
P6xSC_P20_B7_144,2,1,0.00152,0.98179,0.00152,0.01669
P6xSC_P20_B7_144,n,11,0.01669,0.98179,0.00152,0.01669
P6xSC_P21_B8_116,1,305,0.98071,0.98071,0.0,0.01929
P6xSC_P21_B8_116,2,0,0.0,0.98071,0.0,0.01929
P6xSC_P21_B8_116,n,6,0.01929,0.98071,0.0,0.01929
P6xSC_P23_B10_144,1,366,0.98123,0.98123,0.0,0.01877
P6xSC_P23_B10_144,2,0,0.0,0.98123,0.0,0.01877
P6xSC_P23_B10_144,n,7,0.01877,0.98123,0.0,0.01877
P6xSC_P24_B11_156,1,371,0.9867,0.9867,0.0,0.0133
P6xSC_P24_B11_156,2,0,0.0,0.9867,0.0,0.0133
P6xSC_P24_B11_156,n,5,0.0133,0.9867,0.0,0.0133
P6xSC_P25_B12_118,1,551,0.97869,0.97869,0.00178,0.01954
P6xSC_P25_B12_118,2,1,0.00178,0.97869,0.00178,0.01954
P6xSC_P25_B12_118,n,11,0.01954,0.97869,0.00178,0.01954
P6xSC_P26_C1_198,1,629,0.98281,0.98281,0.00156,0.01562
P6xSC_P26_C1_198,2,1,0.00156,0.98281,0.00156,0.01562
P6xSC_P26_C1_198,n,10,0.01562,0.98281,0.00156,0.01562
P6xSC_P27_C2_182,1,580,0.97973,0.97973,0.00169,0.01858
P6xSC_P27_C2_182,2,1,0.00169,0.97973,0.00169,0.01858
P6xSC_P27_C2_182,n,11,0.01858,0.97973,0.00169,0.01858
P6xSC_P28_C3_166,1,562,0.97739,0.97739,0.00174,0.02087
P6xSC_P28_C3_166,2,1,0.00174,0.97739,0.00174,0.02087
P6xSC_P28_C3_166,n,12,0.02087,0.97739,0.00174,0.02087
P6xSC_P29_C4_150,1,369,0.98663,0.98663,0.0,0.01337
P6xSC_P29_C4_150,2,0,0.0,0.98663,0.0,0.01337
P6xSC_P29_C4_150,n,5,0.01337,0.98663,0.0,0.01337
P6xSC_P2_A1_194,1,575,0.97956,0.97956,0.0017,0.01874
P6xSC_P2_A1_194,2,1,0.0017,0.97956,0.0017,0.01874
P6xSC_P2_A1_194,n,11,0.01874,0.97956,0.0017,0.01874
P6xSC_P31_C6_132,1,286,0.98282,0.98282,0.0,0.01718
P6xSC_P31_C6_132,2,0,0.0,0.98282,0.0,0.01718
P6xSC_P31_C6_132,n,5,0.01718,0.98282,0.0,0.01718
P6xSC_P32_C7_160,1,341,0.98841,0.98841,0.0,0.01159
P6xSC_P32_C7_160,2,0,0.0,0.98841,0.0,0.01159
P6xSC_P32_C7_160,n,4,0.01159,0.98841,0.0,0.01159
P6xSC_P33_C8_118,1,435,0.97973,0.97973,0.00225,0.01802
P6xSC_P33_C8_118,2,1,0.00225,0.97973,0.00225,0.01802
P6xSC_P33_C8_118,n,8,0.01802,0.97973,0.00225,0.01802
P6xSC_P34_C9_132,1,480,0.9776,0.9776,0.00204,0.02037
P6xSC_P34_C9_132,2,1,0.00204,0.9776,0.00204,0.02037
P6xSC_P34_C9_132,n,10,0.02037,0.9776,0.00204,0.02037
P6xSC_P35_C10_146,1,357,0.98347,0.98347,0.00275,0.01377
P6xSC_P35_C10_146,2,1,0.00275,0.98347,0.00275,0.01377
P6xSC_P35_C10_146,n,5,0.01377,0.98347,0.00275,0.01377
P6xSC_P36_C11_158,1,342,0.98559,0.98559,0.0,0.01441
P6xSC_P36_C11_158,2,0,0.0,0.98559,0.0,0.01441
P6xSC_P36_C11_158,n,5,0.01441,0.98559,0.0,0.01441
P6xSC_P37_C12_120,1,415,0.97647,0.97647,0.00235,0.02118
