SCx529L,SCxP6
23,9
19,135
19,246
19,238
20,162
19,276
18,9
19,11
28,5
58,234
33,10
16,6
28,182
19,10
62,9
15,11
47,8
40,9
16,21
39,21
26,22
67,19
49,19
59,15
19,25
14,21
17,23
32,27
49,12
10,24
28,17
55,12
28,18
5,22
14,19
19,17
48,22
39,20
14,19
26,11
13,14
22,20
17,17
28,16
13,15
93,23
102,18
59,19
22,11
21,23
100,22
99,10
58,13
23,13
18,23
14,10
22,12
16,10
10,12
104,13
82,9
103,13
26,9
89,11
27,20
23,10
82,12
80,12
29,13
12,10
16,11
19,5
62,11
84,15
86,18
,17
,18
,15
,11
,17
,11
,9
,15
