prog.name, recombinations
MAnderson017_118_R225-2_S32.sort.GT,172
MAnderson017_119_R225-2_S33.sort.GT,172
MAnderson017_120_R225-2_S87.sort.GT,196
MAnderson017_121_R225-2_S89.sort.GT,164
MAnderson017_125_R225-2_S86.sort.GT,176
MAnderson017_126_R225-2_S44.sort.GT,178
MAnderson017_127_R225-2_S45.sort.GT,188
MAnderson017_128_R225-2_S49.sort.GT,160
MAnderson017_129_R225-2_S50.sort.GT,172
MAnderson017_130_R225-2_S95.sort.GT,176
MAnderson017_133_R225-2_S96.sort.GT,167
MAnderson017_135_R225-2_S85.sort.GT,481
MAnderson017_140_R225-2_S84.sort.GT,171
MAnderson017_143_R225-2_S46.sort.GT,199
MAnderson017_146_R225-2_S52.sort.GT,172
MAnderson017_147_R225-2_S78.sort.GT,172
MAnderson017_148_R225-2_S79.sort.GT,162
MAnderson017_158_R225-2_S98.sort.GT,275
MAnderson017_881_R225-2_S93.sort.GT,172
MAnderson017_885_R225-2_S94.sort.GT,167
MAnderson017_887_R225-2_S51.sort.GT,180
MAnderson017_888_R225-2_S53.sort.GT,171
MAnderson017_889_R225-2_S76.sort.GT,176
MAnderson017_890_R225-2_S77.sort.GT,185
MAnderson017_891_R225-2_S97.sort.GT,175
MAnderson017_892_R225-2_S58.sort.GT,191
MAnderson017_893_R225-2_S92.sort.GT,163
MAnderson017_894_R225-2_S34.sort.GT,167
MAnderson017_895_R225-2_S36.sort.GT,169
MAnderson017_896_R225-2_S54.sort.GT,204
MAnderson017_899_R225-2_S40.sort.GT,197
MAnderson017_900_R225-2_S88.sort.GT,189
MAnderson017_901_R225-2_S99.sort.GT,167
MAnderson017_902_R225-2_S59.sort.GT,171
MAnderson017_905_R225-2_S102.sort.GT,196
MAnderson017_907_R225-2_S35.sort.GT,199
MAnderson017_908_R225-2_S83.sort.GT,169
MAnderson017_911_R225-2_S41.sort.GT,157
MAnderson017_912_R225-2_S39.sort.GT,177
MAnderson017_914_R225-2_S120.sort.GT,250
MAnderson017_915_R225-2_S37.sort.GT,161
MAnderson017_917_R225-2_S73.sort.GT,182
MAnderson017_918_R225-2_S117.sort.GT,163
MAnderson017_921_R225-2_S82.sort.GT,173
MAnderson017_923_R225-2_S80.sort.GT,175
MAnderson017_924_R225-2_S42.sort.GT,177
MAnderson017_925_R225-2_S48.sort.GT,187
MAnderson017_931_R225-2_S91.sort.GT,161
MAnderson017_932_R225-2_S38.sort.GT,170
MAnderson017_935_R225-2_S75.sort.GT,175
MAnderson017_936_R225-2_S74.sort.GT,165
MAnderson017_938_R225-2_S81.sort.GT,169
MAnderson017_939_R225-2_S100.sort.GT,172
MAnderson017_940_R225-2_S43.sort.GT,189
MAnderson017_946_R225-2_S47.sort.GT,172
MAnderson017_951_R225-2_S90.sort.GT,242
MAnderson017_952_R225-2_S61.sort.GT,10
MAnderson017_953_R225-2_S72.sort.GT,6
MAnderson017_954_R225-2_S118.sort.GT,6
MAnderson017_955_R225-2_S119.sort.GT,16
MAnderson017_959_R225-2_S55.sort.GT,8
MAnderson017_960_R225-2_S56.sort.GT,20
MAnderson017_961_R225-2_S116.sort.GT,14
MAnderson017_964_R225-2_S60.sort.GT,186
MAnderson017_967_R225-2_S121.sort.GT,244
MAnderson017_968_R225-2_S57.sort.GT,232
