Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_1_R225-2_S31_R1_001_val_1.sort.GT,1,23551,1.0,1.0,0.0,0.0
MAnderson017_1_R225-2_S31_R1_001_val_1.sort.GT,2,0,0.0,1.0,0.0,0.0
MAnderson017_1_R225-2_S31_R1_001_val_1.sort.GT,n,0,0.0,1.0,0.0,0.0
MAnderson017_1454_R225-2_S101_R1_001_val_1.sort.GT,1,0,0.0,0.0,1.0,0.0
MAnderson017_1454_R225-2_S101_R1_001_val_1.sort.GT,2,23551,1.0,0.0,1.0,0.0
MAnderson017_1454_R225-2_S101_R1_001_val_1.sort.GT,n,0,0.0,0.0,1.0,0.0
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,1,303,0.01287,0.01287,0.00017,0.98696
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,2,4,0.00017,0.01287,0.00017,0.98696
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,n,23242,0.98696,0.01287,0.00017,0.98696
MAnderson017_119_R225-2_S33_R1_001_val_1.sort.GT,1,283,0.01202,0.01202,0.00042,0.98756
MAnderson017_119_R225-2_S33_R1_001_val_1.sort.GT,2,10,0.00042,0.01202,0.00042,0.98756
MAnderson017_119_R225-2_S33_R1_001_val_1.sort.GT,n,23255,0.98756,0.01202,0.00042,0.98756
MAnderson017_120_R225-2_S87_R1_001_val_1.sort.GT,1,480,0.02039,0.02039,0.00047,0.97914
MAnderson017_120_R225-2_S87_R1_001_val_1.sort.GT,2,11,0.00047,0.02039,0.00047,0.97914
MAnderson017_120_R225-2_S87_R1_001_val_1.sort.GT,n,23050,0.97914,0.02039,0.00047,0.97914
MAnderson017_121_R225-2_S89_R1_001_val_1.sort.GT,1,351,0.01491,0.01491,0.0003,0.9848
MAnderson017_121_R225-2_S89_R1_001_val_1.sort.GT,2,7,0.0003,0.01491,0.0003,0.9848
MAnderson017_121_R225-2_S89_R1_001_val_1.sort.GT,n,23188,0.9848,0.01491,0.0003,0.9848
MAnderson017_125_R225-2_S86_R1_001_val_1.sort.GT,1,247,0.01049,0.01049,0.00034,0.98917
MAnderson017_125_R225-2_S86_R1_001_val_1.sort.GT,2,8,0.00034,0.01049,0.00034,0.98917
MAnderson017_125_R225-2_S86_R1_001_val_1.sort.GT,n,23294,0.98917,0.01049,0.00034,0.98917
MAnderson017_126_R225-2_S44_R1_001_val_1.sort.GT,1,290,0.01232,0.01232,0.00259,0.98509
MAnderson017_126_R225-2_S44_R1_001_val_1.sort.GT,2,61,0.00259,0.01232,0.00259,0.98509
MAnderson017_126_R225-2_S44_R1_001_val_1.sort.GT,n,23186,0.98509,0.01232,0.00259,0.98509
MAnderson017_127_R225-2_S45_R1_001_val_1.sort.GT,1,2565,0.1096,0.1096,0.08328,0.80713
MAnderson017_127_R225-2_S45_R1_001_val_1.sort.GT,2,1949,0.08328,0.1096,0.08328,0.80713
MAnderson017_127_R225-2_S45_R1_001_val_1.sort.GT,n,18890,0.80713,0.1096,0.08328,0.80713
MAnderson017_128_R225-2_S49_R1_001_val_1.sort.GT,1,315,0.01338,0.01338,0.00021,0.98641
MAnderson017_128_R225-2_S49_R1_001_val_1.sort.GT,2,5,0.00021,0.01338,0.00021,0.98641
MAnderson017_128_R225-2_S49_R1_001_val_1.sort.GT,n,23229,0.98641,0.01338,0.00021,0.98641
MAnderson017_129_R225-2_S50_R1_001_val_1.sort.GT,1,320,0.01359,0.01359,0.00034,0.98607
MAnderson017_129_R225-2_S50_R1_001_val_1.sort.GT,2,8,0.00034,0.01359,0.00034,0.98607
MAnderson017_129_R225-2_S50_R1_001_val_1.sort.GT,n,23222,0.98607,0.01359,0.00034,0.98607
MAnderson017_130_R225-2_S95_R1_001_val_1.sort.GT,1,298,0.01266,0.01266,0.00013,0.98722
MAnderson017_130_R225-2_S95_R1_001_val_1.sort.GT,2,3,0.00013,0.01266,0.00013,0.98722
MAnderson017_130_R225-2_S95_R1_001_val_1.sort.GT,n,23244,0.98722,0.01266,0.00013,0.98722
MAnderson017_133_R225-2_S96_R1_001_val_1.sort.GT,1,304,0.01291,0.01291,0.0003,0.98679
MAnderson017_133_R225-2_S96_R1_001_val_1.sort.GT,2,7,0.0003,0.01291,0.0003,0.98679
MAnderson017_133_R225-2_S96_R1_001_val_1.sort.GT,n,23236,0.98679,0.01291,0.0003,0.98679
MAnderson017_135_R225-2_S85_R1_001_val_1.sort.GT,1,622,0.02642,0.02642,0.00816,0.96542
MAnderson017_135_R225-2_S85_R1_001_val_1.sort.GT,2,192,0.00816,0.02642,0.00816,0.96542
MAnderson017_135_R225-2_S85_R1_001_val_1.sort.GT,n,22726,0.96542,0.02642,0.00816,0.96542
MAnderson017_140_R225-2_S84_R1_001_val_1.sort.GT,1,322,0.01368,0.01368,0.0003,0.98603
MAnderson017_140_R225-2_S84_R1_001_val_1.sort.GT,2,7,0.0003,0.01368,0.0003,0.98603
MAnderson017_140_R225-2_S84_R1_001_val_1.sort.GT,n,23217,0.98603,0.01368,0.0003,0.98603
MAnderson017_143_R225-2_S46_R1_001_val_1.sort.GT,1,2563,0.10946,0.10946,0.0835,0.80704
MAnderson017_143_R225-2_S46_R1_001_val_1.sort.GT,2,1955,0.0835,0.10946,0.0835,0.80704
MAnderson017_143_R225-2_S46_R1_001_val_1.sort.GT,n,18896,0.80704,0.10946,0.0835,0.80704
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,1,303,0.01287,0.01287,0.00017,0.98696
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,2,4,0.00017,0.01287,0.00017,0.98696
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,n,23241,0.98696,0.01287,0.00017,0.98696
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,1,316,0.01342,0.01342,0.00021,0.98637
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,2,5,0.00021,0.01342,0.00021,0.98637
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,n,23226,0.98637,0.01342,0.00021,0.98637
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,1,330,0.01402,0.01402,0.00034,0.98564
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,2,8,0.00034,0.01402,0.00034,0.98564
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,n,23207,0.98564,0.01402,0.00034,0.98564
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,1,3723,0.15829,0.15829,0.00259,0.83912
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,2,61,0.00259,0.15829,0.00259,0.83912
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,n,19736,0.83912,0.15829,0.00259,0.83912
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,1,304,0.01291,0.01291,0.00021,0.98688
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,2,5,0.00021,0.01291,0.00021,0.98688
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,n,23237,0.98688,0.01291,0.00021,0.98688
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,1,332,0.0141,0.0141,0.0003,0.9856
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,2,7,0.0003,0.0141,0.0003,0.9856
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,n,23206,0.9856,0.0141,0.0003,0.9856
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,1,281,0.01193,0.01193,0.00025,0.98781
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,2,6,0.00025,0.01193,0.00025,0.98781
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,n,23261,0.98781,0.01193,0.00025,0.98781
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,1,312,0.01325,0.01325,0.00059,0.98615
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,2,14,0.00059,0.01325,0.00059,0.98615
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,n,23217,0.98615,0.01325,0.00059,0.98615
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,1,294,0.01249,0.01249,0.00025,0.98726
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,2,6,0.00025,0.01249,0.00025,0.98726
