Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_1_R225-2_S31.sort.GT,1,24938,1.0,1.0,0.0,0.0
MAnderson017_1_R225-2_S31.sort.GT,2,0,0.0,1.0,0.0,0.0
MAnderson017_1_R225-2_S31.sort.GT,n,0,0.0,1.0,0.0,0.0
MAnderson017_1454_R225-2_S101.sort.GT,1,0,0.0,0.0,1.0,0.0
MAnderson017_1454_R225-2_S101.sort.GT,2,24938,1.0,0.0,1.0,0.0
MAnderson017_1454_R225-2_S101.sort.GT,n,0,0.0,0.0,1.0,0.0
MAnderson017_118_R225-2_S32.sort.GT,1,215,0.00863,0.00863,0.00048,0.99088
MAnderson017_118_R225-2_S32.sort.GT,2,12,0.00048,0.00863,0.00048,0.99088
MAnderson017_118_R225-2_S32.sort.GT,n,24673,0.99088,0.00863,0.00048,0.99088
MAnderson017_119_R225-2_S33.sort.GT,1,193,0.00775,0.00775,0.00068,0.99157
MAnderson017_119_R225-2_S33.sort.GT,2,17,0.00068,0.00775,0.00068,0.99157
MAnderson017_119_R225-2_S33.sort.GT,n,24690,0.99157,0.00775,0.00068,0.99157
MAnderson017_120_R225-2_S87.sort.GT,1,251,0.01008,0.01008,0.00088,0.98903
MAnderson017_120_R225-2_S87.sort.GT,2,22,0.00088,0.01008,0.00088,0.98903
MAnderson017_120_R225-2_S87.sort.GT,n,24622,0.98903,0.01008,0.00088,0.98903
MAnderson017_121_R225-2_S89.sort.GT,1,203,0.00815,0.00815,0.00064,0.9912
MAnderson017_121_R225-2_S89.sort.GT,2,16,0.00064,0.00815,0.00064,0.9912
MAnderson017_121_R225-2_S89.sort.GT,n,24676,0.9912,0.00815,0.00064,0.9912
MAnderson017_125_R225-2_S86.sort.GT,1,223,0.00895,0.00895,0.0004,0.99065
MAnderson017_125_R225-2_S86.sort.GT,2,10,0.0004,0.00895,0.0004,0.99065
MAnderson017_125_R225-2_S86.sort.GT,n,24681,0.99065,0.00895,0.0004,0.99065
MAnderson017_126_R225-2_S44.sort.GT,1,176,0.00707,0.00707,0.00322,0.98971
MAnderson017_126_R225-2_S44.sort.GT,2,80,0.00322,0.00707,0.00322,0.98971
MAnderson017_126_R225-2_S44.sort.GT,n,24624,0.98971,0.00707,0.00322,0.98971
MAnderson017_127_R225-2_S45.sort.GT,1,2430,0.09795,0.09795,0.08723,0.81483
MAnderson017_127_R225-2_S45.sort.GT,2,2164,0.08723,0.09795,0.08723,0.81483
MAnderson017_127_R225-2_S45.sort.GT,n,20215,0.81483,0.09795,0.08723,0.81483
MAnderson017_128_R225-2_S49.sort.GT,1,202,0.00812,0.00812,0.00052,0.99136
MAnderson017_128_R225-2_S49.sort.GT,2,13,0.00052,0.00812,0.00052,0.99136
MAnderson017_128_R225-2_S49.sort.GT,n,24669,0.99136,0.00812,0.00052,0.99136
MAnderson017_129_R225-2_S50.sort.GT,1,204,0.0082,0.0082,0.0006,0.9912
MAnderson017_129_R225-2_S50.sort.GT,2,15,0.0006,0.0082,0.0006,0.9912
MAnderson017_129_R225-2_S50.sort.GT,n,24671,0.9912,0.0082,0.0006,0.9912
MAnderson017_130_R225-2_S95.sort.GT,1,215,0.00863,0.00863,0.00032,0.99104
MAnderson017_130_R225-2_S95.sort.GT,2,8,0.00032,0.00863,0.00032,0.99104
MAnderson017_130_R225-2_S95.sort.GT,n,24676,0.99104,0.00863,0.00032,0.99104
MAnderson017_133_R225-2_S96.sort.GT,1,195,0.00784,0.00784,0.00048,0.99168
MAnderson017_133_R225-2_S96.sort.GT,2,12,0.00048,0.00784,0.00048,0.99168
MAnderson017_133_R225-2_S96.sort.GT,n,24680,0.99168,0.00784,0.00048,0.99168
MAnderson017_135_R225-2_S85.sort.GT,1,338,0.01357,0.01357,0.00285,0.98357
MAnderson017_135_R225-2_S85.sort.GT,2,71,0.00285,0.01357,0.00285,0.98357
MAnderson017_135_R225-2_S85.sort.GT,n,24492,0.98357,0.01357,0.00285,0.98357
MAnderson017_140_R225-2_S84.sort.GT,1,238,0.00955,0.00955,0.00036,0.99009
MAnderson017_140_R225-2_S84.sort.GT,2,9,0.00036,0.00955,0.00036,0.99009
MAnderson017_140_R225-2_S84.sort.GT,n,24667,0.99009,0.00955,0.00036,0.99009
MAnderson017_143_R225-2_S46.sort.GT,1,2449,0.09869,0.09869,0.08692,0.81439
MAnderson017_143_R225-2_S46.sort.GT,2,2157,0.08692,0.09869,0.08692,0.81439
MAnderson017_143_R225-2_S46.sort.GT,n,20209,0.81439,0.09869,0.08692,0.81439
MAnderson017_146_R225-2_S52.sort.GT,1,221,0.00887,0.00887,0.00044,0.99069
MAnderson017_146_R225-2_S52.sort.GT,2,11,0.00044,0.00887,0.00044,0.99069
MAnderson017_146_R225-2_S52.sort.GT,n,24682,0.99069,0.00887,0.00044,0.99069
MAnderson017_147_R225-2_S78.sort.GT,1,207,0.00832,0.00832,0.00048,0.9912
