Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop,Recombination count,mkr_count,data.source
529LxSC_P10_A9_146,1,5,0.01416,0.01416,0.00283,0.983,19,353,ddRAD
529LxSC_P10_A9_146,2,1,0.00283,0.01416,0.00283,0.983,19,353,ddRAD
529LxSC_P10_A9_146,n,347,0.983,0.01416,0.00283,0.983,19,353,ddRAD
529LxSC_P11_A10_162,1,5,0.01147,0.01147,0,0.98853,13,436,ddRAD
529LxSC_P11_A10_162,2,0,0,0.01147,0,0.98853,13,436,ddRAD
529LxSC_P11_A10_162,n,431,0.98853,0.01147,0,0.98853,13,436,ddRAD
529LxSC_P12_A11_178,1,3,0.01024,0.01024,0.00683,0.98294,15,293,ddRAD
529LxSC_P12_A11_178,2,2,0.00683,0.01024,0.00683,0.98294,15,293,ddRAD
529LxSC_P12_A11_178,n,288,0.98294,0.01024,0.00683,0.98294,15,293,ddRAD
529LxSC_P13_A12_194,1,4,0.00985,0.00985,0.00246,0.98768,13,406,ddRAD
529LxSC_P13_A12_194,2,1,0.00246,0.00985,0.00246,0.98768,13,406,ddRAD
529LxSC_P13_A12_194,n,401,0.98768,0.00985,0.00246,0.98768,13,406,ddRAD
529LxSC_P14_B1_116,1,4,0.01361,0.01361,0.0034,0.98299,18,294,ddRAD
529LxSC_P14_B1_116,2,1,0.0034,0.01361,0.0034,0.98299,18,294,ddRAD
529LxSC_P14_B1_116,n,289,0.98299,0.01361,0.0034,0.98299,18,294,ddRAD
529LxSC_P15_B2_132,1,3,0.01115,0.01115,0.00372,0.98513,17,269,ddRAD
529LxSC_P15_B2_132,2,1,0.00372,0.01115,0.00372,0.98513,17,269,ddRAD
529LxSC_P15_B2_132,n,265,0.98513,0.01115,0.00372,0.98513,17,269,ddRAD
529LxSC_P20_B7_116,1,1,0.00364,0.00364,0.00364,0.99273,14,275,ddRAD
529LxSC_P20_B7_116,2,1,0.00364,0.00364,0.00364,0.99273,14,275,ddRAD
529LxSC_P20_B7_116,n,273,0.99273,0.00364,0.00364,0.99273,14,275,ddRAD
529LxSC_P22_B9_148,1,3,0.00909,0.00909,0.00303,0.98788,17,330,ddRAD
529LxSC_P22_B9_148,2,1,0.00303,0.00909,0.00303,0.98788,17,330,ddRAD
529LxSC_P22_B9_148,n,326,0.98788,0.00909,0.00303,0.98788,17,330,ddRAD
529LxSC_P23_B10_164,1,7,0.01566,0.01566,0.00447,0.97987,22,447,ddRAD
529LxSC_P23_B10_164,2,2,0.00447,0.01566,0.00447,0.97987,22,447,ddRAD
529LxSC_P23_B10_164,n,438,0.97987,0.01566,0.00447,0.97987,22,447,ddRAD
529LxSC_P24_B11_180,1,41,0.10149,0.10149,0.05198,0.84653,56,404,ddRAD
529LxSC_P24_B11_180,2,21,0.05198,0.10149,0.05198,0.84653,56,404,ddRAD
529LxSC_P24_B11_180,n,342,0.84653,0.10149,0.05198,0.84653,56,404,ddRAD
529LxSC_P26_C1_118,1,11,0.0347,0.0347,0.00631,0.95899,29,317,ddRAD
529LxSC_P26_C1_118,2,2,0.00631,0.0347,0.00631,0.95899,29,317,ddRAD
529LxSC_P26_C1_118,n,304,0.95899,0.0347,0.00631,0.95899,29,317,ddRAD
529LxSC_P2_A1_114,1,1,0.0036,0.0036,0.00719,0.98921,14,278,ddRAD
529LxSC_P2_A1_114,2,2,0.00719,0.0036,0.00719,0.98921,14,278,ddRAD
529LxSC_P2_A1_114,n,275,0.98921,0.0036,0.00719,0.98921,14,278,ddRAD
529LxSC_P32_C7_118,1,6,0.01858,0.01858,0.00929,0.97214,24,323,ddRAD
529LxSC_P32_C7_118,2,3,0.00929,0.01858,0.00929,0.97214,24,323,ddRAD
529LxSC_P32_C7_118,n,314,0.97214,0.01858,0.00929,0.97214,24,323,ddRAD
529LxSC_P33_C8_134,1,3,0.00993,0.00993,0.00331,0.98675,15,302,ddRAD
529LxSC_P33_C8_134,2,1,0.00331,0.00993,0.00331,0.98675,15,302,ddRAD
529LxSC_P33_C8_134,n,298,0.98675,0.00993,0.00331,0.98675,15,302,ddRAD
529LxSC_P35_C10_166,1,26,0.07975,0.07975,0.00613,0.91411,58,326,ddRAD
529LxSC_P35_C10_166,2,2,0.00613,0.07975,0.00613,0.91411,58,326,ddRAD
529LxSC_P35_C10_166,n,298,0.91411,0.07975,0.00613,0.91411,58,326,ddRAD
529LxSC_P36_C11_182,1,4,0.00833,0.00833,0.00208,0.98958,13,480,ddRAD
529LxSC_P36_C11_182,2,1,0.00208,0.00833,0.00208,0.98958,13,480,ddRAD
529LxSC_P36_C11_182,n,475,0.98958,0.00833,0.00208,0.98958,13,480,ddRAD
529LxSC_P37_C12_198,1,16,0.05839,0.05839,0.21533,0.72628,44,274,ddRAD
529LxSC_P37_C12_198,2,59,0.21533,0.05839,0.21533,0.72628,44,274,ddRAD
529LxSC_P37_C12_198,n,199,0.72628,0.05839,0.21533,0.72628,44,274,ddRAD
