Date,round,Scientist,Strain,Plate Count,Day 1,Day 2,Day 3,Day 4,Day 5 ,Day 6,Day 7,Day 8,Notes,remove
29-Aug,1,MZA,889,63,4,4,3,2,2,1,1,1,,n
29-Aug,1,MZA,890,53,7,6,6,6,6,6,4,2,contaminated,y
29-Aug,1,MZA,891,52,2,1,1,1,1,1,1,1,,n
29-Aug,1,MZA,892,34,0,0,0,0,0,0,0,0,,n
29-Aug,1,MZA,893,71,1,0,0,0,0,0,0,0,,y
29-Aug,1,MZA,894,52,3,0,0,0,0,0,0,0,,n
29-Aug,1,MZA,899,29,7,6,5,3,3,2,1,1,,n
29-Aug,1,MZA,901,34,4,2,2,2,1,1,0,0,contaminated,n
29-Aug,1,MZA,902,16,9,6,5,4,3,2,1,1,,n
29-Aug,1,MZA,903,22,6,6,5,3,3,2,1,1,,n
29-Aug,1,MZA,Ctrl,NA,10,10,10,9,9,9,7,5,,n
30-Aug,1,RJF,881,59,6,6,5,4,4,3,3,3,,n
30-Aug,1,RJF,905,54,6,6,5,4,3,2,2,2,,n
30-Aug,1,RJF,911,86,2,2,2,2,1,1,1,1,,n
30-Aug,1,RJF,912,82,3,2,2,2,2,2,1,1,,n
30-Aug,1,RJF,914,93,0,0,0,0,0,0,0,0,,y
30-Aug,1,RJF,915,79,5,1,1,1,0,0,0,0,,n
30-Aug,1,RJF,916,104,5,5,3,3,1,1,1,0,,n
30-Aug,1,RJF,918,50,6,6,3,3,3,2,1,1,,n
30-Aug,1,RJF,919,87,5,3,1,1,1,0,0,0,,n
30-Aug,1,RJF,920,119,7,1,0,0,0,0,0,0,,n
31-Aug,1,MZA,73,47,8,7,5,4,3,2,2,1,,n
31-Aug,1,MZA,85,57,8,8,4,3,3,2,0,0,,n
31-Aug,1,RJF,923,92,7,5,1,1,1,1,1,1,,n
31-Aug,1,RJF,925,110,4,3,1,0,0,0,0,0,,n
31-Aug,1,RJF,927,150,1,1,0,0,0,0,0,0,,n
31-Aug,1,RJF,928,219,8,6,5,4,3,3,3,1,,n
