"","Date","round","Scientist","Strain","Plate.Count","Day.1","Day.2","Day.3","Day.4","Day.5","Day.6","Day.7","Day.8","Notes","remove","slopes"
"1","29-Aug",1,"MZA","889",63,4,4,3,2,2,1,1,1,"","n",-1.47058823529412
"3","29-Aug",1,"MZA","891",52,2,1,1,1,1,1,1,1,"","n",-1.58333333333333
"4","29-Aug",1,"MZA","892",34,0,0,0,0,0,0,0,0,"","n",-1.76470588235294
"6","29-Aug",1,"MZA","894",52,3,0,0,0,0,0,0,0,"","n",-1.75
"7","29-Aug",1,"MZA","899",29,7,6,5,3,3,2,1,1,"","n",-1.33333333333333
"8","29-Aug",1,"MZA","901",34,4,2,2,2,1,1,0,0,"contaminated","n",-1.60294117647059
"9","29-Aug",1,"MZA","902",16,9,6,5,4,3,2,1,1,"","n",-1.30392156862745
"10","29-Aug",1,"MZA","903",22,6,6,5,3,3,2,1,1,"","n",-1.33823529411765
"11","29-Aug",1,"MZA","Ctrl",NA,10,10,10,9,9,9,7,5,"","n",-0.372549019607843
"12","30-Aug",1,"RJF","881",59,6,6,5,4,4,3,3,3,"","n",-1.11764705882353
"13","30-Aug",1,"RJF","905",54,6,6,5,4,3,2,2,2,"","n",-1.24509803921569
"14","30-Aug",1,"RJF","911",86,2,2,2,2,1,1,1,1,"","n",-1.53921568627451
"15","30-Aug",1,"RJF","912",82,3,2,2,2,2,2,1,1,"","n",-1.48039215686274
"17","30-Aug",1,"RJF","915",79,5,1,1,1,0,0,0,0,"","n",-1.69607843137255
"18","30-Aug",1,"RJF","916",104,5,5,3,3,1,1,1,0,"","n",-1.5
"19","30-Aug",1,"RJF","918",50,6,6,3,3,3,2,1,1,"","n",-1.36764705882353
"20","30-Aug",1,"RJF","919",87,5,3,1,1,1,0,0,0,"","n",-1.65196078431373
"21","30-Aug",1,"RJF","920",119,7,1,0,0,0,0,0,0,"","n",-1.72058823529412
"22","31-Aug",1,"MZA","73",47,8,7,5,4,3,2,2,1,"","n",-1.26470588235294
"23","31-Aug",1,"MZA","85",57,8,8,4,3,3,2,0,0,"","n",-1.39705882352941
"24","31-Aug",1,"RJF","923",92,7,5,1,1,1,1,1,1,"","n",-1.51960784313725
"25","31-Aug",1,"RJF","925",110,4,3,1,0,0,0,0,0,"","n",-1.70098039215686
"26","31-Aug",1,"RJF","927",150,1,1,0,0,0,0,0,0,"","n",-1.75
"27","31-Aug",1,"RJF","928",219,8,6,5,4,3,3,3,1,"","n",-1.21078431372549
"29","31-Aug",1,"RJF","932",56,7,4,2,2,1,1,1,0,"","n",-1.5343137254902
"31","31-Aug",1,"RJF","938",86,8,6,4,3,2,2,2,1,"","n",-1.33333333333333
"32","31-Aug",1,"RJF","941",119,4,2,2,2,1,1,0,0,"","n",-1.60294117647059
