"","strain","D0","D1","D2","D3","D4","D5","D6","D7","D8","auc","slope","color"
"1","889","30","19","15","8","7","7","5","3","2",96,-4.29901960784314,"1"
"2","891","30","13","9","4","4","3","2","2","2",69,-4.72549019607843,"1"
"3","892","30","14","11","4","3","3","2","2","1",70,-4.75980392156863,"1"
"4","894","30","18","10","4","3","2","3","1","1",72,-4.77941176470588,"1"
"5","899","30","18","13","11","5","5","3","2","2",89,-4.46078431372549,"1"
"6","901","30","15","9","7","6","3","1","0","0",71,-4.80882352941176,"1"
"7","902","30","23","18","15","13","11","8","5","3",126,-3.73529411764706,"1"
"8","903","30","15","11","7","4","4","3","2","2",78,-4.59803921568627,"1"
"9","Ctrl","30","29","29","29","27","27","26","24","21",242,-0.838235294117647,"2"
"10","881","30","19","12","10","7","7","6","6","6",103,-4.00980392156863,"1"
"11","905","30","9","9","8","6","4","3","3","3",75,-4.51960784313725,"1"
"12","911","30","11","9","7","7","5","3","3","1",76,-4.55882352941176,"1"
"13","912","30","8","6","5","4","4","3","1","1",62,-4.7843137254902,"1"
"14","915","30","10","4","4","4","3","1","1","1",58,-4.8921568627451,"1"
"15","916","30","19","14","10","9","5","4","3","2",96,-4.31862745098039,"1"
"16","918","30","20","19","12","8","7","5","3","3",107,-4.13725490196078,"1"
"17","919","30","11","4","2","1","1","0","0","0",49,-5.12745098039216,"1"
"18","920","30","18","8","6","2","1","1","1","1",68,-4.87254901960784,"1"
"19","73","30","21","18","13","9","8","7","6","3",115,-3.92156862745098,"4"
"20","85","30","17","14","9","8","8","5","3","3",97,-4.22058823529412,"3"
"21","923","30","9","5","1","1","1","1","1","1",50,-5.03921568627451,"1"
"22","925","30","11","8","5","4","2","1","1","1",63,-4.8578431372549,"1"
"23","927","30","7","3","1","1","0","0","0","0",42,-5.19607843137255,"1"
"24","928","30","24","13","10","6","5","5","4","2",99,-4.29901960784314,"1"
"25","932","30","17","12","6","4","3","2","2","1",77,-4.68627450980392,"1"
"26","938","30","20","14","11","10","8","5","4","3",105,-4.10294117647059,"1"
"27","941","30","13","7","6","5","4","3","2","1",71,-4.68137254901961,"1"
"28","945","30","22","12","7","7","5","2","2","1",88,-4.53921568627451,"1"
"29","947","30","11","8","6","4","4","2","2","0",67,-4.76960784313725,"1"
"30","951","30","28","24","19","15","10","10","9","8",153,-3.18627450980392,"1"
"31","952","30","28","22","15","12","12","12","9","8",148,-3.2156862745098,"1"
"32","953","30","21","13","12","10","7","6","6","5",110,-3.94117647058823,"1"
"33","960","30","13","9","4","2","1","1","1","1",62,-4.91666666666667,"1"
"34","961","30","18","18","13","9","5","4","3","3",103,-4.20098039215686,"1"
"35","119","30","14","9","4","3","3","2","2","2",69,-4.74019607843137,"1"
"36","120","30","7","3","3","3","3","2","2","1",54,-4.88725490196078,"1"
"37","121","30","12","7","6","5","3","3","2","2",70,-4.67156862745098,"1"
"38","122","30","18","11","5","5","4","2","2","0",77,-4.70098039215686,"1"
"39","124","30","13","9","4","4","4","3","2","2",71,-4.67156862745098,"1"
"40","125","30","16","12","10","8","8","6","6","3",99,-4.09803921568627,"1"
"41","126","30","10","7","4","3","1","1","1","1",58,-4.93137254901961,"1"
"42","128","30","19","11","6","4","2","2","1","1",76,-4.74509803921569,"1"
"43","129","30","8","4","2","2","2","2","2","2",54,-4.8921568627451,"1"
"44","130","30","14","10","3","2","2","2","2","2",67,-4.78921568627451,"1"
"45","887","30","12","8","6","5","4","4","4","2",75,-4.53921568627451,"1"
"46","962","30","22","17","14","10","9","8","4","3",117,-3.90686274509804,"1"
"47","963","30","22","17","11","9","8","6","6","6",115,-3.86764705882353,"1"
"48","964","30","7","5","3","2","2","2","1","0",52,-4.98529411764706,"1"
"49","133","30","14","7","7","6","6","5","3","3",81,-4.42156862745098,"1"
"50","135","30","15","10","9","8","7","6","4","4",93,-4.19117647058823,"1"
"51","139","30","6","6","5","5","4","3","2","2",63,-4.70098039215686,"1"
"52","141","30","13","7","5","3","3","3","3","2",69,-4.68627450980392,"1"
"53","142","30","13","10","8","6","4","3","3","2",79,-4.52941176470588,"1"
"54","143","30","11","8","7","6","4","4","1","1",72,-4.65196078431372,"1"
"55","146","30","22","16","14","12","7","6","6","5",118,-3.83823529411765,"1"
"56","148","30","22","16","11","9","8","4","3","1",104,-4.23529411764706,"1"
"57","152","30","22","15","10","8","6","6","5","5",107,-4.04411764705882,"1"
"58","155","30","15","11","6","6","3","3","2","2",78,-4.59803921568627,"1"
"59","890","30","19","15","8","6","5","5","3","2",93,-4.36764705882353,"1"
"60","893","30","20","17","12","11","7","7","5","4",113,-3.93137254901961,"1"
"61","914","30","12","10","7","4","3","3","3","3",75,-4.57352941176471,"1"
"62","931","30","17","7","4","0","0","0","0","0",58,-5.08333333333333,"1"
"63","936","30","15","8","4","4","4","4","1","0",70,-4.75490196078431,"1"
"64","123","30","13","9","8","7","7","5","5","5",89,-4.20098039215686,"1"
"65","127","30","16","7","6","5","4","4","4","4",80,-4.45098039215686,"1"
"66","137","30","16","11","9","9","5","5","4","4",93,-4.23529411764706,"1"
"67","138","30","2","1","1","1","1","1","1","0",38,-5.15196078431372,"1"
"68","140","30","16","15","10","9","7","5","5","5",102,-4.05882352941176,"1"
"69","147","30","18","17","15","12","11","10","9","6",128,-3.47549019607843,"1"
"70","144","30","16","11","6","4","4","4","4","3",82,-4.47058823529412,"1"
