Chromosome,Chr_Position,,
Ca21chr1_C_albicans_SC5314,61,308,
Ca21chr1_C_albicans_SC5314,369,4432,
Ca21chr1_C_albicans_SC5314,4801,7934,
Ca21chr1_C_albicans_SC5314,12735,1633,
Ca21chr1_C_albicans_SC5314,14368,108,
Ca21chr1_C_albicans_SC5314,14476,1039,
Ca21chr1_C_albicans_SC5314,15515,7,
Ca21chr1_C_albicans_SC5314,15522,45,
Ca21chr1_C_albicans_SC5314,15567,366,
Ca21chr1_C_albicans_SC5314,15933,6,
Ca21chr1_C_albicans_SC5314,15939,219,
Ca21chr1_C_albicans_SC5314,16158,24,
Ca21chr1_C_albicans_SC5314,16182,68,
Ca21chr1_C_albicans_SC5314,16250,93,
Ca21chr1_C_albicans_SC5314,16343,33,
Ca21chr1_C_albicans_SC5314,16376,27,
Ca21chr1_C_albicans_SC5314,16403,111,
Ca21chr1_C_albicans_SC5314,16514,3,
Ca21chr1_C_albicans_SC5314,16517,371,
Ca21chr1_C_albicans_SC5314,16888,240,
Ca21chr1_C_albicans_SC5314,17128,305,
Ca21chr1_C_albicans_SC5314,17433,753,
Ca21chr1_C_albicans_SC5314,18186,303,
Ca21chr1_C_albicans_SC5314,18489,869,
Ca21chr1_C_albicans_SC5314,19358,3169,
Ca21chr1_C_albicans_SC5314,22527,102,
Ca21chr1_C_albicans_SC5314,22629,43,
Ca21chr1_C_albicans_SC5314,22672,5,
Ca21chr1_C_albicans_SC5314,22677,114,
Ca21chr1_C_albicans_SC5314,22791,183,
Ca21chr1_C_albicans_SC5314,22974,465,
Ca21chr1_C_albicans_SC5314,23439,105,
Ca21chr1_C_albicans_SC5314,23544,240,
Ca21chr1_C_albicans_SC5314,23784,6,
Ca21chr1_C_albicans_SC5314,23790,278,
Ca21chr1_C_albicans_SC5314,24068,1526,
Ca21chr1_C_albicans_SC5314,25594,1973,
Ca21chr1_C_albicans_SC5314,27567,717,
Ca21chr1_C_albicans_SC5314,28284,443,
Ca21chr1_C_albicans_SC5314,28727,318,
Ca21chr1_C_albicans_SC5314,29045,447,
Ca21chr1_C_albicans_SC5314,29492,344,
Ca21chr1_C_albicans_SC5314,29836,348,
Ca21chr1_C_albicans_SC5314,30184,54,
Ca21chr1_C_albicans_SC5314,30238,366,
Ca21chr1_C_albicans_SC5314,30604,66,
Ca21chr1_C_albicans_SC5314,30670,45,
Ca21chr1_C_albicans_SC5314,30715,135,
Ca21chr1_C_albicans_SC5314,30850,21,
Ca21chr1_C_albicans_SC5314,30871,438,
Ca21chr1_C_albicans_SC5314,31309,108,
Ca21chr1_C_albicans_SC5314,31417,1259,
Ca21chr1_C_albicans_SC5314,32676,445,
Ca21chr1_C_albicans_SC5314,33121,54,
Ca21chr1_C_albicans_SC5314,33175,114,
Ca21chr1_C_albicans_SC5314,33289,2420,
Ca21chr1_C_albicans_SC5314,35709,902,
Ca21chr1_C_albicans_SC5314,36611,181,
Ca21chr1_C_albicans_SC5314,36792,95,
Ca21chr1_C_albicans_SC5314,36887,101,
Ca21chr1_C_albicans_SC5314,36988,231,
Ca21chr1_C_albicans_SC5314,37219,3,
Ca21chr1_C_albicans_SC5314,37222,229,
Ca21chr1_C_albicans_SC5314,37451,35,
Ca21chr1_C_albicans_SC5314,37486,24,
Ca21chr1_C_albicans_SC5314,37510,1112,
Ca21chr1_C_albicans_SC5314,38622,1872,
Ca21chr1_C_albicans_SC5314,40494,69,
Ca21chr1_C_albicans_SC5314,40563,1,
Ca21chr1_C_albicans_SC5314,40564,597,
Ca21chr1_C_albicans_SC5314,41161,95,
Ca21chr1_C_albicans_SC5314,41256,2009,
Ca21chr1_C_albicans_SC5314,43265,1231,
Ca21chr1_C_albicans_SC5314,44496,39,
Ca21chr1_C_albicans_SC5314,44535,34,
Ca21chr1_C_albicans_SC5314,44569,599,
Ca21chr1_C_albicans_SC5314,45168,216,
Ca21chr1_C_albicans_SC5314,45384,2544,
Ca21chr1_C_albicans_SC5314,47928,509,
Ca21chr1_C_albicans_SC5314,48437,51,
Ca21chr1_C_albicans_SC5314,48488,235,
Ca21chr1_C_albicans_SC5314,48723,141,
Ca21chr1_C_albicans_SC5314,48864,129,
Ca21chr1_C_albicans_SC5314,48993,114,
Ca21chr1_C_albicans_SC5314,49107,366,
Ca21chr1_C_albicans_SC5314,49473,12,
Ca21chr1_C_albicans_SC5314,49485,162,
Ca21chr1_C_albicans_SC5314,49647,352,
Ca21chr1_C_albicans_SC5314,49999,619,
Ca21chr1_C_albicans_SC5314,50618,78,
Ca21chr1_C_albicans_SC5314,50696,42,
Ca21chr1_C_albicans_SC5314,50738,122,
Ca21chr1_C_albicans_SC5314,50860,924,
Ca21chr1_C_albicans_SC5314,51784,214,
Ca21chr1_C_albicans_SC5314,51998,151,
Ca21chr1_C_albicans_SC5314,52149,120,
Ca21chr1_C_albicans_SC5314,52269,222,
Ca21chr1_C_albicans_SC5314,52491,842,
Ca21chr1_C_albicans_SC5314,53333,5,
Ca21chr1_C_albicans_SC5314,53338,302,
Ca21chr1_C_albicans_SC5314,53640,3191,
Ca21chr1_C_albicans_SC5314,56831,5,
Ca21chr1_C_albicans_SC5314,56836,428,
Ca21chr1_C_albicans_SC5314,57264,345,
Ca21chr1_C_albicans_SC5314,57609,867,
Ca21chr1_C_albicans_SC5314,58476,370,
Ca21chr1_C_albicans_SC5314,58846,471,
Ca21chr1_C_albicans_SC5314,59317,1296,
Ca21chr1_C_albicans_SC5314,60613,2134,
Ca21chr1_C_albicans_SC5314,62747,152,
Ca21chr1_C_albicans_SC5314,62899,1708,
Ca21chr1_C_albicans_SC5314,64607,1380,
Ca21chr1_C_albicans_SC5314,65987,48,
Ca21chr1_C_albicans_SC5314,66035,180,
Ca21chr1_C_albicans_SC5314,66215,307,
Ca21chr1_C_albicans_SC5314,66522,1293,
Ca21chr1_C_albicans_SC5314,67815,463,
Ca21chr1_C_albicans_SC5314,68278,4648,
Ca21chr1_C_albicans_SC5314,72926,894,
Ca21chr1_C_albicans_SC5314,73820,2594,
Ca21chr1_C_albicans_SC5314,76414,798,
Ca21chr1_C_albicans_SC5314,77212,2267,
Ca21chr1_C_albicans_SC5314,79479,229,
Ca21chr1_C_albicans_SC5314,79708,1505,
Ca21chr1_C_albicans_SC5314,81213,889,
Ca21chr1_C_albicans_SC5314,82102,52,
Ca21chr1_C_albicans_SC5314,82154,102,
Ca21chr1_C_albicans_SC5314,82256,2008,
Ca21chr1_C_albicans_SC5314,84264,4,
Ca21chr1_C_albicans_SC5314,84268,37,
Ca21chr1_C_albicans_SC5314,84305,367,
Ca21chr1_C_albicans_SC5314,84672,105,
Ca21chr1_C_albicans_SC5314,84777,1114,
Ca21chr1_C_albicans_SC5314,85891,145,
Ca21chr1_C_albicans_SC5314,86036,2814,
Ca21chr1_C_albicans_SC5314,88850,44,
Ca21chr1_C_albicans_SC5314,88894,746,
Ca21chr1_C_albicans_SC5314,89640,3828,
Ca21chr1_C_albicans_SC5314,93468,141,
Ca21chr1_C_albicans_SC5314,93609,49,
Ca21chr1_C_albicans_SC5314,93658,319,
Ca21chr1_C_albicans_SC5314,93977,599,
Ca21chr1_C_albicans_SC5314,94576,452,
Ca21chr1_C_albicans_SC5314,95028,201,
Ca21chr1_C_albicans_SC5314,95229,471,
Ca21chr1_C_albicans_SC5314,95700,129,
Ca21chr1_C_albicans_SC5314,95829,363,
Ca21chr1_C_albicans_SC5314,96192,57,
Ca21chr1_C_albicans_SC5314,96249,4610,
Ca21chr1_C_albicans_SC5314,100859,517,
Ca21chr1_C_albicans_SC5314,101376,441,
Ca21chr1_C_albicans_SC5314,101817,402,
Ca21chr1_C_albicans_SC5314,102219,79,
Ca21chr1_C_albicans_SC5314,102298,587,
Ca21chr1_C_albicans_SC5314,102885,36,
Ca21chr1_C_albicans_SC5314,102921,2054,
Ca21chr1_C_albicans_SC5314,104975,71,
Ca21chr1_C_albicans_SC5314,105046,113,
Ca21chr1_C_albicans_SC5314,105159,1220,
Ca21chr1_C_albicans_SC5314,106379,1113,
Ca21chr1_C_albicans_SC5314,107492,2895,
Ca21chr1_C_albicans_SC5314,110387,2468,
Ca21chr1_C_albicans_SC5314,112855,531,
Ca21chr1_C_albicans_SC5314,113386,446,
Ca21chr1_C_albicans_SC5314,113832,932,
Ca21chr1_C_albicans_SC5314,114764,595,
Ca21chr1_C_albicans_SC5314,115359,564,
Ca21chr1_C_albicans_SC5314,115923,52,
Ca21chr1_C_albicans_SC5314,115975,603,
Ca21chr1_C_albicans_SC5314,116578,81,
Ca21chr1_C_albicans_SC5314,116659,410,
Ca21chr1_C_albicans_SC5314,117069,1057,
Ca21chr1_C_albicans_SC5314,118126,2505,
Ca21chr1_C_albicans_SC5314,120631,545,
Ca21chr1_C_albicans_SC5314,121176,112,
Ca21chr1_C_albicans_SC5314,121288,381,
Ca21chr1_C_albicans_SC5314,121669,228,
Ca21chr1_C_albicans_SC5314,121897,357,
Ca21chr1_C_albicans_SC5314,122254,563,
Ca21chr1_C_albicans_SC5314,122817,42,
Ca21chr1_C_albicans_SC5314,122859,257,
Ca21chr1_C_albicans_SC5314,123116,25,
Ca21chr1_C_albicans_SC5314,123141,1115,
Ca21chr1_C_albicans_SC5314,124256,120,
Ca21chr1_C_albicans_SC5314,124376,2326,
Ca21chr1_C_albicans_SC5314,126702,2955,
Ca21chr1_C_albicans_SC5314,129657,358,
Ca21chr1_C_albicans_SC5314,130015,176,
Ca21chr1_C_albicans_SC5314,130191,206,
Ca21chr1_C_albicans_SC5314,130397,1822,
Ca21chr1_C_albicans_SC5314,132219,540,
Ca21chr1_C_albicans_SC5314,132759,630,
Ca21chr1_C_albicans_SC5314,133389,72,
Ca21chr1_C_albicans_SC5314,133461,156,
Ca21chr1_C_albicans_SC5314,133617,7864,
Ca21chr1_C_albicans_SC5314,141481,54,
Ca21chr1_C_albicans_SC5314,141535,2028,
Ca21chr1_C_albicans_SC5314,143563,255,
Ca21chr1_C_albicans_SC5314,143818,1335,
Ca21chr1_C_albicans_SC5314,145153,3364,
Ca21chr1_C_albicans_SC5314,148517,193,
Ca21chr1_C_albicans_SC5314,148710,72,
Ca21chr1_C_albicans_SC5314,148782,628,
Ca21chr1_C_albicans_SC5314,149410,3,
Ca21chr1_C_albicans_SC5314,149413,1306,
Ca21chr1_C_albicans_SC5314,150719,417,
Ca21chr1_C_albicans_SC5314,151136,633,
Ca21chr1_C_albicans_SC5314,151769,74,
Ca21chr1_C_albicans_SC5314,151843,425,
Ca21chr1_C_albicans_SC5314,152268,3578,
Ca21chr1_C_albicans_SC5314,155846,198,
Ca21chr1_C_albicans_SC5314,156044,336,
Ca21chr1_C_albicans_SC5314,156380,4,
Ca21chr1_C_albicans_SC5314,156384,359,
Ca21chr1_C_albicans_SC5314,156743,45,
Ca21chr1_C_albicans_SC5314,156788,87,
Ca21chr1_C_albicans_SC5314,156875,388,
Ca21chr1_C_albicans_SC5314,157263,69,
Ca21chr1_C_albicans_SC5314,157332,49,
Ca21chr1_C_albicans_SC5314,157381,479,
