strain,chr,start.pos,length,prop.o.arm,arm
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2200247,2210455,0.3911,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2210455,2282805,0.3974,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2282805,2309057,0.4419,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2309057,2356969,0.458,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2356969,2387679,0.4875,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2387679,3177404,0.5064,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2200247,2210455,0.3911,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2210455,2282805,0.3974,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2282805,2309057,0.4419,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2309057,2356969,0.458,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2356969,2387679,0.4875,right
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2387679,3177404,0.5064,right
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2200247,2210455,0.3911,right
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2210455,3177404,0.3974,right
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2200247,2210455,0.3911,right
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2210455,3177404,0.3974,right
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
