chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,61,61,385,left
Ca21chr1_C_albicans_SC5314,369,369,381,left
Ca21chr1_C_albicans_SC5314,4801,4801,378,left
Ca21chr1_C_albicans_SC5314,41256,41256,374,left
Ca21chr1_C_albicans_SC5314,45384,45384,371,left
Ca21chr1_C_albicans_SC5314,124376,124376,368,left
Ca21chr1_C_albicans_SC5314,126702,126702,364,left
Ca21chr1_C_albicans_SC5314,130397,130397,360,left
Ca21chr1_C_albicans_SC5314,132219,132219,359,left
Ca21chr1_C_albicans_SC5314,143563,143563,358,left
Ca21chr1_C_albicans_SC5314,143818,143818,354,left
Ca21chr1_C_albicans_SC5314,145153,145153,352,left
Ca21chr1_C_albicans_SC5314,148517,148517,350,left
Ca21chr1_C_albicans_SC5314,148782,148782,348,left
Ca21chr1_C_albicans_SC5314,149413,149413,347,left
Ca21chr1_C_albicans_SC5314,150719,150719,346,left
Ca21chr1_C_albicans_SC5314,151136,151136,345,left
Ca21chr1_C_albicans_SC5314,157381,157381,344,left
Ca21chr1_C_albicans_SC5314,157876,157876,343,left
Ca21chr1_C_albicans_SC5314,163810,163810,342,left
Ca21chr1_C_albicans_SC5314,163830,163830,341,left
Ca21chr1_C_albicans_SC5314,231755,231755,340,left
Ca21chr1_C_albicans_SC5314,232215,232215,336,left
Ca21chr1_C_albicans_SC5314,237840,237840,332,left
Ca21chr1_C_albicans_SC5314,238370,238370,330,left
Ca21chr1_C_albicans_SC5314,238406,238406,326,left
Ca21chr1_C_albicans_SC5314,334622,334622,322,left
Ca21chr1_C_albicans_SC5314,338856,338856,319,left
Ca21chr1_C_albicans_SC5314,340121,340121,316,left
Ca21chr1_C_albicans_SC5314,344710,344710,313,left
Ca21chr1_C_albicans_SC5314,347729,347729,310,left
Ca21chr1_C_albicans_SC5314,348043,348043,307,left
Ca21chr1_C_albicans_SC5314,348635,348635,304,left
Ca21chr1_C_albicans_SC5314,348865,348865,301,left
Ca21chr1_C_albicans_SC5314,349914,349914,298,left
Ca21chr1_C_albicans_SC5314,353174,353174,295,left
Ca21chr1_C_albicans_SC5314,353226,353226,292,left
Ca21chr1_C_albicans_SC5314,353760,353760,289,left
Ca21chr1_C_albicans_SC5314,354359,354359,285,left
Ca21chr1_C_albicans_SC5314,355422,355422,281,left
Ca21chr1_C_albicans_SC5314,356870,356870,278,left
Ca21chr1_C_albicans_SC5314,357422,357422,275,left
Ca21chr1_C_albicans_SC5314,358265,358265,272,left
Ca21chr1_C_albicans_SC5314,359295,359295,269,left
Ca21chr1_C_albicans_SC5314,360402,360402,266,left
Ca21chr1_C_albicans_SC5314,360460,360460,263,left
Ca21chr1_C_albicans_SC5314,360538,360538,260,left
Ca21chr1_C_albicans_SC5314,370597,370597,257,left
Ca21chr1_C_albicans_SC5314,370957,370957,256,left
Ca21chr1_C_albicans_SC5314,378410,378410,255,left
Ca21chr1_C_albicans_SC5314,378414,378414,254,left
Ca21chr1_C_albicans_SC5314,441377,441377,253,left
Ca21chr1_C_albicans_SC5314,441626,441626,252,left
Ca21chr1_C_albicans_SC5314,482684,482684,251,left
Ca21chr1_C_albicans_SC5314,483696,483696,250,left
Ca21chr1_C_albicans_SC5314,497574,497574,249,left
Ca21chr1_C_albicans_SC5314,497754,497754,248,left
Ca21chr1_C_albicans_SC5314,497772,497772,245,left
Ca21chr1_C_albicans_SC5314,571107,571107,241,left
Ca21chr1_C_albicans_SC5314,571420,571420,240,left
Ca21chr1_C_albicans_SC5314,639243,639243,239,left
Ca21chr1_C_albicans_SC5314,642014,642014,236,left
Ca21chr1_C_albicans_SC5314,711295,711295,233,left
Ca21chr1_C_albicans_SC5314,714810,714810,229,left
Ca21chr1_C_albicans_SC5314,795967,795967,225,left
Ca21chr1_C_albicans_SC5314,797261,797261,222,left
Ca21chr1_C_albicans_SC5314,810643,810643,219,left
Ca21chr1_C_albicans_SC5314,811322,811322,217,left
Ca21chr1_C_albicans_SC5314,819757,819757,215,left
Ca21chr1_C_albicans_SC5314,820957,820957,212,left
Ca21chr1_C_albicans_SC5314,833144,833144,209,left
Ca21chr1_C_albicans_SC5314,833467,833467,208,left
Ca21chr1_C_albicans_SC5314,836398,836398,207,left
Ca21chr1_C_albicans_SC5314,843499,843499,206,left
Ca21chr1_C_albicans_SC5314,850910,850910,205,left
Ca21chr1_C_albicans_SC5314,853870,853870,202,left
Ca21chr1_C_albicans_SC5314,871875,871875,199,left
Ca21chr1_C_albicans_SC5314,875794,875794,196,left
Ca21chr1_C_albicans_SC5314,930861,930861,193,left
Ca21chr1_C_albicans_SC5314,930900,930900,190,left
Ca21chr1_C_albicans_SC5314,947305,947305,187,left
Ca21chr1_C_albicans_SC5314,948896,948896,185,left
Ca21chr1_C_albicans_SC5314,989400,989400,183,left
Ca21chr1_C_albicans_SC5314,990624,990624,179,left
Ca21chr1_C_albicans_SC5314,996575,996575,175,left
Ca21chr1_C_albicans_SC5314,997280,997280,174,left
Ca21chr1_C_albicans_SC5314,1021267,1021267,173,left
Ca21chr1_C_albicans_SC5314,1021663,1021663,169,left
Ca21chr1_C_albicans_SC5314,1024524,1024524,165,left
Ca21chr1_C_albicans_SC5314,1025258,1025258,161,left
Ca21chr1_C_albicans_SC5314,1046458,1046458,157,left
Ca21chr1_C_albicans_SC5314,1046488,1046488,152,left
Ca21chr1_C_albicans_SC5314,1057390,1057390,147,left
Ca21chr1_C_albicans_SC5314,1057979,1057979,146,left
Ca21chr1_C_albicans_SC5314,1057991,1057991,144,left
Ca21chr1_C_albicans_SC5314,1062303,1062303,141,left
Ca21chr1_C_albicans_SC5314,1063222,1063222,140,left
Ca21chr1_C_albicans_SC5314,1077230,1077230,139,left
Ca21chr1_C_albicans_SC5314,1078007,1078007,137,left
Ca21chr1_C_albicans_SC5314,1097608,1097608,135,left
Ca21chr1_C_albicans_SC5314,1101105,1101105,131,left
Ca21chr1_C_albicans_SC5314,1150841,1150841,127,left
Ca21chr1_C_albicans_SC5314,1150919,1150919,125,left
Ca21chr1_C_albicans_SC5314,1161996,1161996,123,left
Ca21chr1_C_albicans_SC5314,1162900,1162900,118,left
Ca21chr1_C_albicans_SC5314,1162919,1162919,115,left
Ca21chr1_C_albicans_SC5314,1171924,1171924,113,left
Ca21chr1_C_albicans_SC5314,1171945,1171945,108,left
Ca21chr1_C_albicans_SC5314,1171981,1171981,105,left
Ca21chr1_C_albicans_SC5314,1190679,1190679,103,left
Ca21chr1_C_albicans_SC5314,1191485,1191485,99,left
Ca21chr1_C_albicans_SC5314,1208133,1208133,95,left
Ca21chr1_C_albicans_SC5314,1208422,1208422,94,left
Ca21chr1_C_albicans_SC5314,1225725,1225725,93,left
Ca21chr1_C_albicans_SC5314,1226437,1226437,92,left
Ca21chr1_C_albicans_SC5314,1230439,1230439,91,left
Ca21chr1_C_albicans_SC5314,1230530,1230530,90,left
Ca21chr1_C_albicans_SC5314,1235716,1235716,89,left
Ca21chr1_C_albicans_SC5314,1244381,1244381,86,left
Ca21chr1_C_albicans_SC5314,1249428,1249428,83,left
Ca21chr1_C_albicans_SC5314,1250072,1250072,81,left
Ca21chr1_C_albicans_SC5314,1250509,1250509,78,left
Ca21chr1_C_albicans_SC5314,1253780,1253780,77,left
Ca21chr1_C_albicans_SC5314,1255885,1255885,73,left
Ca21chr1_C_albicans_SC5314,1256253,1256253,70,left
Ca21chr1_C_albicans_SC5314,1256260,1256260,67,left
Ca21chr1_C_albicans_SC5314,1263272,1263272,62,left
Ca21chr1_C_albicans_SC5314,1263764,1263764,59,left
Ca21chr1_C_albicans_SC5314,1313246,1313246,56,left
Ca21chr1_C_albicans_SC5314,1318516,1318516,52,left
Ca21chr1_C_albicans_SC5314,1333393,1333393,48,left
Ca21chr1_C_albicans_SC5314,1337308,1337308,44,left
Ca21chr1_C_albicans_SC5314,1353789,1353789,40,left
Ca21chr1_C_albicans_SC5314,1353833,1353833,38,left
Ca21chr1_C_albicans_SC5314,1357503,1357503,36,left
Ca21chr1_C_albicans_SC5314,1357732,1357732,34,left
Ca21chr1_C_albicans_SC5314,1357735,1357735,33,left
Ca21chr1_C_albicans_SC5314,1357790,1357790,29,left
Ca21chr1_C_albicans_SC5314,1393292,1393292,28,left
Ca21chr1_C_albicans_SC5314,1395096,1395096,23,left
Ca21chr1_C_albicans_SC5314,1415273,1415273,18,left
Ca21chr1_C_albicans_SC5314,1415707,1415707,16,left
Ca21chr1_C_albicans_SC5314,1506910,1506910,14,left
Ca21chr1_C_albicans_SC5314,1507344,1507344,10,left
Ca21chr1_C_albicans_SC5314,1561667,1561667,6,left
Ca21chr1_C_albicans_SC5314,1561936,1561936,3,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,1640861,1640861,4,right
Ca21chr1_C_albicans_SC5314,1642889,1642889,8,right
Ca21chr1_C_albicans_SC5314,1650992,1650992,11,right
Ca21chr1_C_albicans_SC5314,1651248,1651248,14,right
Ca21chr1_C_albicans_SC5314,1658671,1658671,17,right
Ca21chr1_C_albicans_SC5314,1661509,1661509,20,right
Ca21chr1_C_albicans_SC5314,1666029,1666029,22,right
Ca21chr1_C_albicans_SC5314,1666814,1666814,24,right
Ca21chr1_C_albicans_SC5314,1667014,1667014,28,right
Ca21chr1_C_albicans_SC5314,1668844,1668844,31,right
Ca21chr1_C_albicans_SC5314,1670976,1670976,34,right
Ca21chr1_C_albicans_SC5314,1703366,1703366,36,right
Ca21chr1_C_albicans_SC5314,1703436,1703436,38,right
Ca21chr1_C_albicans_SC5314,1703956,1703956,41,right
Ca21chr1_C_albicans_SC5314,1705322,1705322,44,right
Ca21chr1_C_albicans_SC5314,1726599,1726599,45,right
Ca21chr1_C_albicans_SC5314,1726646,1726646,46,right
Ca21chr1_C_albicans_SC5314,1908718,1908718,49,right
Ca21chr1_C_albicans_SC5314,1912560,1912560,52,right
Ca21chr1_C_albicans_SC5314,1940140,1940140,54,right
Ca21chr1_C_albicans_SC5314,1940280,1940280,56,right
Ca21chr1_C_albicans_SC5314,1940519,1940519,59,right
Ca21chr1_C_albicans_SC5314,1940800,1940800,61,right
Ca21chr1_C_albicans_SC5314,1943228,1943228,62,right
Ca21chr1_C_albicans_SC5314,1960998,1960998,65,right
Ca21chr1_C_albicans_SC5314,1961812,1961812,68,right
Ca21chr1_C_albicans_SC5314,1985354,1985354,69,right
Ca21chr1_C_albicans_SC5314,1986676,1986676,70,right
Ca21chr1_C_albicans_SC5314,2001654,2001654,71,right
Ca21chr1_C_albicans_SC5314,2003549,2003549,72,right
Ca21chr1_C_albicans_SC5314,2006507,2006507,77,right
Ca21chr1_C_albicans_SC5314,2006536,2006536,82,right
Ca21chr1_C_albicans_SC5314,2054642,2054642,83,right
Ca21chr1_C_albicans_SC5314,2060495,2060495,84,right
Ca21chr1_C_albicans_SC5314,2198809,2198809,85,right
Ca21chr1_C_albicans_SC5314,2200262,2200262,86,right
Ca21chr1_C_albicans_SC5314,2217572,2217572,87,right
Ca21chr1_C_albicans_SC5314,2218601,2218601,88,right
Ca21chr1_C_albicans_SC5314,2224245,2224245,89,right
Ca21chr1_C_albicans_SC5314,2224613,2224613,90,right
Ca21chr1_C_albicans_SC5314,2226169,2226169,92,right
Ca21chr1_C_albicans_SC5314,2227236,2227236,94,right
Ca21chr1_C_albicans_SC5314,2227511,2227511,95,right
Ca21chr1_C_albicans_SC5314,2227676,2227676,96,right
Ca21chr1_C_albicans_SC5314,2234503,2234503,97,right
Ca21chr1_C_albicans_SC5314,2234757,2234757,98,right
Ca21chr1_C_albicans_SC5314,2235420,2235420,103,right
Ca21chr1_C_albicans_SC5314,2236317,2236317,108,right
Ca21chr1_C_albicans_SC5314,2279802,2279802,111,right
Ca21chr1_C_albicans_SC5314,2282954,2282954,114,right
Ca21chr1_C_albicans_SC5314,2286407,2286407,118,right
Ca21chr1_C_albicans_SC5314,2286612,2286612,122,right
Ca21chr1_C_albicans_SC5314,2288699,2288699,123,right
Ca21chr1_C_albicans_SC5314,2289825,2289825,124,right
Ca21chr1_C_albicans_SC5314,2291162,2291162,127,right
Ca21chr1_C_albicans_SC5314,2292083,2292083,130,right
Ca21chr1_C_albicans_SC5314,2292087,2292087,131,right
Ca21chr1_C_albicans_SC5314,2292988,2292988,134,right
Ca21chr1_C_albicans_SC5314,2329956,2329956,136,right
Ca21chr1_C_albicans_SC5314,2331555,2331555,138,right
Ca21chr1_C_albicans_SC5314,2352272,2352272,139,right
Ca21chr1_C_albicans_SC5314,2353849,2353849,140,right
Ca21chr1_C_albicans_SC5314,2357311,2357311,141,right
Ca21chr1_C_albicans_SC5314,2358778,2358778,142,right
Ca21chr1_C_albicans_SC5314,2417072,2417072,146,right
Ca21chr1_C_albicans_SC5314,2417118,2417118,150,right
Ca21chr1_C_albicans_SC5314,2477985,2477985,151,right
Ca21chr1_C_albicans_SC5314,2479045,2479045,152,right
Ca21chr1_C_albicans_SC5314,2514867,2514867,153,right
Ca21chr1_C_albicans_SC5314,2514974,2514974,154,right
Ca21chr1_C_albicans_SC5314,2516786,2516786,158,right
Ca21chr1_C_albicans_SC5314,2518706,2518706,162,right
Ca21chr1_C_albicans_SC5314,2616432,2616432,165,right
Ca21chr1_C_albicans_SC5314,2616453,2616453,167,right
Ca21chr1_C_albicans_SC5314,2616475,2616475,171,right
Ca21chr1_C_albicans_SC5314,2616650,2616650,172,right
Ca21chr1_C_albicans_SC5314,2625451,2625451,176,right
Ca21chr1_C_albicans_SC5314,2625759,2625759,180,right
Ca21chr1_C_albicans_SC5314,2626206,2626206,184,right
Ca21chr1_C_albicans_SC5314,2626210,2626210,185,right
Ca21chr1_C_albicans_SC5314,2626311,2626311,190,right
Ca21chr1_C_albicans_SC5314,2641399,2641399,195,right
Ca21chr1_C_albicans_SC5314,2641698,2641698,200,right
Ca21chr1_C_albicans_SC5314,2717556,2717556,203,right
Ca21chr1_C_albicans_SC5314,2717570,2717570,204,right
Ca21chr1_C_albicans_SC5314,2718469,2718469,208,right
Ca21chr1_C_albicans_SC5314,2759808,2759808,210,right
Ca21chr1_C_albicans_SC5314,2760453,2760453,212,right
Ca21chr1_C_albicans_SC5314,2776099,2776099,215,right
Ca21chr1_C_albicans_SC5314,2785520,2785520,217,right
Ca21chr1_C_albicans_SC5314,2785647,2785647,220,right
Ca21chr1_C_albicans_SC5314,2785917,2785917,222,right
Ca21chr1_C_albicans_SC5314,2789448,2789448,224,right
Ca21chr1_C_albicans_SC5314,2802052,2802052,226,right
Ca21chr1_C_albicans_SC5314,2803898,2803898,228,right
Ca21chr1_C_albicans_SC5314,2818910,2818910,229,right
Ca21chr1_C_albicans_SC5314,2819255,2819255,230,right
Ca21chr1_C_albicans_SC5314,2819579,2819579,234,right
Ca21chr1_C_albicans_SC5314,2819753,2819753,238,right
Ca21chr1_C_albicans_SC5314,2919173,2919173,240,right
Ca21chr1_C_albicans_SC5314,2921345,2921345,242,right
Ca21chr1_C_albicans_SC5314,2936094,2936094,243,right
Ca21chr1_C_albicans_SC5314,2936770,2936770,244,right
Ca21chr1_C_albicans_SC5314,2939201,2939201,247,right
Ca21chr1_C_albicans_SC5314,2942304,2942304,250,right
Ca21chr1_C_albicans_SC5314,2946537,2946537,251,right
Ca21chr1_C_albicans_SC5314,2949484,2949484,252,right
Ca21chr1_C_albicans_SC5314,2984222,2984222,253,right
Ca21chr1_C_albicans_SC5314,2985106,2985106,254,right
Ca21chr1_C_albicans_SC5314,3001711,3001711,255,right
Ca21chr1_C_albicans_SC5314,3001827,3001827,256,right
Ca21chr1_C_albicans_SC5314,3003203,3003203,260,right
Ca21chr1_C_albicans_SC5314,3003286,3003286,264,right
Ca21chr1_C_albicans_SC5314,3024376,3024376,268,right
Ca21chr1_C_albicans_SC5314,3024756,3024756,272,right
Ca21chr1_C_albicans_SC5314,3036379,3036379,273,right
Ca21chr1_C_albicans_SC5314,3036451,3036451,277,right
