strain,chr,start.pos,length,prop.o.arm,arm
MAY154.GT,Ca21chr1_C_albicans_SC5314,1395096,1804,0.1074,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1393292,39459,0.1086,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353833,44,0.1338,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353789,16481,0.1339,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1337308,3915,0.1444,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1333393,14877,0.1469,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1318516,5270,0.1564,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1313246,57361,0.1598,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1255885,2105,0.1965,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1253780,9399,0.1979,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1244381,8665,0.2039,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1235716,27294,0.2094,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208422,289,0.2269,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208133,16648,0.2271,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1191485,806,0.2377,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1190679,18698,0.2382,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1171981,57,0.2502,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1171924,9024,0.2502,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1162900,904,0.256,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1161996,11077,0.2566,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1150919,78,0.2637,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1150841,49736,0.2637,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1101105,3497,0.2955,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1097608,51120,0.2978,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1046488,30,0.3305,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1046458,21200,0.3305,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1025258,734,0.3441,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1024524,2861,0.3445,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1021663,396,0.3464,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,1021267,30643,0.3466,left
MAY154.GT,Ca21chr1_C_albicans_SC5314,990624,1224,0.3662,left
