Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination End Site (bp), Recombination Event Length (bp), IGV start position, IGV end position, Marker Cat ID#
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,8241,Ca21chr1_C_albicans_SC5314:87688,Ca21chr1_C_albicans_SC5314:79447,2515
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,79447,Ca21chr1_C_albicans_SC5314:87688,Ca21chr1_C_albicans_SC5314:79447,2515
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2776315,2910094,133779,Ca21chr1_C_albicans_SC5314:2776315,Ca21chr1_C_albicans_SC5314:2910094,2546
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2910094,3170533,279906,Ca21chr1_C_albicans_SC5314:2910094,Ca21chr1_C_albicans_SC5314:3170533,53
529LxSC_P10_A9_146,Ca21chr5_C_albicans_SC5314,559933,1095790,630067,Ca21chr5_C_albicans_SC5314:559933,Ca21chr5_C_albicans_SC5314:1095790,2445
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,261266,255788,5478,Ca21chr7_C_albicans_SC5314:261266,Ca21chr7_C_albicans_SC5314:255788,2496
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,255788,243279,12509,Ca21chr7_C_albicans_SC5314:255788,Ca21chr7_C_albicans_SC5314:243279,105
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,243279,224765,18514,Ca21chr7_C_albicans_SC5314:243279,Ca21chr7_C_albicans_SC5314:224765,215
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,224765,67821,224765,Ca21chr7_C_albicans_SC5314:224765,Ca21chr7_C_albicans_SC5314:67821,1181
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,723905,681063,42842,Ca21chrR_C_albicans_SC5314:723905,Ca21chrR_C_albicans_SC5314:681063,2191
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,681063,50691,681063,Ca21chrR_C_albicans_SC5314:681063,Ca21chrR_C_albicans_SC5314:50691,15
