chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,36877,36877,529,left
Ca21chr1_C_albicans_SC5314,73201,73201,508,left
Ca21chr1_C_albicans_SC5314,79447,79447,473,left
Ca21chr1_C_albicans_SC5314,87688,87688,434,left
Ca21chr1_C_albicans_SC5314,97744,97744,379,left
Ca21chr1_C_albicans_SC5314,215723,215723,366,left
Ca21chr1_C_albicans_SC5314,233798,233798,365,left
Ca21chr1_C_albicans_SC5314,250409,250409,364,left
Ca21chr1_C_albicans_SC5314,341590,341590,355,left
Ca21chr1_C_albicans_SC5314,355539,355539,344,left
Ca21chr1_C_albicans_SC5314,360421,360421,342,left
Ca21chr1_C_albicans_SC5314,410636,410636,341,left
Ca21chr1_C_albicans_SC5314,421674,421674,340,left
Ca21chr1_C_albicans_SC5314,449061,449061,338,left
Ca21chr1_C_albicans_SC5314,462676,462676,332,left
Ca21chr1_C_albicans_SC5314,462679,462679,321,left
Ca21chr1_C_albicans_SC5314,526802,526802,313,left
Ca21chr1_C_albicans_SC5314,530998,530998,301,left
Ca21chr1_C_albicans_SC5314,539522,539522,281,left
Ca21chr1_C_albicans_SC5314,542729,542729,275,left
Ca21chr1_C_albicans_SC5314,555770,555770,262,left
Ca21chr1_C_albicans_SC5314,573594,573594,249,left
Ca21chr1_C_albicans_SC5314,651808,651808,241,left
Ca21chr1_C_albicans_SC5314,812529,812529,234,left
Ca21chr1_C_albicans_SC5314,842973,842973,216,left
Ca21chr1_C_albicans_SC5314,890051,890051,206,left
Ca21chr1_C_albicans_SC5314,893375,893375,196,left
Ca21chr1_C_albicans_SC5314,957129,957129,194,left
Ca21chr1_C_albicans_SC5314,958289,958289,192,left
Ca21chr1_C_albicans_SC5314,975458,975458,180,left
Ca21chr1_C_albicans_SC5314,984801,984801,170,left
Ca21chr1_C_albicans_SC5314,993496,993496,161,left
Ca21chr1_C_albicans_SC5314,1006406,1006406,159,left
Ca21chr1_C_albicans_SC5314,1047202,1047202,152,left
Ca21chr1_C_albicans_SC5314,1056256,1056256,149,left
Ca21chr1_C_albicans_SC5314,1085100,1085100,146,left
Ca21chr1_C_albicans_SC5314,1095957,1095957,145,left
Ca21chr1_C_albicans_SC5314,1096953,1096953,143,left
Ca21chr1_C_albicans_SC5314,1167395,1167395,131,left
Ca21chr1_C_albicans_SC5314,1176813,1176813,116,left
Ca21chr1_C_albicans_SC5314,1187227,1187227,113,left
Ca21chr1_C_albicans_SC5314,1203812,1203812,100,left
Ca21chr1_C_albicans_SC5314,1210153,1210153,82,left
Ca21chr1_C_albicans_SC5314,1211950,1211950,80,left
Ca21chr1_C_albicans_SC5314,1221376,1221376,78,left
Ca21chr1_C_albicans_SC5314,1260230,1260230,77,left
Ca21chr1_C_albicans_SC5314,1279008,1279008,75,left
Ca21chr1_C_albicans_SC5314,1311648,1311648,74,left
Ca21chr1_C_albicans_SC5314,1312822,1312822,71,left
