chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,140213,140213,95,left
Ca21chr1_C_albicans_SC5314,343770,343770,94,left
Ca21chr1_C_albicans_SC5314,355539,355539,62,left
Ca21chr1_C_albicans_SC5314,360421,360421,39,left
Ca21chr1_C_albicans_SC5314,367868,367868,36,left
Ca21chr1_C_albicans_SC5314,410636,410636,24,left
Ca21chr1_C_albicans_SC5314,410639,410639,23,left
Ca21chr1_C_albicans_SC5314,416508,416508,22,left
Ca21chr1_C_albicans_SC5314,421674,421674,18,left
Ca21chr1_C_albicans_SC5314,878788,878788,14,left
Ca21chr1_C_albicans_SC5314,893375,893375,13,left
Ca21chr1_C_albicans_SC5314,957129,957129,12,left
Ca21chr1_C_albicans_SC5314,975458,975458,11,left
Ca21chr1_C_albicans_SC5314,984801,984801,10,left
Ca21chr1_C_albicans_SC5314,1045575,1045575,8,left
Ca21chr1_C_albicans_SC5314,1085100,1085100,7,left
Ca21chr1_C_albicans_SC5314,1188475,1188475,5,left
Ca21chr1_C_albicans_SC5314,1336307,1336307,4,left
Ca21chr1_C_albicans_SC5314,1345793,1345793,3,left
Ca21chr1_C_albicans_SC5314,1395146,1395146,2,left
Ca21chr1_C_albicans_SC5314,1397640,1397640,1,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,1679932,1679932,18,right
Ca21chr1_C_albicans_SC5314,1768491,1768491,35,right
Ca21chr1_C_albicans_SC5314,1836610,1836610,36,right
Ca21chr1_C_albicans_SC5314,1907990,1907990,37,right
Ca21chr1_C_albicans_SC5314,1939330,1939330,38,right
Ca21chr1_C_albicans_SC5314,1972997,1972997,39,right
Ca21chr1_C_albicans_SC5314,1988806,1988806,40,right
Ca21chr1_C_albicans_SC5314,2200247,2200247,68,right
Ca21chr1_C_albicans_SC5314,2210327,2210327,71,right
