chr,chr.pos,univ.pos,a,b,h,s,missing,recoms,recom.by.col,recom.by.mkr
Ca21chr1_C_albicans_SC5314,0,0,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,10000,10000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,20000,20000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,30000,30000,4,0,41,0,30,2,2.0,0.0444
Ca21chr1_C_albicans_SC5314,40000,40000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,50000,50000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,60000,60000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,70000,70000,2,0,58,0,15,11,11.0,0.1833
Ca21chr1_C_albicans_SC5314,80000,80000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,90000,90000,17,0,39,0,19,13,13.0,0.2321
Ca21chr1_C_albicans_SC5314,100000,100000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,110000,110000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,120000,120000,4,0,54,0,17,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,130000,130000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,140000,140000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,150000,150000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,160000,160000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,170000,170000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,180000,180000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,190000,190000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,200000,200000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,210000,210000,3,0,32,0,40,1,1.0,0.0286
Ca21chr1_C_albicans_SC5314,220000,220000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,230000,230000,4,0,25,0,46,10,10.0,0.3448
Ca21chr1_C_albicans_SC5314,240000,240000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,250000,250000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,260000,260000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,270000,270000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,280000,280000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,290000,290000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,300000,300000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,310000,310000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,320000,320000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,330000,330000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,340000,340000,2,9,15,0,49,9,9.0,0.3462
Ca21chr1_C_albicans_SC5314,350000,350000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,360000,360000,3,0,39,0,33,1,1.0,0.0238
Ca21chr1_C_albicans_SC5314,370000,370000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,380000,380000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,390000,390000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,400000,400000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,410000,410000,4,0,20,0,51,1,1.0,0.0417
Ca21chr1_C_albicans_SC5314,420000,420000,0,2,29,0,44,2,2.0,0.0645
Ca21chr1_C_albicans_SC5314,430000,430000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,440000,440000,5,0,65,0,5,11,11.0,0.1571
Ca21chr1_C_albicans_SC5314,450000,450000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,460000,460000,1,8,14,0,52,8,8.0,0.3478
Ca21chr1_C_albicans_SC5314,470000,470000,2,0,29,0,44,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,480000,480000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,490000,490000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,500000,500000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,510000,510000,0,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,520000,520000,3,0,34,0,38,12,12.0,0.3243
