Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination Event Length (bp)
MAY316.GT,Ca21chr1_C_albicans_SC5314,1162919,19
MAY316.GT,Ca21chr1_C_albicans_SC5314,1162900,84893
MAY316.GT,Ca21chr1_C_albicans_SC5314,1078007,30166
MAY316.GT,Ca21chr1_C_albicans_SC5314,1047841,193971
MAY316.GT,Ca21chr1_C_albicans_SC5314,853870,13508
MAY316.GT,Ca21chr1_C_albicans_SC5314,840362,37415
MAY316.GT,Ca21chr1_C_albicans_SC5314,802947,244357
MAY316.GT,Ca21chr1_C_albicans_SC5314,558590,67561
MAY316.GT,Ca21chr1_C_albicans_SC5314,491029,7325
MAY316.GT,Ca21chr1_C_albicans_SC5314,483704,6378
MAY316.GT,Ca21chr1_C_albicans_SC5314,477326,25794
MAY316.GT,Ca21chr1_C_albicans_SC5314,451532,295948
MAY316.GT,Ca21chr1_C_albicans_SC5314,155584,28882
MAY316.GT,Ca21chr1_C_albicans_SC5314,126702,126702
MAY316.GT,Ca21chr1_C_albicans_SC5314,2792827,397173
MAY316.GT,Ca21chr2_C_albicans_SC5314,657281,302399
MAY316.GT,Ca21chr2_C_albicans_SC5314,354882,354882
MAY316.GT,Ca21chr2_C_albicans_SC5314,2041462,188538
MAY316.GT,Ca21chr4_C_albicans_SC5314,774850,516
MAY316.GT,Ca21chr4_C_albicans_SC5314,774334,62267
MAY316.GT,Ca21chr4_C_albicans_SC5314,712067,414545
MAY316.GT,Ca21chr4_C_albicans_SC5314,297522,297522
MAY316.GT,Ca21chr4_C_albicans_SC5314,1147576,452424
MAY316.GT,Ca21chr6_C_albicans_SC5314,927913,4282
MAY316.GT,Ca21chr6_C_albicans_SC5314,923631,100
MAY316.GT,Ca21chr6_C_albicans_SC5314,923531,2870
MAY316.GT,Ca21chr6_C_albicans_SC5314,920661,721460
MAY316.GT,Ca21chr6_C_albicans_SC5314,199201,22314
MAY316.GT,Ca21chr6_C_albicans_SC5314,176887,176887
MAY316.GT,Ca21chr7_C_albicans_SC5314,543726,17
MAY316.GT,Ca21chr7_C_albicans_SC5314,543743,308857
MAY316.GT,Ca21chr7_C_albicans_SC5314,852600,97400
MAY316.GT,Ca21chrR_C_albicans_SC5314,1051028,407365
MAY316.GT,Ca21chrR_C_albicans_SC5314,643663,294485
MAY316.GT,Ca21chrR_C_albicans_SC5314,349178,349178
MAY332.GT,Ca21chr1_C_albicans_SC5314,1162919,19
MAY332.GT,Ca21chr1_C_albicans_SC5314,1162900,84893
MAY332.GT,Ca21chr1_C_albicans_SC5314,1078007,30166
MAY332.GT,Ca21chr1_C_albicans_SC5314,1047841,193971
MAY332.GT,Ca21chr1_C_albicans_SC5314,853870,13508
MAY332.GT,Ca21chr1_C_albicans_SC5314,840362,684778
MAY332.GT,Ca21chr1_C_albicans_SC5314,155584,28882
MAY332.GT,Ca21chr1_C_albicans_SC5314,126702,126702
MAY332.GT,Ca21chr1_C_albicans_SC5314,2512043,280784
MAY332.GT,Ca21chr1_C_albicans_SC5314,2792827,397173
MAY332.GT,Ca21chr2_C_albicans_SC5314,657281,302399
MAY332.GT,Ca21chr2_C_albicans_SC5314,354882,354882
MAY332.GT,Ca21chr2_C_albicans_SC5314,2041462,188538
MAY332.GT,Ca21chr4_C_albicans_SC5314,774850,516
MAY332.GT,Ca21chr4_C_albicans_SC5314,774334,62267
MAY332.GT,Ca21chr4_C_albicans_SC5314,712067,712067
MAY332.GT,Ca21chr4_C_albicans_SC5314,1147576,452424
MAY332.GT,Ca21chr5_C_albicans_SC5314,556584,511119
MAY332.GT,Ca21chr5_C_albicans_SC5314,1067703,122297
MAY332.GT,Ca21chr6_C_albicans_SC5314,927913,4282
MAY332.GT,Ca21chr6_C_albicans_SC5314,923631,2970
MAY332.GT,Ca21chr6_C_albicans_SC5314,920661,721460
MAY332.GT,Ca21chr6_C_albicans_SC5314,199201,22314
MAY332.GT,Ca21chr6_C_albicans_SC5314,176887,176887
MAY332.GT,Ca21chr7_C_albicans_SC5314,543726,308874
MAY332.GT,Ca21chr7_C_albicans_SC5314,852600,97400
MAY332.GT,Ca21chrR_C_albicans_SC5314,1051028,407365
MAY332.GT,Ca21chrR_C_albicans_SC5314,643663,294485
MAY332.GT,Ca21chrR_C_albicans_SC5314,349178,349178
MAY333.GT,Ca21chr1_C_albicans_SC5314,1162919,19
MAY333.GT,Ca21chr1_C_albicans_SC5314,1162900,177548
MAY333.GT,Ca21chr1_C_albicans_SC5314,985352,109288
MAY333.GT,Ca21chr1_C_albicans_SC5314,876064,35702
MAY333.GT,Ca21chr1_C_albicans_SC5314,840362,29029
MAY333.GT,Ca21chr1_C_albicans_SC5314,811333,252743
MAY333.GT,Ca21chr1_C_albicans_SC5314,558590,81264
MAY333.GT,Ca21chr1_C_albicans_SC5314,477326,25794
MAY333.GT,Ca21chr1_C_albicans_SC5314,451532,324830
MAY333.GT,Ca21chr1_C_albicans_SC5314,126702,126702
MAY333.GT,Ca21chr2_C_albicans_SC5314,657281,657281
MAY333.GT,Ca21chr4_C_albicans_SC5314,774334,62267
MAY333.GT,Ca21chr4_C_albicans_SC5314,712067,414545
MAY333.GT,Ca21chr4_C_albicans_SC5314,297522,297522
MAY333.GT,Ca21chr4_C_albicans_SC5314,1147576,452424
MAY333.GT,Ca21chr6_C_albicans_SC5314,927913,4282
MAY333.GT,Ca21chr6_C_albicans_SC5314,923631,100
MAY333.GT,Ca21chr6_C_albicans_SC5314,923531,2870
MAY333.GT,Ca21chr6_C_albicans_SC5314,920661,721460
MAY333.GT,Ca21chr6_C_albicans_SC5314,199201,22314
