chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr3_C_albicans_SC5314,49224,5464224,85,left
Ca21chr3_C_albicans_SC5314,62829,5477829,78,left
Ca21chr3_C_albicans_SC5314,63039,5478039,77,left
Ca21chr3_C_albicans_SC5314,161195,5576195,71,left
Ca21chr3_C_albicans_SC5314,237924,5652924,67,left
Ca21chr3_C_albicans_SC5314,257788,5672788,64,left
Ca21chr3_C_albicans_SC5314,289704,5704704,63,left
Ca21chr3_C_albicans_SC5314,386068,5801068,56,left
Ca21chr3_C_albicans_SC5314,392172,5807172,49,left
Ca21chr3_C_albicans_SC5314,431329,5846329,42,left
Ca21chr3_C_albicans_SC5314,437101,5852101,37,left
Ca21chr3_C_albicans_SC5314,475144,5890144,32,left
Ca21chr3_C_albicans_SC5314,531178,5946178,30,left
Ca21chr3_C_albicans_SC5314,535204,5950204,29,left
Ca21chr3_C_albicans_SC5314,581101,5996101,25,left
Ca21chr3_C_albicans_SC5314,626749,6041749,18,left
Ca21chr3_C_albicans_SC5314,654733,6069733,11,left
Ca21chr3_C_albicans_SC5314,742601,6157601,7,left
Ca21chr3_C_albicans_SC5314,824907,6239907,0,left
Ca21chr3_C_albicans_SC5314,824907,6239907,0,right
Ca21chr3_C_albicans_SC5314,903993,6318993,23,right
Ca21chr3_C_albicans_SC5314,920351,6335351,40,right
Ca21chr3_C_albicans_SC5314,930422,6345422,47,right
Ca21chr3_C_albicans_SC5314,930763,6345763,63,right
Ca21chr3_C_albicans_SC5314,984081,6399081,70,right
Ca21chr3_C_albicans_SC5314,985334,6400334,73,right
Ca21chr3_C_albicans_SC5314,1026177,6441177,76,right
Ca21chr3_C_albicans_SC5314,1029732,6444732,92,right
Ca21chr3_C_albicans_SC5314,1049556,6464556,96,right
Ca21chr3_C_albicans_SC5314,1067556,6482556,102,right
Ca21chr3_C_albicans_SC5314,1084638,6499638,109,right
Ca21chr3_C_albicans_SC5314,1102225,6517225,116,right
Ca21chr3_C_albicans_SC5314,1102561,6517561,120,right
Ca21chr3_C_albicans_SC5314,1189437,6604437,121,right
Ca21chr3_C_albicans_SC5314,1202236,6617236,123,right
Ca21chr3_C_albicans_SC5314,1228587,6643587,124,right
Ca21chr3_C_albicans_SC5314,1251347,6666347,125,right
Ca21chr3_C_albicans_SC5314,1260714,6675714,126,right
Ca21chr3_C_albicans_SC5314,1262060,6677060,129,right
Ca21chr3_C_albicans_SC5314,1278966,6693966,132,right
Ca21chr3_C_albicans_SC5314,1298367,6713367,139,right
Ca21chr3_C_albicans_SC5314,1313787,6728787,145,right
Ca21chr3_C_albicans_SC5314,1428381,6843381,151,right
Ca21chr3_C_albicans_SC5314,1460823,6875823,156,right
Ca21chr3_C_albicans_SC5314,1470967,6885967,161,right
Ca21chr3_C_albicans_SC5314,1583587,6998587,162,right
Ca21chr3_C_albicans_SC5314,1597701,7012701,163,right
Ca21chr3_C_albicans_SC5314,1602418,7017418,167,right
Ca21chr3_C_albicans_SC5314,1608986,7023986,171,right
Ca21chr3_C_albicans_SC5314,1610006,7025006,178,right
Ca21chr3_C_albicans_SC5314,1611373,7026373,179,right
Ca21chr3_C_albicans_SC5314,1631452,7046452,180,right
Ca21chr3_C_albicans_SC5314,1636095,7051095,181,right
Ca21chr3_C_albicans_SC5314,1638040,7053040,183,right
Ca21chr3_C_albicans_SC5314,1644019,7059019,186,right
Ca21chr3_C_albicans_SC5314,1679379,7094379,190,right
Ca21chr3_C_albicans_SC5314,1686773,7101773,192,right
Ca21chr3_C_albicans_SC5314,1701711,7116711,195,right
Ca21chr3_C_albicans_SC5314,1719080,7134080,198,right
Ca21chr3_C_albicans_SC5314,1726041,7141041,204,right
Ca21chr3_C_albicans_SC5314,1784358,7199358,210,right
Ca21chr3_C_albicans_SC5314,1785663,7200663,211,right
Ca21chr4_C_albicans_SC5314,220402,7430402,144,left
Ca21chr4_C_albicans_SC5314,223530,7433530,141,left
Ca21chr4_C_albicans_SC5314,223923,7433923,137,left
Ca21chr4_C_albicans_SC5314,330385,7540385,131,left
Ca21chr4_C_albicans_SC5314,334184,7544184,125,left
Ca21chr4_C_albicans_SC5314,351279,7561279,122,left
Ca21chr4_C_albicans_SC5314,362734,7572734,116,left
Ca21chr4_C_albicans_SC5314,383860,7593860,114,left
Ca21chr4_C_albicans_SC5314,389677,7599677,111,left
Ca21chr4_C_albicans_SC5314,416645,7626645,107,left
Ca21chr4_C_albicans_SC5314,484379,7694379,106,left
Ca21chr4_C_albicans_SC5314,486843,7696843,101,left
Ca21chr4_C_albicans_SC5314,486846,7696846,98,left
Ca21chr4_C_albicans_SC5314,524541,7734541,95,left
Ca21chr4_C_albicans_SC5314,528978,7738978,90,left
Ca21chr4_C_albicans_SC5314,550701,7760701,89,left
Ca21chr4_C_albicans_SC5314,572531,7782531,88,left
Ca21chr4_C_albicans_SC5314,626990,7836990,87,left
Ca21chr4_C_albicans_SC5314,671728,7881728,83,left
Ca21chr4_C_albicans_SC5314,682750,7892750,79,left
Ca21chr4_C_albicans_SC5314,741447,7951447,74,left
Ca21chr4_C_albicans_SC5314,784264,7994264,71,left
Ca21chr4_C_albicans_SC5314,857635,8067635,70,left
Ca21chr4_C_albicans_SC5314,861247,8071247,67,left
Ca21chr4_C_albicans_SC5314,946445,8156445,61,left
Ca21chr4_C_albicans_SC5314,949731,8159731,58,left
Ca21chr4_C_albicans_SC5314,952236,8162236,57,left
Ca21chr4_C_albicans_SC5314,952885,8162885,21,left
Ca21chr4_C_albicans_SC5314,962309,8172309,17,left
Ca21chr4_C_albicans_SC5314,994398,8204398,0,left
Ca21chr4_C_albicans_SC5314,994398,8204398,0,right
Ca21chr4_C_albicans_SC5314,1005224,8215224,79,right
