chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,36877,36877,297,left
Ca21chr1_C_albicans_SC5314,79447,79447,295,left
Ca21chr1_C_albicans_SC5314,97744,97744,284,left
Ca21chr1_C_albicans_SC5314,215723,215723,271,left
Ca21chr1_C_albicans_SC5314,233798,233798,270,left
Ca21chr1_C_albicans_SC5314,341590,341590,260,left
Ca21chr1_C_albicans_SC5314,360421,360421,251,left
Ca21chr1_C_albicans_SC5314,410636,410636,250,left
Ca21chr1_C_albicans_SC5314,421674,421674,249,left
Ca21chr1_C_albicans_SC5314,449061,449061,247,left
Ca21chr1_C_albicans_SC5314,462679,462679,236,left
Ca21chr1_C_albicans_SC5314,526802,526802,228,left
Ca21chr1_C_albicans_SC5314,530998,530998,216,left
Ca21chr1_C_albicans_SC5314,539522,539522,196,left
Ca21chr1_C_albicans_SC5314,542729,542729,191,left
Ca21chr1_C_albicans_SC5314,555770,555770,178,left
Ca21chr1_C_albicans_SC5314,573594,573594,165,left
Ca21chr1_C_albicans_SC5314,842973,842973,164,left
Ca21chr1_C_albicans_SC5314,890051,890051,155,left
Ca21chr1_C_albicans_SC5314,957129,957129,145,left
Ca21chr1_C_albicans_SC5314,958289,958289,144,left
Ca21chr1_C_albicans_SC5314,975458,975458,129,left
Ca21chr1_C_albicans_SC5314,993496,993496,120,left
Ca21chr1_C_albicans_SC5314,1006406,1006406,118,left
Ca21chr1_C_albicans_SC5314,1044771,1044771,109,left
Ca21chr1_C_albicans_SC5314,1056256,1056256,108,left
Ca21chr1_C_albicans_SC5314,1085100,1085100,105,left
Ca21chr1_C_albicans_SC5314,1096953,1096953,104,left
Ca21chr1_C_albicans_SC5314,1167395,1167395,92,left
Ca21chr1_C_albicans_SC5314,1176813,1176813,77,left
Ca21chr1_C_albicans_SC5314,1187227,1187227,74,left
Ca21chr1_C_albicans_SC5314,1203812,1203812,61,left
Ca21chr1_C_albicans_SC5314,1210153,1210153,43,left
Ca21chr1_C_albicans_SC5314,1211950,1211950,40,left
Ca21chr1_C_albicans_SC5314,1221376,1221376,38,left
Ca21chr1_C_albicans_SC5314,1260230,1260230,37,left
Ca21chr1_C_albicans_SC5314,1279008,1279008,35,left
Ca21chr1_C_albicans_SC5314,1311648,1311648,34,left
Ca21chr1_C_albicans_SC5314,1312822,1312822,32,left
Ca21chr1_C_albicans_SC5314,1395146,1395146,25,left
Ca21chr1_C_albicans_SC5314,1428713,1428713,24,left
Ca21chr1_C_albicans_SC5314,1435380,1435380,22,left
Ca21chr1_C_albicans_SC5314,1436836,1436836,15,left
Ca21chr1_C_albicans_SC5314,1505364,1505364,14,left
Ca21chr1_C_albicans_SC5314,1532102,1532102,8,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,1615837,1615837,60,right
Ca21chr1_C_albicans_SC5314,1658440,1658440,67,right
Ca21chr1_C_albicans_SC5314,1658443,1658443,68,right
Ca21chr1_C_albicans_SC5314,1674144,1674144,70,right
Ca21chr1_C_albicans_SC5314,1695669,1695669,78,right
Ca21chr1_C_albicans_SC5314,1705335,1705335,87,right
Ca21chr1_C_albicans_SC5314,1821202,1821202,100,right
Ca21chr1_C_albicans_SC5314,1836610,1836610,110,right
Ca21chr1_C_albicans_SC5314,1864232,1864232,117,right
Ca21chr1_C_albicans_SC5314,1910556,1910556,127,right
Ca21chr1_C_albicans_SC5314,1912544,1912544,148,right
Ca21chr1_C_albicans_SC5314,1939330,1939330,158,right
Ca21chr1_C_albicans_SC5314,1957027,1957027,162,right
Ca21chr1_C_albicans_SC5314,2120845,2120845,174,right
Ca21chr1_C_albicans_SC5314,2129301,2129301,177,right
Ca21chr1_C_albicans_SC5314,2140632,2140632,191,right
Ca21chr1_C_albicans_SC5314,2169285,2169285,193,right
Ca21chr1_C_albicans_SC5314,2173087,2173087,206,right
Ca21chr1_C_albicans_SC5314,2206987,2206987,214,right
Ca21chr1_C_albicans_SC5314,2220637,2220637,230,right
Ca21chr1_C_albicans_SC5314,2230627,2230627,237,right
Ca21chr1_C_albicans_SC5314,2233901,2233901,238,right
Ca21chr1_C_albicans_SC5314,2254274,2254274,241,right
Ca21chr1_C_albicans_SC5314,2279605,2279605,252,right
Ca21chr1_C_albicans_SC5314,2319130,2319130,262,right
Ca21chr1_C_albicans_SC5314,2384767,2384767,263,right
Ca21chr1_C_albicans_SC5314,2407600,2407600,268,right
Ca21chr1_C_albicans_SC5314,2424695,2424695,273,right
Ca21chr1_C_albicans_SC5314,2520891,2520891,283,right
Ca21chr1_C_albicans_SC5314,2562759,2562759,293,right
Ca21chr1_C_albicans_SC5314,2616235,2616235,306,right
Ca21chr1_C_albicans_SC5314,2617684,2617684,319,right
Ca21chr1_C_albicans_SC5314,2620594,2620594,322,right
Ca21chr1_C_albicans_SC5314,2636541,2636541,323,right
Ca21chr1_C_albicans_SC5314,2637371,2637371,325,right
Ca21chr1_C_albicans_SC5314,2774165,2774165,337,right
Ca21chr1_C_albicans_SC5314,2776315,2776315,343,right
Ca21chr1_C_albicans_SC5314,2910094,2910094,352,right
Ca21chr1_C_albicans_SC5314,2936726,2936726,353,right
Ca21chr1_C_albicans_SC5314,2997130,2997130,369,right
Ca21chr1_C_albicans_SC5314,2998485,2998485,374,right
Ca21chr1_C_albicans_SC5314,3009623,3009623,375,right
Ca21chr1_C_albicans_SC5314,3073510,3073510,381,right
Ca21chr1_C_albicans_SC5314,3091437,3091437,384,right
Ca21chr1_C_albicans_SC5314,3100468,3100468,399,right
Ca21chr1_C_albicans_SC5314,3153582,3153582,419,right
Ca21chr1_C_albicans_SC5314,3170533,3170533,420,right
Ca21chr2_C_albicans_SC5314,296487,3486487,75,left
Ca21chr2_C_albicans_SC5314,312350,3502350,73,left
Ca21chr2_C_albicans_SC5314,348224,3538224,72,left
Ca21chr2_C_albicans_SC5314,366111,3556111,71,left
Ca21chr2_C_albicans_SC5314,369569,3559569,70,left
Ca21chr2_C_albicans_SC5314,405404,3595404,65,left
Ca21chr2_C_albicans_SC5314,605544,3795544,61,left
Ca21chr2_C_albicans_SC5314,872758,4062758,55,left
Ca21chr2_C_albicans_SC5314,883137,4073137,54,left
Ca21chr2_C_albicans_SC5314,891886,4081886,48,left
Ca21chr2_C_albicans_SC5314,922331,4112331,47,left
Ca21chr2_C_albicans_SC5314,987852,4177852,46,left
Ca21chr2_C_albicans_SC5314,1073144,4263144,45,left
Ca21chr2_C_albicans_SC5314,1123367,4313367,44,left
Ca21chr2_C_albicans_SC5314,1316891,4506891,42,left
Ca21chr2_C_albicans_SC5314,1330190,4520190,40,left
Ca21chr2_C_albicans_SC5314,1343024,4533024,38,left
Ca21chr2_C_albicans_SC5314,1347002,4537002,34,left
Ca21chr2_C_albicans_SC5314,1414278,4604278,32,left
Ca21chr2_C_albicans_SC5314,1518837,4708837,30,left
