chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,1046458,1046458,35,left
Ca21chr1_C_albicans_SC5314,1046488,1046488,25,left
Ca21chr1_C_albicans_SC5314,1171924,1171924,20,left
Ca21chr1_C_albicans_SC5314,1171945,1171945,15,left
Ca21chr1_C_albicans_SC5314,1253780,1253780,10,left
Ca21chr1_C_albicans_SC5314,1256260,1256260,5,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,2006507,2006507,5,right
Ca21chr1_C_albicans_SC5314,2006536,2006536,10,right
Ca21chr1_C_albicans_SC5314,2235420,2235420,15,right
Ca21chr1_C_albicans_SC5314,2236317,2236317,20,right
Ca21chr1_C_albicans_SC5314,2616453,2616453,25,right
Ca21chr1_C_albicans_SC5314,2616650,2616650,30,right
Ca21chr1_C_albicans_SC5314,2626210,2626210,35,right
Ca21chr1_C_albicans_SC5314,2626311,2626311,40,right
Ca21chr1_C_albicans_SC5314,2641399,2641399,45,right
Ca21chr1_C_albicans_SC5314,2641698,2641698,50,right
Ca21chr2_C_albicans_SC5314,1304803,4494803,5,left
Ca21chr2_C_albicans_SC5314,1928734,5118734,0,left
Ca21chr2_C_albicans_SC5314,1928734,5118734,0,right
Ca21chr3_C_albicans_SC5314,13242,5433242,5,left
Ca21chr3_C_albicans_SC5314,824907,6244907,0,left
Ca21chr3_C_albicans_SC5314,824907,6244907,0,right
Ca21chr3_C_albicans_SC5314,1075194,6495194,5,right
Ca21chr6_C_albicans_SC5314,189474,10199474,20,left
Ca21chr6_C_albicans_SC5314,193961,10203961,15,left
Ca21chr6_C_albicans_SC5314,819698,10829698,10,left
Ca21chr6_C_albicans_SC5314,822678,10832678,5,left
Ca21chr6_C_albicans_SC5314,981916,10991916,0,left
Ca21chr6_C_albicans_SC5314,981916,10991916,0,right
Ca21chr7_C_albicans_SC5314,20624,11060624,90,left
Ca21chr7_C_albicans_SC5314,20637,11060637,85,left
Ca21chr7_C_albicans_SC5314,119931,11159931,80,left
Ca21chr7_C_albicans_SC5314,120542,11160542,75,left
Ca21chr7_C_albicans_SC5314,143297,11183297,70,left
Ca21chr7_C_albicans_SC5314,143481,11183481,65,left
Ca21chr7_C_albicans_SC5314,160190,11200190,60,left
Ca21chr7_C_albicans_SC5314,160680,11200680,55,left
Ca21chr7_C_albicans_SC5314,186087,11226087,50,left
Ca21chr7_C_albicans_SC5314,187017,11227017,45,left
Ca21chr7_C_albicans_SC5314,203782,11243782,40,left
Ca21chr7_C_albicans_SC5314,203832,11243832,35,left
Ca21chr7_C_albicans_SC5314,277728,11317728,30,left
Ca21chr7_C_albicans_SC5314,277897,11317897,25,left
Ca21chr7_C_albicans_SC5314,282786,11322786,20,left
Ca21chr7_C_albicans_SC5314,283800,11323800,15,left
Ca21chr7_C_albicans_SC5314,412834,11452834,10,left
Ca21chr7_C_albicans_SC5314,412939,11452939,5,left
Ca21chr7_C_albicans_SC5314,427262,11467262,0,left
Ca21chr7_C_albicans_SC5314,427262,11467262,0,right
Ca21chr7_C_albicans_SC5314,566470,11606470,5,right
Ca21chr7_C_albicans_SC5314,566763,11606763,10,right
Ca21chr7_C_albicans_SC5314,573666,11613666,15,right
Ca21chr7_C_albicans_SC5314,573731,11613731,20,right
Ca21chr7_C_albicans_SC5314,721335,11761335,25,right
Ca21chr7_C_albicans_SC5314,722901,11762901,30,right
Ca21chr7_C_albicans_SC5314,726099,11766099,35,right
Ca21chr7_C_albicans_SC5314,729053,11769053,40,right
Ca21chr7_C_albicans_SC5314,788767,11828767,45,right
Ca21chr7_C_albicans_SC5314,789473,11829473,50,right
Ca21chr7_C_albicans_SC5314,852743,11892743,55,right
Ca21chr7_C_albicans_SC5314,853285,11893285,60,right
Ca21chr7_C_albicans_SC5314,880194,11920194,65,right
Ca21chr7_C_albicans_SC5314,880651,11920651,70,right
Ca21chrR_C_albicans_SC5314,549391,12539391,40,left
Ca21chrR_C_albicans_SC5314,552200,12542200,35,left
Ca21chrR_C_albicans_SC5314,597256,12587256,30,left
Ca21chrR_C_albicans_SC5314,597272,12587272,25,left
Ca21chrR_C_albicans_SC5314,1412770,13402770,20,left
Ca21chrR_C_albicans_SC5314,1419514,13409514,15,left
Ca21chrR_C_albicans_SC5314,1459552,13449552,10,left
Ca21chrR_C_albicans_SC5314,1459582,13449582,5,left
Ca21chrR_C_albicans_SC5314,1745427,13735427,0,left
Ca21chrR_C_albicans_SC5314,1745427,13735427,0,right
Ca21chrR_C_albicans_SC5314,2010801,14000801,5,right
Ca21chrR_C_albicans_SC5314,2010875,14000875,10,right
