strain,chr,start.pos,length,prop.o.arm,arm
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,0.944,left
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,0.944,left
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2776315,2910094,0.7455,right
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2910094,3170533,0.8278,right
529LxSC_P10_A9_146,Ca21chr5_C_albicans_SC5314,559933,1095790,0.1246,right
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,261266,255788,0.3906,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,255788,243279,0.4034,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,243279,224765,0.4325,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,224765,67821,0.4757,left
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,723905,681063,0.5858,left
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,681063,50691,0.6103,left
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,0.944,left
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,87688,79447,0.944,left
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2776315,2910094,0.7455,right
529LxSC_P10_A9_146,Ca21chr1_C_albicans_SC5314,2910094,3170533,0.8278,right
529LxSC_P10_A9_146,Ca21chr5_C_albicans_SC5314,559933,1095790,0.1246,right
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,261266,255788,0.3906,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,255788,243279,0.4034,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,243279,224765,0.4325,left
529LxSC_P10_A9_146,Ca21chr7_C_albicans_SC5314,224765,67821,0.4757,left
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,723905,681063,0.5858,left
529LxSC_P10_A9_146,Ca21chrR_C_albicans_SC5314,681063,50691,0.6103,left
529LxSC_P11_A10_162,Ca21chr1_C_albicans_SC5314,2776315,2910094,0.7455,right
529LxSC_P11_A10_162,Ca21chr1_C_albicans_SC5314,2910094,3177404,0.8278,right
529LxSC_P11_A10_162,Ca21chr2_C_albicans_SC5314,1969418,2229034,0.135,right
529LxSC_P11_A10_162,Ca21chr4_C_albicans_SC5314,1005224,1588018,0.0179,right
529LxSC_P11_A10_162,Ca21chr5_C_albicans_SC5314,337051,6413,0.2855,left
529LxSC_P11_A10_162,Ca21chr5_C_albicans_SC5314,562030,566688,0.1275,right
529LxSC_P11_A10_162,Ca21chr5_C_albicans_SC5314,566688,1118424,0.134,right
529LxSC_P11_A10_162,Ca21chr1_C_albicans_SC5314,2776315,2910094,0.7455,right
