Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination End Site (bp), Recombination Event Length (bp), IGV start position, IGV end position, Marker Cat ID#
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1421353,1421334,19,Ca21chr1_C_albicans_SC5314:1421353,Ca21chr1_C_albicans_SC5314:1421334,756
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1421334,1357790,63544,Ca21chr1_C_albicans_SC5314:1421334,Ca21chr1_C_albicans_SC5314:1357790,1144
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1357790,1356476,1314,Ca21chr1_C_albicans_SC5314:1357790,Ca21chr1_C_albicans_SC5314:1356476,1145
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1356476,1353784,2692,Ca21chr1_C_albicans_SC5314:1356476,Ca21chr1_C_albicans_SC5314:1353784,1150
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1353784,1353690,94,Ca21chr1_C_albicans_SC5314:1353784,Ca21chr1_C_albicans_SC5314:1353690,1156
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1353690,1256268,97422,Ca21chr1_C_albicans_SC5314:1353690,Ca21chr1_C_albicans_SC5314:1256268,1755
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1256268,1256266,2,Ca21chr1_C_albicans_SC5314:1256268,Ca21chr1_C_albicans_SC5314:1256266,1756
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1256266,1218136,38130,Ca21chr1_C_albicans_SC5314:1256266,Ca21chr1_C_albicans_SC5314:1218136,1966
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1218136,1218121,15,Ca21chr1_C_albicans_SC5314:1218136,Ca21chr1_C_albicans_SC5314:1218121,1967
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1218121,1162919,55202,Ca21chr1_C_albicans_SC5314:1218121,Ca21chr1_C_albicans_SC5314:1162919,2327
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,Ca21chr1_C_albicans_SC5314,1162919,1161996,923,Ca21chr1_C_albicans_SC5314:1162919,Ca21chr1_C_albicans_SC5314:1161996,2328
