chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,36877,36877,459,left
Ca21chr1_C_albicans_SC5314,73201,73201,439,left
Ca21chr1_C_albicans_SC5314,79447,79447,405,left
Ca21chr1_C_albicans_SC5314,87688,87688,367,left
Ca21chr1_C_albicans_SC5314,97744,97744,313,left
Ca21chr1_C_albicans_SC5314,215723,215723,300,left
Ca21chr1_C_albicans_SC5314,233798,233798,299,left
Ca21chr1_C_albicans_SC5314,250409,250409,298,left
Ca21chr1_C_albicans_SC5314,341590,341590,289,left
Ca21chr1_C_albicans_SC5314,355539,355539,278,left
Ca21chr1_C_albicans_SC5314,360421,360421,276,left
Ca21chr1_C_albicans_SC5314,410636,410636,275,left
Ca21chr1_C_albicans_SC5314,421674,421674,274,left
Ca21chr1_C_albicans_SC5314,449061,449061,272,left
Ca21chr1_C_albicans_SC5314,462676,462676,266,left
Ca21chr1_C_albicans_SC5314,462679,462679,255,left
Ca21chr1_C_albicans_SC5314,526802,526802,247,left
Ca21chr1_C_albicans_SC5314,530998,530998,235,left
Ca21chr1_C_albicans_SC5314,539522,539522,215,left
Ca21chr1_C_albicans_SC5314,573594,573594,209,left
Ca21chr1_C_albicans_SC5314,651808,651808,201,left
Ca21chr1_C_albicans_SC5314,812529,812529,194,left
Ca21chr1_C_albicans_SC5314,842973,842973,176,left
Ca21chr1_C_albicans_SC5314,890051,890051,166,left
Ca21chr1_C_albicans_SC5314,893375,893375,156,left
Ca21chr1_C_albicans_SC5314,957129,957129,154,left
Ca21chr1_C_albicans_SC5314,958289,958289,152,left
Ca21chr1_C_albicans_SC5314,975458,975458,142,left
Ca21chr1_C_albicans_SC5314,984801,984801,132,left
Ca21chr1_C_albicans_SC5314,1006406,1006406,123,left
Ca21chr1_C_albicans_SC5314,1047202,1047202,116,left
Ca21chr1_C_albicans_SC5314,1056256,1056256,113,left
Ca21chr1_C_albicans_SC5314,1095957,1095957,110,left
Ca21chr1_C_albicans_SC5314,1096953,1096953,108,left
Ca21chr1_C_albicans_SC5314,1167395,1167395,96,left
Ca21chr1_C_albicans_SC5314,1176813,1176813,83,left
Ca21chr1_C_albicans_SC5314,1210153,1210153,82,left
Ca21chr1_C_albicans_SC5314,1211950,1211950,80,left
Ca21chr1_C_albicans_SC5314,1221376,1221376,78,left
Ca21chr1_C_albicans_SC5314,1260230,1260230,76,left
Ca21chr1_C_albicans_SC5314,1279008,1279008,74,left
Ca21chr1_C_albicans_SC5314,1311648,1311648,73,left
Ca21chr1_C_albicans_SC5314,1312822,1312822,69,left
Ca21chr1_C_albicans_SC5314,1349244,1349244,60,left
Ca21chr1_C_albicans_SC5314,1395146,1395146,57,left
Ca21chr1_C_albicans_SC5314,1397640,1397640,44,left
Ca21chr1_C_albicans_SC5314,1435380,1435380,22,left
Ca21chr1_C_albicans_SC5314,1436836,1436836,15,left
Ca21chr1_C_albicans_SC5314,1505364,1505364,14,left
Ca21chr1_C_albicans_SC5314,1532102,1532102,8,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,1658440,1658440,7,right
Ca21chr1_C_albicans_SC5314,1658443,1658443,8,right
Ca21chr1_C_albicans_SC5314,1674144,1674144,10,right
Ca21chr1_C_albicans_SC5314,1705335,1705335,12,right
Ca21chr1_C_albicans_SC5314,1836610,1836610,13,right
Ca21chr1_C_albicans_SC5314,1864232,1864232,20,right
Ca21chr1_C_albicans_SC5314,1910556,1910556,26,right
Ca21chr1_C_albicans_SC5314,1912544,1912544,47,right
Ca21chr1_C_albicans_SC5314,1939330,1939330,57,right
Ca21chr1_C_albicans_SC5314,1957027,1957027,61,right
Ca21chr1_C_albicans_SC5314,2120845,2120845,73,right
Ca21chr1_C_albicans_SC5314,2129301,2129301,76,right
Ca21chr1_C_albicans_SC5314,2140632,2140632,90,right
Ca21chr1_C_albicans_SC5314,2169285,2169285,92,right
Ca21chr1_C_albicans_SC5314,2173087,2173087,105,right
Ca21chr1_C_albicans_SC5314,2206987,2206987,114,right
Ca21chr1_C_albicans_SC5314,2211986,2211986,120,right
Ca21chr1_C_albicans_SC5314,2220637,2220637,132,right
Ca21chr1_C_albicans_SC5314,2230627,2230627,138,right
Ca21chr1_C_albicans_SC5314,2233901,2233901,139,right
Ca21chr1_C_albicans_SC5314,2254274,2254274,142,right
Ca21chr1_C_albicans_SC5314,2265336,2265336,143,right
Ca21chr1_C_albicans_SC5314,2279605,2279605,155,right
Ca21chr1_C_albicans_SC5314,2309057,2309057,167,right
Ca21chr1_C_albicans_SC5314,2420629,2420629,168,right
Ca21chr1_C_albicans_SC5314,2520891,2520891,178,right
Ca21chr1_C_albicans_SC5314,2562759,2562759,188,right
Ca21chr1_C_albicans_SC5314,2616235,2616235,201,right
Ca21chr1_C_albicans_SC5314,2617254,2617254,213,right
Ca21chr1_C_albicans_SC5314,2617684,2617684,215,right
Ca21chr1_C_albicans_SC5314,2618016,2618016,219,right
Ca21chr1_C_albicans_SC5314,2620594,2620594,220,right
Ca21chr1_C_albicans_SC5314,2637371,2637371,221,right
Ca21chr1_C_albicans_SC5314,2774165,2774165,233,right
Ca21chr1_C_albicans_SC5314,2910094,2910094,237,right
Ca21chr1_C_albicans_SC5314,2936726,2936726,238,right
Ca21chr1_C_albicans_SC5314,2948296,2948296,255,right
Ca21chr1_C_albicans_SC5314,2997130,2997130,257,right
Ca21chr1_C_albicans_SC5314,2998485,2998485,259,right
Ca21chr1_C_albicans_SC5314,3073510,3073510,265,right
Ca21chr1_C_albicans_SC5314,3100468,3100468,279,right
Ca21chr1_C_albicans_SC5314,3153582,3153582,301,right
Ca21chr1_C_albicans_SC5314,3170533,3170533,302,right
Ca21chr1_C_albicans_SC5314,3177404,3177404,309,right
Ca21chr2_C_albicans_SC5314,186988,3371988,126,left
Ca21chr2_C_albicans_SC5314,196268,3381268,125,left
Ca21chr2_C_albicans_SC5314,296487,3481487,123,left
Ca21chr2_C_albicans_SC5314,312350,3497350,121,left
Ca21chr2_C_albicans_SC5314,348224,3533224,120,left
Ca21chr2_C_albicans_SC5314,405404,3590404,117,left
Ca21chr2_C_albicans_SC5314,458807,3643807,111,left
Ca21chr2_C_albicans_SC5314,605544,3790544,109,left
Ca21chr2_C_albicans_SC5314,811796,3996796,105,left
Ca21chr2_C_albicans_SC5314,872758,4057758,104,left
Ca21chr2_C_albicans_SC5314,883134,4068134,102,left
Ca21chr2_C_albicans_SC5314,883137,4068137,100,left
Ca21chr2_C_albicans_SC5314,891886,4076886,94,left
Ca21chr2_C_albicans_SC5314,922331,4107331,93,left
Ca21chr2_C_albicans_SC5314,987852,4172852,92,left
Ca21chr2_C_albicans_SC5314,1015247,4200247,91,left
Ca21chr2_C_albicans_SC5314,1073144,4258144,90,left
Ca21chr2_C_albicans_SC5314,1123367,4308367,89,left
Ca21chr2_C_albicans_SC5314,1316891,4501891,87,left
Ca21chr2_C_albicans_SC5314,1330190,4515190,85,left
Ca21chr2_C_albicans_SC5314,1343024,4528024,83,left
Ca21chr2_C_albicans_SC5314,1347002,4532002,79,left
Ca21chr2_C_albicans_SC5314,1414278,4599278,77,left
Ca21chr2_C_albicans_SC5314,1530971,4715971,76,left
Ca21chr2_C_albicans_SC5314,1536883,4721883,75,left
Ca21chr2_C_albicans_SC5314,1560751,4745751,72,left
Ca21chr2_C_albicans_SC5314,1714731,4899731,70,left
Ca21chr2_C_albicans_SC5314,1715470,4900470,69,left
Ca21chr2_C_albicans_SC5314,1725320,4910320,68,left
Ca21chr2_C_albicans_SC5314,1745724,4930724,67,left
Ca21chr2_C_albicans_SC5314,1757907,4942907,66,left
Ca21chr2_C_albicans_SC5314,1795919,4980919,62,left
Ca21chr2_C_albicans_SC5314,1796627,4981627,52,left
Ca21chr2_C_albicans_SC5314,1803649,4988649,43,left
Ca21chr2_C_albicans_SC5314,1839720,5024720,30,left
Ca21chr2_C_albicans_SC5314,1850976,5035976,6,left
Ca21chr2_C_albicans_SC5314,1898839,5083839,2,left
Ca21chr2_C_albicans_SC5314,1899786,5084786,1,left
Ca21chr2_C_albicans_SC5314,1928734,5113734,0,left
Ca21chr2_C_albicans_SC5314,1928734,5113734,0,right
Ca21chr2_C_albicans_SC5314,1963359,5148359,22,right
Ca21chr2_C_albicans_SC5314,1969418,5154418,31,right
Ca21chr2_C_albicans_SC5314,1994962,5179962,34,right
Ca21chr2_C_albicans_SC5314,2042921,5227921,40,right
Ca21chr2_C_albicans_SC5314,2066227,5251227,45,right
Ca21chr2_C_albicans_SC5314,2095790,5280790,50,right
Ca21chr2_C_albicans_SC5314,2096670,5281670,54,right
Ca21chr2_C_albicans_SC5314,2215685,5400685,55,right
Ca21chr2_C_albicans_SC5314,2225877,5410877,56,right
