chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,126702,126702,32,left
Ca21chr1_C_albicans_SC5314,155584,155584,29,left
Ca21chr1_C_albicans_SC5314,451532,451532,27,left
Ca21chr1_C_albicans_SC5314,477326,477326,25,left
Ca21chr1_C_albicans_SC5314,483704,483704,23,left
Ca21chr1_C_albicans_SC5314,491029,491029,22,left
Ca21chr1_C_albicans_SC5314,558590,558590,21,left
Ca21chr1_C_albicans_SC5314,802947,802947,19,left
Ca21chr1_C_albicans_SC5314,811333,811333,18,left
Ca21chr1_C_albicans_SC5314,840362,840362,17,left
Ca21chr1_C_albicans_SC5314,853870,853870,14,left
Ca21chr1_C_albicans_SC5314,876064,876064,12,left
Ca21chr1_C_albicans_SC5314,985352,985352,11,left
Ca21chr1_C_albicans_SC5314,1047841,1047841,10,left
Ca21chr1_C_albicans_SC5314,1078007,1078007,8,left
Ca21chr1_C_albicans_SC5314,1162900,1162900,6,left
Ca21chr1_C_albicans_SC5314,1162919,1162919,3,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,left
Ca21chr1_C_albicans_SC5314,1564502,1564502,0,right
Ca21chr1_C_albicans_SC5314,2512043,2512043,1,right
Ca21chr1_C_albicans_SC5314,2792827,2792827,3,right
Ca21chr2_C_albicans_SC5314,354882,3544882,5,left
Ca21chr2_C_albicans_SC5314,657281,3847281,3,left
Ca21chr2_C_albicans_SC5314,1928734,5118734,0,left
Ca21chr2_C_albicans_SC5314,1928734,5118734,0,right
Ca21chr2_C_albicans_SC5314,2041462,5231462,2,right
Ca21chr4_C_albicans_SC5314,297522,7517522,10,left
Ca21chr4_C_albicans_SC5314,712067,7932067,8,left
Ca21chr4_C_albicans_SC5314,774334,7994334,5,left
Ca21chr4_C_albicans_SC5314,774850,7994850,2,left
Ca21chr4_C_albicans_SC5314,994398,8214398,0,left
Ca21chr4_C_albicans_SC5314,994398,8214398,0,right
Ca21chr4_C_albicans_SC5314,1147576,8367576,3,right
Ca21chr6_C_albicans_SC5314,176887,10186887,17,left
Ca21chr6_C_albicans_SC5314,199201,10209201,14,left
Ca21chr6_C_albicans_SC5314,920661,10930661,11,left
Ca21chr6_C_albicans_SC5314,923531,10933531,8,left
Ca21chr6_C_albicans_SC5314,923631,10933631,6,left
Ca21chr6_C_albicans_SC5314,927913,10937913,3,left
Ca21chr6_C_albicans_SC5314,981916,10991916,0,left
Ca21chr6_C_albicans_SC5314,981916,10991916,0,right
Ca21chr7_C_albicans_SC5314,427262,11467262,0,left
Ca21chr7_C_albicans_SC5314,427262,11467262,0,right
Ca21chr7_C_albicans_SC5314,543726,11583726,3,right
Ca21chr7_C_albicans_SC5314,543743,11583743,5,right
Ca21chr7_C_albicans_SC5314,852600,11892600,8,right
Ca21chrR_C_albicans_SC5314,349178,12339178,8,left
Ca21chrR_C_albicans_SC5314,643658,12633658,6,left
Ca21chrR_C_albicans_SC5314,643663,12633663,5,left
Ca21chrR_C_albicans_SC5314,1051028,13041028,3,left
Ca21chrR_C_albicans_SC5314,1745427,13735427,0,left
Ca21chrR_C_albicans_SC5314,1745427,13735427,0,right
Ca21chr5_C_albicans_SC5314,470230,9290230,0,left
Ca21chr5_C_albicans_SC5314,470230,9290230,0,right
Ca21chr5_C_albicans_SC5314,556584,9376584,1,right
Ca21chr5_C_albicans_SC5314,1067703,9887703,2,right
