chr,chr.pos,univ.pos,a,b,h,missing,recoms
Ca21chr1_C_albicans_SC5314,0,0,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,5000,5000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,10000,10000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,15000,15000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,20000,20000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,25000,25000,3,0,27,45,0
Ca21chr1_C_albicans_SC5314,30000,30000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,35000,35000,4,0,41,30,16
Ca21chr1_C_albicans_SC5314,40000,40000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,45000,45000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,50000,50000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,55000,55000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,60000,60000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,65000,65000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,70000,70000,24,0,37,14,20
Ca21chr1_C_albicans_SC5314,75000,75000,2,0,58,15,14
Ca21chr1_C_albicans_SC5314,80000,80000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,85000,85000,21,0,47,7,28
Ca21chr1_C_albicans_SC5314,90000,90000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,95000,95000,17,0,39,19,13
Ca21chr1_C_albicans_SC5314,100000,100000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,105000,105000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,110000,110000,5,0,35,35,0
Ca21chr1_C_albicans_SC5314,115000,115000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,120000,120000,4,0,54,17,0
Ca21chr1_C_albicans_SC5314,125000,125000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,130000,130000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,135000,135000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,140000,140000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,145000,145000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,150000,150000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,155000,155000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,160000,160000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,165000,165000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,170000,170000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,175000,175000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,180000,180000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,185000,185000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,190000,190000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,195000,195000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,200000,200000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,205000,205000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,210000,210000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,215000,215000,3,0,32,40,1
Ca21chr1_C_albicans_SC5314,220000,220000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,225000,225000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,230000,230000,4,0,25,46,1
Ca21chr1_C_albicans_SC5314,235000,235000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,240000,240000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,245000,245000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,250000,250000,2,0,24,49,9
Ca21chr1_C_albicans_SC5314,255000,255000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,260000,260000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,265000,265000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,270000,270000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,275000,275000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,280000,280000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,285000,285000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,290000,290000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,295000,295000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,300000,300000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,305000,305000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,310000,310000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,315000,315000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,320000,320000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,325000,325000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,330000,330000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,335000,335000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,340000,340000,2,9,15,49,11
Ca21chr1_C_albicans_SC5314,345000,345000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,350000,350000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,355000,355000,0,0,23,52,2
Ca21chr1_C_albicans_SC5314,360000,360000,3,0,39,33,1
Ca21chr1_C_albicans_SC5314,365000,365000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,370000,370000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,375000,375000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,380000,380000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,385000,385000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,390000,390000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,395000,395000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,400000,400000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,405000,405000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,410000,410000,4,0,20,51,1
Ca21chr1_C_albicans_SC5314,415000,415000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,420000,420000,0,2,29,44,2
Ca21chr1_C_albicans_SC5314,425000,425000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,430000,430000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,435000,435000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,440000,440000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,445000,445000,5,0,65,5,6
Ca21chr1_C_albicans_SC5314,450000,450000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,455000,455000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,460000,460000,5,8,27,110,19
Ca21chr1_C_albicans_SC5314,465000,465000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,470000,470000,2,0,29,44,0
Ca21chr1_C_albicans_SC5314,475000,475000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,480000,480000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,485000,485000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,490000,490000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,495000,495000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,500000,500000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,505000,505000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,510000,510000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,515000,515000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,520000,520000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,525000,525000,3,0,34,38,12
Ca21chr1_C_albicans_SC5314,530000,530000,20,0,38,17,20
Ca21chr1_C_albicans_SC5314,535000,535000,11,0,57,7,6
Ca21chr1_C_albicans_SC5314,540000,540000,3,0,38,34,13
Ca21chr1_C_albicans_SC5314,545000,545000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,550000,550000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,555000,555000,16,0,13,46,13
Ca21chr1_C_albicans_SC5314,560000,560000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,565000,565000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,570000,570000,5,0,55,15,7
Ca21chr1_C_albicans_SC5314,575000,575000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,580000,580000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,585000,585000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,590000,590000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,595000,595000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,600000,600000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,605000,605000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,610000,610000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,615000,615000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,620000,620000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,625000,625000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,630000,630000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,635000,635000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,640000,640000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,645000,645000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,650000,650000,5,0,44,26,2
Ca21chr1_C_albicans_SC5314,655000,655000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,660000,660000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,665000,665000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,670000,670000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,675000,675000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,680000,680000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,685000,685000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,690000,690000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,695000,695000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,700000,700000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,705000,705000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,710000,710000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,715000,715000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,720000,720000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,725000,725000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,730000,730000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,735000,735000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,740000,740000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,745000,745000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,750000,750000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,755000,755000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,760000,760000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,765000,765000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,770000,770000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,775000,775000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,780000,780000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,785000,785000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,790000,790000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,795000,795000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,800000,800000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,805000,805000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,810000,810000,2,10,20,43,12
Ca21chr1_C_albicans_SC5314,815000,815000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,820000,820000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,825000,825000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,830000,830000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,835000,835000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,840000,840000,3,0,45,27,10
Ca21chr1_C_albicans_SC5314,845000,845000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,850000,850000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,855000,855000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,860000,860000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,865000,865000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,870000,870000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,875000,875000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,880000,880000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,885000,885000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,890000,890000,14,0,41,95,12
Ca21chr1_C_albicans_SC5314,895000,895000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,900000,900000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,905000,905000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,910000,910000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,915000,915000,5,0,48,22,0
Ca21chr1_C_albicans_SC5314,920000,920000,0,0,0,0,0
Ca21chr1_C_albicans_SC5314,925000,925000,0,0,0,0,0
