Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination End Site (bp), Recombination Event Length (bp), IGV start position, IGV end position, Marker Cat ID#
MAY154.GT,Ca21chr1_C_albicans_SC5314,1395096,1393292,1804,Ca21chr1_C_albicans_SC5314:1395096,Ca21chr1_C_albicans_SC5314:1393292,792
MAY154.GT,Ca21chr1_C_albicans_SC5314,1393292,1357735,35557,Ca21chr1_C_albicans_SC5314:1393292,Ca21chr1_C_albicans_SC5314:1357735,967
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357735,1357732,3,Ca21chr1_C_albicans_SC5314:1357735,Ca21chr1_C_albicans_SC5314:1357732,976
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357732,1353833,3899,Ca21chr1_C_albicans_SC5314:1357732,Ca21chr1_C_albicans_SC5314:1353833,1032
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353833,1353690,143,Ca21chr1_C_albicans_SC5314:1353833,Ca21chr1_C_albicans_SC5314:1353690,1034
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353690,1337308,16382,Ca21chr1_C_albicans_SC5314:1353690,Ca21chr1_C_albicans_SC5314:1337308,1099
MAY154.GT,Ca21chr1_C_albicans_SC5314,1337308,1333393,3915,Ca21chr1_C_albicans_SC5314:1337308,Ca21chr1_C_albicans_SC5314:1333393,1101
MAY154.GT,Ca21chr1_C_albicans_SC5314,1333393,1318516,14877,Ca21chr1_C_albicans_SC5314:1333393,Ca21chr1_C_albicans_SC5314:1318516,1250
MAY154.GT,Ca21chr1_C_albicans_SC5314,1318516,1313246,5270,Ca21chr1_C_albicans_SC5314:1318516,Ca21chr1_C_albicans_SC5314:1313246,1252
MAY154.GT,Ca21chr1_C_albicans_SC5314,1313246,1256260,56986,Ca21chr1_C_albicans_SC5314:1313246,Ca21chr1_C_albicans_SC5314:1256260,1531
MAY154.GT,Ca21chr1_C_albicans_SC5314,1256260,1256253,7,Ca21chr1_C_albicans_SC5314:1256260,Ca21chr1_C_albicans_SC5314:1256253,1532
MAY154.GT,Ca21chr1_C_albicans_SC5314,1256253,1255885,368,Ca21chr1_C_albicans_SC5314:1256253,Ca21chr1_C_albicans_SC5314:1255885,1534
MAY154.GT,Ca21chr1_C_albicans_SC5314,1255885,1253780,2105,Ca21chr1_C_albicans_SC5314:1255885,Ca21chr1_C_albicans_SC5314:1253780,1540
MAY154.GT,Ca21chr1_C_albicans_SC5314,1253780,1244381,9399,Ca21chr1_C_albicans_SC5314:1253780,Ca21chr1_C_albicans_SC5314:1244381,1588
MAY154.GT,Ca21chr1_C_albicans_SC5314,1244381,1235716,8665,Ca21chr1_C_albicans_SC5314:1244381,Ca21chr1_C_albicans_SC5314:1235716,1589
MAY154.GT,Ca21chr1_C_albicans_SC5314,1235716,1208422,27294,Ca21chr1_C_albicans_SC5314:1235716,Ca21chr1_C_albicans_SC5314:1208422,1764
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208422,1208133,289,Ca21chr1_C_albicans_SC5314:1208422,Ca21chr1_C_albicans_SC5314:1208133,1766
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208133,1191485,16648,Ca21chr1_C_albicans_SC5314:1208133,Ca21chr1_C_albicans_SC5314:1191485,1900
MAY154.GT,Ca21chr1_C_albicans_SC5314,1191485,1190679,806,Ca21chr1_C_albicans_SC5314:1191485,Ca21chr1_C_albicans_SC5314:1190679,1901
MAY154.GT,Ca21chr1_C_albicans_SC5314,1190679,1171981,18698,Ca21chr1_C_albicans_SC5314:1190679,Ca21chr1_C_albicans_SC5314:1171981,1970
