Chromosome,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314
Chr_Position,65477,73165,87667,115991,181056,190551,355422,385814,424167,452120,462028,471273,532154,551590,607835,826208,833467,912068,1135677,1170961,1247735,1353789,1396271,1421219,1484247,1558116,1574381,1668844,1727394,1931980,1983232,1984760,2007915,2047345,2175204,2234136,2237929,2348474,2360208,2360209,2463437,2495411,2505511,2601442,2624166,2688980,2759808,2970669,2972433,2980193,2985108,3043335,3048573,3119580,80773,178248,179956,262397,315729,315735,368902,419516,456171,821155,854689,858978,858981,877827,938208,985150,1032562,1040736,1102705,1232244,1243905,1323199,1395409,1658431,1661106,1711463,1774347,1810076,1938696,1986335,1994290,2024762,2030113,2068896,2081932,115547,207442,223412,227207,228614,241142,252233,288780,305475,361670,373297,450761,476523,502593,531493,584099,603874,823676,983798,1157899,1191653,1195225,1195851,1201028,1236387,1272180,1325845,1331146,1360008,1567900,1596240,1613083,1624624,1662147,1669649,133331,178032,215355,223140,267868,291621,368984,462088,471709,502785,524689,563109,589566,694080,697125,701797,732893,745561,745994,745995,745998,786224,828581,846755,931094,933459,946655,954770,1004762,1043329,1102206,1129528,1361431,1486850,1509390,1524413,1525497,107443,121314,203023,254051,389570,405962,696881,697257,863149,921065,1025464,1028828,25094,86789,137269,157491,211298,227711,313617,328177,360804,422328,452882,493022,540890,544154,569221,579460,712289,713168,803939,1011610,14571,65693,109351,111169,144820,150652,281003,298062,521074,562944,701184,730857,767915,782864,27910,34968,45771,112402,119128,127043,194511,258770,516263,544809,556154,560665,561234,569821,579282,618464,640792,746382,775200,939060,1003453,1004111,1015185,1059456,1093012,1094131,1420783,1470689,1503758,1537652,1709094,1725774,1772793,1805361,1805851,1833828,1838450,1851944,1879048,1890122
# Catalog ID,455,485,561,749,1245,1290,2556,2810,3141,3412,3497,3545,3936,4122,4570,6029,6086,6650,8477,8738,9442,10172,10505,10722,11244,11724,11907,12617,12971,14417,14793,14807,14991,15366,16372,16943,16968,17904,18016,18017,18872,19141,19236,20063,20332,20890,21428,23086,23106,23148,23171,23605,23646,24056,24988,25648,25672,26294,26636,26637,26939,27370,27645,30072,30387,30415,30416,30610,31190,31500,31869,31941,32442,33367,33452,34083,34576,36551,36560,36972,37421,37708,38621,38957,39021,39315,39361,39598,39665,41025,41738,41902,41922,41933,41984,42095,42339,42480,42997,43073,43623,43844,44060,44250,44765,44935,46241,47260,48386,48593,48608,48614,48662,48886,49100,49418,49468,49648,50716,50915,51034,51093,51303,51366,53028,53388,53680,53750,54090,54234,54841,55279,55337,55635,55804,56123,56333,57108,57131,57186,57446,57567,57575,57576,57577,57950,58332,58464,59071,59098,59213,59279,59691,60002,60510,60697,62494,63493,63676,63803,63822,65133,65282,65905,66329,67508,67585,69925,69926,71181,71617,72496,72515,73674,74228,74678,74890,75353,75498,76156,76257,76507,77073,77328,77616,78058,78083,78244,78332,79403,79404,80067,81482,81730,82106,82399,82447,82699,82731,83469,83571,85135,85417,86050,86269,86558,86694,87831,87865,87931,88371,88408,88450,88896,89350,91203,91459,91558,91587,91591,91669,91755,92042,92234,93204,93346,94257,94677,94686,94829,95144,95433,95440,97669,97979,98227,98434,99558,99706,100030,100248,100252,100467,100497,100571,100767,100830
SC5314,cc,aa,aa,aa,bb,bb,cc,cc,bb,aa,bc,cc,bb,cc,bc,bb,ab,cc,bb,bb,ca,bb,bb,cc,cc,aa,bb,cd,cc,cc,cc,ba,bc,ca,ac,bb,cc,aa,aa,bb,cc,bc,ba,cc,bb,ab,cc,ca,cc,aa,bc,bb,cc,aa,ca,ab,aa,cc,cb,ac,ac,ac,cc,ca,ac,aa,bb,bc,cc,cc,aa,ba,bb,aa,cc,cc,bb,bb,cb,bc,bc,aa,cc,bd,bb,cc,ac,cb,ca,ba,cb,bb,bb,cc,ab,bc,cc,ba,ba,aa,bb,bc,bb,bb,cb,ac,bb,bb,aa,bb,cc,bb,cc,bb,cc,bb,cc,aa,aa,aa,cc,bb,cc,bb,cc,bb,bb,ca,ca,bd,aa,ca,ba,cc,cc,ba,cc,ba,bc,bc,bc,ac,ba,ba,ac,ba,bc,ba,bb,cc,aa,bb,cc,ac,ac,ac,bb,aa,aa,aa,bb,cc,cb,bb,aa,bc,ba,cb,ac,bc,bc,bc,ba,bb,bb,ba,ba,bc,bc,cc,aa,bb,cc,ba,bb,bb,cc,cb,ac,bd,bb,cc,ba,cc,cc,aa,bc,aa,bb,bb,bb,bc,aa,ba,aa,ab,cc,cc,bb,cc,aa,cc,cc,aa,cc,cc,cc,bb,aa,ab,bc,cb,cc,cc,cb,ba,ca,bc,ca,bb,bb,ac,ac,cc,ca,cb,bb,aa,ac,ba,cc,aa,bb,cc,aa,aa,bb
529L,ba,cb,cb,cb,ca,ca,ab,ba,ac,cb,aa,ba,ca,ba,aa,ca,cc,ab,ca,ac,bb,ca,ac,ab,ab,cb,ca,bb,ba,ba,ba,cc,aa,bb,bb,ca,ab,cb,bc,ca,ba,aa,cc,ab,ca,cc,ba,bb,ab,cb,aa,ca,ba,bc,bb,cc,bc,ab,aa,bb,bb,bb,ba,bb,bb,cb,ca,aa,ab,ab,cb,cc,ca,cb,ab,ba,ac,ac,aa,aa,aa,cb,ba,cc,ac,ab,bb,aa,bb,cc,aa,ac,ca,ba,cc,aa,ba,cc,cc,cb,ca,aa,ac,ca,aa,bb,ca,ca,cb,ca,ab,ca,ab,ac,ab,ac,ba,cb,cb,cb,ab,ca,ba,ca,ab,ca,ca,bb,bb,cc,cb,bb,cc,ab,ba,cc,ba,cc,aa,aa,aa,bb,cc,cc,bb,cc,aa,cc,ca,ba,cb,ca,ab,bb,bb,bb,ac,cb,cb,cb,ca,ba,aa,ca,cb,aa,cc,aa,bb,aa,aa,aa,cc,ca,ca,cc,cc,aa,aa,ba,cb,ca,ab,cc,ac,ca,ba,aa,bb,cc,ca,ab,cc,ab,ba,cb,aa,cb,ac,ca,ca,aa,bc,cc,cb,cc,ab,ba,ac,ba,bc,ba,ab,bc,ab,ba,ba,ca,cb,cc,aa,aa,ba,ba,aa,cc,bb,aa,bb,ca,ca,bb,bb,ab,bb,aa,ac,bc,bb,cc,ba,cb,ca,ba,bc,cb,ac
MAY154.GT,-,-,-,-,-,-,bb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY155.GT,-,-,-,-,-,-,bb,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bb,bb,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY156.GT,-,-,-,-,-,-,bb,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY157.GT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bb,-,-,bb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-
MAY158.GT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bb,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
