Chromosome,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314
Chr_Position,1188475,1336307,1345793,1397640,1532102,1579877,1679932,1837616,1907990,2210327,2219548,2229178,2267886,2282805,2420629,2954530,327499,355539,367868,416508,893375,984801,1336271,1368504,1370979,1389190,240446,712505,1051992,1101149,1119323,1141862,1172110,1239380,1239383,1597704,161198,209395,322720,395834,440531,529831,588540,885564,1061764,1182677,1591307,550956,563801,846459,866099,963390,988331,1115660,494001,501958,697896,824602,833365,182053,183165,514584,587010,602948,643004,780168,880602,936422,936425,398866,417694,1049457,1225370,1554086,1604219,1686382,469005
# Catalog ID,190,300,309,353,443,495,590,730,801,1068,1079,1085,1120,1132,1264,1780,1992,2025,2039,2082,2523,2614,2914,2945,2949,2966,3749,4147,4462,4497,4518,4538,4566,4614,4615,4944,4961,5163,5254,5339,5388,5454,5495,5755,5901,6028,6363,6750,6761,6994,7014,7086,7097,7236,7630,7635,7836,7946,7955,8196,8199,8504,8588,8615,8647,8789,8870,8915,8916,9227,9231,9785,9929,10182,10223,10297,11032
SC5314,ab,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,ab,ab,ab,ab,ab,cc,cc,cc,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,cc,cc,ab,cc,cc,ac,ab,ab,cc
P60002,cc,cc,cc,cc,ab,ab,cc,ab,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,ab,cc,cc,cc,cc,cc,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,cc,ab,ab,ab,cc,ab,ab,ab,cc,cc,cc,cc,cc,ab,ab,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,cc,ab,ab,ab,ab,cc,ab,ab,bb,cc,cc,ab
P6xSC_P10_A9_128,ab,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,bb,ab,ab,-,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,-,-,ab,-,cc,-,ab,ab,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P11_A10_142,-,ab,-,ab,cc,cc,ab,cc,-,-,-,ab,-,ab,ab,ab,-,-,ab,-,ab,ab,-,-,-,-,-,-,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P12_A11_154,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P13_A12_116,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P14_B1_196,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P15_B2_180,-,ab,bb,ab,cc,cc,-,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,ab,ab,ab,ab,ab,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
