chr,chr.pos,univ.pos,a,b,h,s,missing,recoms,recom.by.col,recom.by.mkr
Ca21chr1_C_albicans_SC5314,0,0,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,10000,10000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,20000,20000,1,0,14,0,0,2,1.0,0.1333
Ca21chr1_C_albicans_SC5314,30000,30000,4,0,40,0,0,4,-1.3333,0.0909
Ca21chr1_C_albicans_SC5314,40000,40000,3,10,24,0,0,15,-7.5,0.4054
Ca21chr1_C_albicans_SC5314,50000,50000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,60000,60000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,70000,70000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,80000,80000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,90000,90000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,100000,100000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,110000,110000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,120000,120000,0,0,10,0,0,1,0.3333,0.1
Ca21chr1_C_albicans_SC5314,130000,130000,1,0,19,0,0,1,1.0,0.05
Ca21chr1_C_albicans_SC5314,140000,140000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,150000,150000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,160000,160000,4,0,16,0,0,8,8.0,0.4
Ca21chr1_C_albicans_SC5314,170000,170000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,180000,180000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,190000,190000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,200000,200000,4,0,11,0,0,8,4.0,0.5333
Ca21chr1_C_albicans_SC5314,210000,210000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,220000,220000,2,0,38,0,0,2,-0.6667,0.05
Ca21chr1_C_albicans_SC5314,230000,230000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,240000,240000,0,0,70,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,250000,250000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,260000,260000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,270000,270000,0,0,50,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,280000,280000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,290000,290000,6,6,80,0,0,8,-0.6154,0.087
Ca21chr1_C_albicans_SC5314,300000,300000,4,0,15,0,0,8,4.0,0.4211
Ca21chr1_C_albicans_SC5314,310000,310000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,320000,320000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,330000,330000,0,15,25,0,0,3,-1.0,0.075
Ca21chr1_C_albicans_SC5314,340000,340000,0,9,21,0,0,12,-12.0,0.4
Ca21chr1_C_albicans_SC5314,350000,350000,0,24,21,0,0,6,-1.5,0.1333
Ca21chr1_C_albicans_SC5314,360000,360000,0,12,28,0,0,10,-3.3333,0.25
Ca21chr1_C_albicans_SC5314,370000,370000,1,0,14,0,0,1,0.5,0.0667
Ca21chr1_C_albicans_SC5314,380000,380000,0,0,25,0,0,1,0,0.04
Ca21chr1_C_albicans_SC5314,390000,390000,1,0,9,0,0,1,0.3333,0.1
Ca21chr1_C_albicans_SC5314,400000,400000,3,0,30,0,0,6,-6.0,0.1818
Ca21chr1_C_albicans_SC5314,410000,410000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,420000,420000,0,0,30,0,0,5,-5.0,0.1667
Ca21chr1_C_albicans_SC5314,430000,430000,8,12,3,0,0,5,5.0,0.2174
Ca21chr1_C_albicans_SC5314,440000,440000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,450000,450000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,460000,460000,7,0,8,0,0,8,4.0,0.5333
Ca21chr1_C_albicans_SC5314,470000,470000,1,2,15,0,0,6,3.0,0.3333
Ca21chr1_C_albicans_SC5314,480000,480000,0,0,20,0,0,2,2.0,0.1
Ca21chr1_C_albicans_SC5314,490000,490000,4,0,15,0,0,2,1.0,0.1053
Ca21chr1_C_albicans_SC5314,500000,500000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,510000,510000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,520000,520000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,530000,530000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,540000,540000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,550000,550000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,560000,560000,0,1,24,0,0,2,0,0.08
Ca21chr1_C_albicans_SC5314,570000,570000,0,0,50,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,580000,580000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,590000,590000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,600000,600000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,610000,610000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,620000,620000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,630000,630000,8,0,22,0,0,8,-8.0,0.2667
Ca21chr1_C_albicans_SC5314,640000,640000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,650000,650000,0,0,10,0,0,0,0.0,0.0
