chromosome,position,absolute_pos,cumulative_recom_cnt,chromosome_arm 
Ca21chr1_C_albicans_SC5314,22527,22527,261,left
Ca21chr1_C_albicans_SC5314,28197,28197,260,left
Ca21chr1_C_albicans_SC5314,35709,35709,259,left
Ca21chr1_C_albicans_SC5314,37222,37222,257,left
Ca21chr1_C_albicans_SC5314,41161,41161,255,left
Ca21chr1_C_albicans_SC5314,43503,43503,250,left
Ca21chr1_C_albicans_SC5314,44535,44535,248,left
Ca21chr1_C_albicans_SC5314,44806,44806,243,left
Ca21chr1_C_albicans_SC5314,129657,129657,240,left
Ca21chr1_C_albicans_SC5314,132219,132219,239,left
Ca21chr1_C_albicans_SC5314,166798,166798,238,left
Ca21chr1_C_albicans_SC5314,168173,168173,234,left
Ca21chr1_C_albicans_SC5314,203573,203573,230,left
Ca21chr1_C_albicans_SC5314,205084,205084,226,left
Ca21chr1_C_albicans_SC5314,223192,223192,222,left
Ca21chr1_C_albicans_SC5314,224033,224033,221,left
Ca21chr1_C_albicans_SC5314,294533,294533,220,left
Ca21chr1_C_albicans_SC5314,296383,296383,216,left
Ca21chr1_C_albicans_SC5314,307041,307041,212,left
Ca21chr1_C_albicans_SC5314,309031,309031,208,left
Ca21chr1_C_albicans_SC5314,334437,334437,204,left
Ca21chr1_C_albicans_SC5314,344288,344288,201,left
Ca21chr1_C_albicans_SC5314,347729,347729,198,left
Ca21chr1_C_albicans_SC5314,347813,347813,195,left
Ca21chr1_C_albicans_SC5314,349678,349678,192,left
Ca21chr1_C_albicans_SC5314,356870,356870,189,left
Ca21chr1_C_albicans_SC5314,357401,357401,186,left
Ca21chr1_C_albicans_SC5314,360402,360402,183,left
Ca21chr1_C_albicans_SC5314,360460,360460,180,left
Ca21chr1_C_albicans_SC5314,360538,360538,177,left
Ca21chr1_C_albicans_SC5314,369699,369699,174,left
Ca21chr1_C_albicans_SC5314,377457,377457,173,left
Ca21chr1_C_albicans_SC5314,389344,389344,172,left
Ca21chr1_C_albicans_SC5314,399460,399460,171,left
Ca21chr1_C_albicans_SC5314,402889,402889,170,left
Ca21chr1_C_albicans_SC5314,403874,403874,167,left
Ca21chr1_C_albicans_SC5314,425892,425892,164,left
Ca21chr1_C_albicans_SC5314,432102,432102,159,left
Ca21chr1_C_albicans_SC5314,432120,432120,158,left
Ca21chr1_C_albicans_SC5314,467751,467751,154,left
Ca21chr1_C_albicans_SC5314,467796,467796,150,left
Ca21chr1_C_albicans_SC5314,467829,467829,149,left
Ca21chr1_C_albicans_SC5314,472023,472023,146,left
Ca21chr1_C_albicans_SC5314,477190,477190,143,left
Ca21chr1_C_albicans_SC5314,489664,489664,140,left
Ca21chr1_C_albicans_SC5314,492528,492528,138,left
Ca21chr1_C_albicans_SC5314,568220,568220,136,left
Ca21chr1_C_albicans_SC5314,568937,568937,135,left
Ca21chr1_C_albicans_SC5314,630930,630930,134,left
Ca21chr1_C_albicans_SC5314,632804,632804,130,left
Ca21chr1_C_albicans_SC5314,827239,827239,126,left
Ca21chr1_C_albicans_SC5314,830777,830777,125,left
Ca21chr1_C_albicans_SC5314,834901,834901,124,left
Ca21chr1_C_albicans_SC5314,836043,836043,123,left
Ca21chr1_C_albicans_SC5314,836238,836238,122,left
Ca21chr1_C_albicans_SC5314,852707,852707,118,left
Ca21chr1_C_albicans_SC5314,997197,997197,114,left
Ca21chr1_C_albicans_SC5314,998185,998185,111,left
Ca21chr1_C_albicans_SC5314,1018722,1018722,108,left
Ca21chr1_C_albicans_SC5314,1022702,1022702,107,left
Ca21chr1_C_albicans_SC5314,1025334,1025334,103,left
Ca21chr1_C_albicans_SC5314,1026211,1026211,101,left
Ca21chr1_C_albicans_SC5314,1076898,1076898,97,left
Ca21chr1_C_albicans_SC5314,1077151,1077151,94,left
Ca21chr1_C_albicans_SC5314,1077230,1077230,91,left
Ca21chr1_C_albicans_SC5314,1078099,1078099,89,left
Ca21chr1_C_albicans_SC5314,1087989,1087989,87,left
Ca21chr1_C_albicans_SC5314,1088061,1088061,86,left
