strain,chr,start.pos,length,prop.o.arm,arm
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1256318,1256268,0.1977,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1256268,1025361,0.1978,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1025361,1024524,0.3452,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1024524,1021283,0.3458,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1021283,1021267,0.3478,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1021267,46173,0.3478,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,46173,45678,0.9705,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,45678,44075,0.9708,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,44075,41256,0.9719,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,41256,12735,0.9737,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1631057,1639156,0.0409,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1639156,1808031,0.0459,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1808031,1809371,0.1498,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1809371,1902458,0.1506,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1902458,1905792,0.2079,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,1905792,2006536,0.21,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2006536,2007642,0.2719,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2007642,2235310,0.2726,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2235310,2236191,0.4127,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2236191,2805396,0.4132,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2805396,2812630,0.7634,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,2812630,3165422,0.7678,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,3165422,3166181,0.9849,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,3166181,3178930,0.9853,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,3178930,3178972,0.9932,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr1_C_albicans_SC5314,3178972,3185229,0.9932,right
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1866523,1861634,0.033,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1861634,1665282,0.0355,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1665282,1658011,0.1373,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1658011,1107957,0.141,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1107957,1107826,0.426,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1107826,1053305,0.4261,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1053305,1052868,0.4543,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1052868,1024642,0.4545,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1024642,1021799,0.4692,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,1021799,935647,0.4706,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,935647,934640,0.5153,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,934640,908636,0.5158,left
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr2_C_albicans_SC5314,908636,908171,0.5293,left
