Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination End Site (bp), Recombination Event Length (bp), IGV start position, IGV end position, Marker Cat ID#
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2200247,2210455,10208,Ca21chr1_C_albicans_SC5314:2200247,Ca21chr1_C_albicans_SC5314:2210455,2145
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2210455,2282805,72350,Ca21chr1_C_albicans_SC5314:2210455,Ca21chr1_C_albicans_SC5314:2282805,2391
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2282805,2309057,26252,Ca21chr1_C_albicans_SC5314:2282805,Ca21chr1_C_albicans_SC5314:2309057,2407
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2309057,2356969,47912,Ca21chr1_C_albicans_SC5314:2309057,Ca21chr1_C_albicans_SC5314:2356969,2425
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2356969,2387679,30710,Ca21chr1_C_albicans_SC5314:2356969,Ca21chr1_C_albicans_SC5314:2387679,2445
P6xSC_P10_A9_128,Ca21chr1_C_albicans_SC5314,2387679,3177404,802321,Ca21chr1_C_albicans_SC5314:2387679,Ca21chr1_C_albicans_SC5314:3177404,372
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2200247,2210455,10208,Ca21chr1_C_albicans_SC5314:2200247,Ca21chr1_C_albicans_SC5314:2210455,2169
P6xSC_P11_A10_142,Ca21chr1_C_albicans_SC5314,2210455,3177404,979545,Ca21chr1_C_albicans_SC5314:2210455,Ca21chr1_C_albicans_SC5314:3177404,355
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,355539,343770,11769,Ca21chr1_C_albicans_SC5314:355539,Ca21chr1_C_albicans_SC5314:343770,355
P6xSC_P12_A11_154,Ca21chr1_C_albicans_SC5314,343770,140213,343770,Ca21chr1_C_albicans_SC5314:343770,Ca21chr1_C_albicans_SC5314:140213,410
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,3289,Ca21chr4_C_albicans_SC5314:1588018,Ca21chr4_C_albicans_SC5314:1591307,2241
P6xSC_P12_A11_154,Ca21chr4_C_albicans_SC5314,1588018,1591307,8693,Ca21chr4_C_albicans_SC5314:1588018,Ca21chr4_C_albicans_SC5314:1591307,2241
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936425,936422,3,Ca21chr6_C_albicans_SC5314:936425,Ca21chr6_C_albicans_SC5314:936422,432
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,936422,217785,718637,Ca21chr6_C_albicans_SC5314:936422,Ca21chr6_C_albicans_SC5314:217785,2545
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,217785,204486,13299,Ca21chr6_C_albicans_SC5314:217785,Ca21chr6_C_albicans_SC5314:204486,2587
P6xSC_P12_A11_154,Ca21chr6_C_albicans_SC5314,204486,16572,204486,Ca21chr6_C_albicans_SC5314:204486,Ca21chr6_C_albicans_SC5314:16572,209
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,355539,343770,11769,Ca21chr1_C_albicans_SC5314:355539,Ca21chr1_C_albicans_SC5314:343770,350
P6xSC_P13_A12_116,Ca21chr1_C_albicans_SC5314,343770,140213,343770,Ca21chr1_C_albicans_SC5314:343770,Ca21chr1_C_albicans_SC5314:140213,390
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936425,936422,3,Ca21chr6_C_albicans_SC5314:936425,Ca21chr6_C_albicans_SC5314:936422,432
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,936422,217785,718637,Ca21chr6_C_albicans_SC5314:936422,Ca21chr6_C_albicans_SC5314:217785,2544
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,217785,204486,13299,Ca21chr6_C_albicans_SC5314:217785,Ca21chr6_C_albicans_SC5314:204486,2545
P6xSC_P13_A12_116,Ca21chr6_C_albicans_SC5314,204486,16572,204486,Ca21chr6_C_albicans_SC5314:204486,Ca21chr6_C_albicans_SC5314:16572,190
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,355539,343770,11769,Ca21chr1_C_albicans_SC5314:355539,Ca21chr1_C_albicans_SC5314:343770,369
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,343770,140213,343770,Ca21chr1_C_albicans_SC5314:343770,Ca21chr1_C_albicans_SC5314:140213,402
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936425,936422,3,Ca21chr6_C_albicans_SC5314:936425,Ca21chr6_C_albicans_SC5314:936422,432
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936422,217785,718637,Ca21chr6_C_albicans_SC5314:936422,Ca21chr6_C_albicans_SC5314:217785,2544
