Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination Event Length (bp)
Mixed_Plate_A2_146,Ca21chr3_C_albicans_SC5314,903993,891007
Mixed_Plate_A2_146,Ca21chr4_C_albicans_SC5314,1005224,594776
Mixed_Plate_A2_146,Ca21chr6_C_albicans_SC5314,217785,13299
Mixed_Plate_A2_146,Ca21chr6_C_albicans_SC5314,204486,204486
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,957129,417607
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,539522,23186
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,516336,68082
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,448254,104484
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,343770,343770
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,1836610,712579
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2549189,223283
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2772472,129813
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2902285,7809
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2910094,43850
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2953944,44541
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,2998485,30742
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,3029227,23817
Mixed_Plate_A3_148,Ca21chr1_C_albicans_SC5314,3053044,131956
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,654733,27984
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,626749,45648
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,581101,105957
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,475144,38043
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,437101,5772
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,431329,39157
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,392172,6104
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,386068,96364
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,289704,128509
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,161195,98156
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,63039,13815
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,49224,49224
