Sample Name, Recombined Chromosome, Recombination Start Site (bp),, Recombination Event Length (bp),
MAY157.GT,Ca21chr6_C_albicans_SC5314,571192,Ca21chr6_C_albicans_SC5314:571192,1,Not real
MAY154.GT,Ca21chr6_C_albicans_SC5314,586872,Ca21chr6_C_albicans_SC5314:586872,2,Not real
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357735,Ca21chr1_C_albicans_SC5314:1357735,3,Not real
MAY156.GT,Ca21chr4_C_albicans_SC5314,745998,Ca21chr4_C_albicans_SC5314:745998,3,Not real
MAY155.GT,Ca21chr2_C_albicans_SC5314,933701,Ca21chr2_C_albicans_SC5314:933701,4,Not real
MAY155.GT,Ca21chrR_C_albicans_SC5314,552200,Ca21chrR_C_albicans_SC5314:552200,4,Not real
MAY156.GT,Ca21chr1_C_albicans_SC5314,378414,Ca21chr1_C_albicans_SC5314:378414,4,Not real
MAY157.GT,Ca21chr7_C_albicans_SC5314,921893,Ca21chr7_C_albicans_SC5314:921893,4,Not real
MAY157.GT,Ca21chrR_C_albicans_SC5314,552200,Ca21chrR_C_albicans_SC5314:552200,4,Not real
MAY158.GT,Ca21chrR_C_albicans_SC5314,552200,Ca21chrR_C_albicans_SC5314:552200,4,Not real
MAY157.GT,Ca21chr3_C_albicans_SC5314,369698,Ca21chr3_C_albicans_SC5314:369698,5,Not real
MAY154.GT,Ca21chrR_C_albicans_SC5314,1021143,Ca21chrR_C_albicans_SC5314:1021143,6,Not real
MAY156.GT,Ca21chrR_C_albicans_SC5314,1021143,Ca21chrR_C_albicans_SC5314:1021143,6,Not real
MAY157.GT,Ca21chrR_C_albicans_SC5314,1021143,Ca21chrR_C_albicans_SC5314:1021143,6,Not real
MAY154.GT,Ca21chr1_C_albicans_SC5314,1256260,Ca21chr1_C_albicans_SC5314:1256260,7,Not real
MAY156.GT,Ca21chr1_C_albicans_SC5314,1256260,Ca21chr1_C_albicans_SC5314:1256260,7,Not real
MAY158.GT,Ca21chr1_C_albicans_SC5314,1256260,Ca21chr1_C_albicans_SC5314:1256260,7,Not real
MAY158.GT,Ca21chrR_C_albicans_SC5314,128983,Ca21chrR_C_albicans_SC5314:128983,7,Not real
MAY158.GT,Ca21chr5_C_albicans_SC5314,941743,Ca21chr5_C_albicans_SC5314:941743,10,Not real
MAY155.GT,Ca21chr6_C_albicans_SC5314,571360,Ca21chr6_C_albicans_SC5314:571360,11,Not real
MAY157.GT,Ca21chr6_C_albicans_SC5314,571360,Ca21chr6_C_albicans_SC5314:571360,11,Not real
MAY155.GT,Ca21chr1_C_albicans_SC5314,1057991,Ca21chr1_C_albicans_SC5314:1057991,12,Not real
MAY157.GT,Ca21chr1_C_albicans_SC5314,1057991,Ca21chr1_C_albicans_SC5314:1057991,12,Not real
MAY157.GT,Ca21chrR_C_albicans_SC5314,19449,Ca21chrR_C_albicans_SC5314:19449,12,Not real
MAY154.GT,Ca21chr7_C_albicans_SC5314,20637,Ca21chr7_C_albicans_SC5314:20637,13,Not real
MAY155.GT,Ca21chr7_C_albicans_SC5314,20637,Ca21chr7_C_albicans_SC5314:20637,13,Not real
MAY156.GT,Ca21chr7_C_albicans_SC5314,20637,Ca21chr7_C_albicans_SC5314:20637,13,Not real
MAY157.GT,Ca21chr7_C_albicans_SC5314,20637,Ca21chr7_C_albicans_SC5314:20637,13,Not real
MAY158.GT,Ca21chr7_C_albicans_SC5314,20637,Ca21chr7_C_albicans_SC5314:20637,13,Not real
MAY154.GT,Ca21chrR_C_albicans_SC5314,597272,Ca21chrR_C_albicans_SC5314:597272,16,Not real
MAY155.GT,Ca21chrR_C_albicans_SC5314,597272,Ca21chrR_C_albicans_SC5314:597272,16,Not real
MAY156.GT,Ca21chrR_C_albicans_SC5314,597272,Ca21chrR_C_albicans_SC5314:597272,16,Not real
MAY157.GT,Ca21chrR_C_albicans_SC5314,597272,Ca21chrR_C_albicans_SC5314:597272,16,Not real
MAY158.GT,Ca21chrR_C_albicans_SC5314,597272,Ca21chrR_C_albicans_SC5314:597272,16,Not real
MAY154.GT,Ca21chr1_C_albicans_SC5314,497772,Ca21chr1_C_albicans_SC5314:497772,18,Not real
MAY155.GT,Ca21chr1_C_albicans_SC5314,497772,Ca21chr1_C_albicans_SC5314:497772,18,Not real
MAY156.GT,Ca21chr2_C_albicans_SC5314,179956,Ca21chr2_C_albicans_SC5314:179956,18,Not real
MAY158.GT,Ca21chr1_C_albicans_SC5314,497772,Ca21chr1_C_albicans_SC5314:497772,18,Not real
MAY155.GT,Ca21chr5_C_albicans_SC5314,921104,Ca21chr5_C_albicans_SC5314:921104,20,Not real
MAY157.GT,Ca21chr1_C_albicans_SC5314,163830,Ca21chr1_C_albicans_SC5314:163830,20,Not real
MAY155.GT,Ca21chr1_C_albicans_SC5314,1171945,Ca21chr1_C_albicans_SC5314:1171945,21,Not real
