Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination End Site (bp), Recombination Event Length (bp), IGV start position, IGV end position, Marker Cat ID#
MAY154.GT,Ca21chr1_C_albicans_SC5314,1395096,1393292,1804,Ca21chr1_C_albicans_SC5314:1395096,Ca21chr1_C_albicans_SC5314:1393292,793
MAY154.GT,Ca21chr1_C_albicans_SC5314,1393292,1357735,35557,Ca21chr1_C_albicans_SC5314:1393292,Ca21chr1_C_albicans_SC5314:1357735,976
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357735,1357732,3,Ca21chr1_C_albicans_SC5314:1357735,Ca21chr1_C_albicans_SC5314:1357732,983
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357732,1353833,3899,Ca21chr1_C_albicans_SC5314:1357732,Ca21chr1_C_albicans_SC5314:1353833,1034
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353833,1353789,44,Ca21chr1_C_albicans_SC5314:1353833,Ca21chr1_C_albicans_SC5314:1353789,1035
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353789,1337308,16481,Ca21chr1_C_albicans_SC5314:1353789,Ca21chr1_C_albicans_SC5314:1337308,1106
MAY154.GT,Ca21chr1_C_albicans_SC5314,1337308,1333393,3915,Ca21chr1_C_albicans_SC5314:1337308,Ca21chr1_C_albicans_SC5314:1333393,1118
MAY154.GT,Ca21chr1_C_albicans_SC5314,1333393,1318516,14877,Ca21chr1_C_albicans_SC5314:1333393,Ca21chr1_C_albicans_SC5314:1318516,1252
MAY154.GT,Ca21chr1_C_albicans_SC5314,1318516,1313246,5270,Ca21chr1_C_albicans_SC5314:1318516,Ca21chr1_C_albicans_SC5314:1313246,1260
MAY154.GT,Ca21chr1_C_albicans_SC5314,1313246,1256260,56986,Ca21chr1_C_albicans_SC5314:1313246,Ca21chr1_C_albicans_SC5314:1256260,1531
MAY154.GT,Ca21chr1_C_albicans_SC5314,1256260,1256253,7,Ca21chr1_C_albicans_SC5314:1256260,Ca21chr1_C_albicans_SC5314:1256253,1532
MAY154.GT,Ca21chr1_C_albicans_SC5314,1256253,1255885,368,Ca21chr1_C_albicans_SC5314:1256253,Ca21chr1_C_albicans_SC5314:1255885,1534
MAY154.GT,Ca21chr1_C_albicans_SC5314,1255885,1253780,2105,Ca21chr1_C_albicans_SC5314:1255885,Ca21chr1_C_albicans_SC5314:1253780,1540
MAY154.GT,Ca21chr1_C_albicans_SC5314,1253780,1244381,9399,Ca21chr1_C_albicans_SC5314:1253780,Ca21chr1_C_albicans_SC5314:1244381,1589
MAY154.GT,Ca21chr1_C_albicans_SC5314,1244381,1235716,8665,Ca21chr1_C_albicans_SC5314:1244381,Ca21chr1_C_albicans_SC5314:1235716,1591
MAY154.GT,Ca21chr1_C_albicans_SC5314,1235716,1208422,27294,Ca21chr1_C_albicans_SC5314:1235716,Ca21chr1_C_albicans_SC5314:1208422,1766
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208422,1208133,289,Ca21chr1_C_albicans_SC5314:1208422,Ca21chr1_C_albicans_SC5314:1208133,1767
MAY154.GT,Ca21chr1_C_albicans_SC5314,1208133,1191485,16648,Ca21chr1_C_albicans_SC5314:1208133,Ca21chr1_C_albicans_SC5314:1191485,1901
MAY154.GT,Ca21chr1_C_albicans_SC5314,1191485,1190679,806,Ca21chr1_C_albicans_SC5314:1191485,Ca21chr1_C_albicans_SC5314:1190679,1905
MAY154.GT,Ca21chr1_C_albicans_SC5314,1190679,1171981,18698,Ca21chr1_C_albicans_SC5314:1190679,Ca21chr1_C_albicans_SC5314:1171981,1975
MAY154.GT,Ca21chr1_C_albicans_SC5314,1171981,1171924,57,Ca21chr1_C_albicans_SC5314:1171981,Ca21chr1_C_albicans_SC5314:1171924,1987
MAY154.GT,Ca21chr1_C_albicans_SC5314,1171924,1162900,9024,Ca21chr1_C_albicans_SC5314:1171924,Ca21chr1_C_albicans_SC5314:1162900,2019
MAY154.GT,Ca21chr1_C_albicans_SC5314,1162900,1161996,904,Ca21chr1_C_albicans_SC5314:1162900,Ca21chr1_C_albicans_SC5314:1161996,2026
MAY154.GT,Ca21chr1_C_albicans_SC5314,1161996,1150919,11077,Ca21chr1_C_albicans_SC5314:1161996,Ca21chr1_C_albicans_SC5314:1150919,2169
MAY154.GT,Ca21chr1_C_albicans_SC5314,1150919,1150841,78,Ca21chr1_C_albicans_SC5314:1150919,Ca21chr1_C_albicans_SC5314:1150841,2170
MAY154.GT,Ca21chr1_C_albicans_SC5314,1150841,1101105,49736,Ca21chr1_C_albicans_SC5314:1150841,Ca21chr1_C_albicans_SC5314:1101105,2408
MAY154.GT,Ca21chr1_C_albicans_SC5314,1101105,1097608,3497,Ca21chr1_C_albicans_SC5314:1101105,Ca21chr1_C_albicans_SC5314:1097608,2410
MAY154.GT,Ca21chr1_C_albicans_SC5314,1097608,1046488,51120,Ca21chr1_C_albicans_SC5314:1097608,Ca21chr1_C_albicans_SC5314:1046488,2920
MAY154.GT,Ca21chr1_C_albicans_SC5314,1046488,1046458,30,Ca21chr1_C_albicans_SC5314:1046488,Ca21chr1_C_albicans_SC5314:1046458,2936
MAY154.GT,Ca21chr1_C_albicans_SC5314,1046458,1025258,21200,Ca21chr1_C_albicans_SC5314:1046458,Ca21chr1_C_albicans_SC5314:1025258,2981
MAY154.GT,Ca21chr1_C_albicans_SC5314,1025258,1024524,734,Ca21chr1_C_albicans_SC5314:1025258,Ca21chr1_C_albicans_SC5314:1024524,2990
MAY154.GT,Ca21chr1_C_albicans_SC5314,1024524,1021663,2861,Ca21chr1_C_albicans_SC5314:1024524,Ca21chr1_C_albicans_SC5314:1021663,3098
MAY154.GT,Ca21chr1_C_albicans_SC5314,1021663,1021267,396,Ca21chr1_C_albicans_SC5314:1021663,Ca21chr1_C_albicans_SC5314:1021267,3099
MAY154.GT,Ca21chr1_C_albicans_SC5314,1021267,990624,30643,Ca21chr1_C_albicans_SC5314:1021267,Ca21chr1_C_albicans_SC5314:990624,3334
MAY154.GT,Ca21chr1_C_albicans_SC5314,990624,989400,1224,Ca21chr1_C_albicans_SC5314:990624,Ca21chr1_C_albicans_SC5314:989400,3336
MAY154.GT,Ca21chr1_C_albicans_SC5314,989400,948896,40504,Ca21chr1_C_albicans_SC5314:989400,Ca21chr1_C_albicans_SC5314:948896,3529
MAY154.GT,Ca21chr1_C_albicans_SC5314,948896,947305,1591,Ca21chr1_C_albicans_SC5314:948896,Ca21chr1_C_albicans_SC5314:947305,3535
MAY154.GT,Ca21chr1_C_albicans_SC5314,947305,930900,16405,Ca21chr1_C_albicans_SC5314:947305,Ca21chr1_C_albicans_SC5314:930900,3717
MAY154.GT,Ca21chr1_C_albicans_SC5314,930900,930861,39,Ca21chr1_C_albicans_SC5314:930900,Ca21chr1_C_albicans_SC5314:930861,3719
MAY154.GT,Ca21chr1_C_albicans_SC5314,930861,875794,55067,Ca21chr1_C_albicans_SC5314:930861,Ca21chr1_C_albicans_SC5314:875794,3992
MAY154.GT,Ca21chr1_C_albicans_SC5314,875794,871875,3919,Ca21chr1_C_albicans_SC5314:875794,Ca21chr1_C_albicans_SC5314:871875,3995
